thalf,roi,eff,b,x0
7.961068980599536e23,"(phi = (25.0, 78.0), sumE = (2550.0, 3419.0), maxE = (1064.0, 2592.0), r = (7.0, 59.0))",0.03943585,2.971 ± 0.051,"[116.36363636363636, 98.18181818181819, 1272.7272727272727, 35.35353535353536, 459.5959595959596, 848.4848484848485, 78.78787878787878, 31.31313131313131]"
6.003453629498245e23,"(phi = (30.0, 89.0), sumE = (2721.0, 3092.0), maxE = (1127.0, 2358.0), r = (15.0, 77.0))",0.01699988,0.0891 ± 0.0011,"[116.36363636363636, 180.0, 2227.2727272727275, 2474.747474747475, 2616.161616161616, 2474.747474747475, 44.44444444444444, 94.94949494949495]"
5.7347262588695804e23,"(phi = (17.0, 151.0), sumE = (2460.0, 2823.0), maxE = (277.0, 2174.0), r = (12.0, 38.0))",0.05700261,19.16 ± 0.34,"[7.2727272727272725, 112.72727272727273, 1555.5555555555557, 282.82828282828285, 1696.969696969697, 3217.1717171717173, 37.37373737373738, 39.39393939393939]"
2.116054967896013e24,"(phi = (2.0, 117.0), sumE = (2627.0, 3372.0), maxE = (526.0, 2629.0), r = (0.0, 76.0))",0.09012403,1.764 ± 0.028,"[134.54545454545453, 83.63636363636364, 1661.6161616161617, 3464.6464646464647, 636.3636363636364, 2404.040404040404, 10.1010101010101, 100.0]"
2.144831658015461e24,"(phi = (30.0, 176.0), sumE = (2532.0, 3239.0), maxE = (454.0, 3288.0), r = (0.0, 81.0))",0.19682759,15.9 ± 0.28,"[36.36363636363637, 30.90909090909091, 1378.7878787878788, 3393.939393939394, 3464.6464646464647, 1909.090909090909, 13.131313131313131, 73.73737373737374]"
8.151861179136938e23,"(phi = (94.0, 165.0), sumE = (2714.0, 3440.0), maxE = (700.0, 3072.0), r = (16.0, 26.0))",0.02308349,0.0883 ± 0.0012,"[1.8181818181818181, 103.63636363636364, 742.4242424242424, 0.0, 388.8888888888889, 2686.868686868687, 39.39393939393939, 69.6969696969697]"
1.8533877388958867e24,"(phi = (22.0, 178.0), sumE = (2539.0, 2948.0), maxE = (757.0, 2812.0), r = (5.0, 34.0))",0.1508244,11.83 ± 0.21,"[27.272727272727273, 156.36363636363637, 2085.8585858585857, 282.82828282828285, 388.8888888888889, 3358.5858585858587, 12.121212121212121, 63.63636363636363]"
9.260889323558164e23,"(phi = (10.0, 148.0), sumE = (2476.0, 3462.0), maxE = (91.0, 2339.0), r = (15.0, 50.0))",0.08218432,14.63 ± 0.26,"[132.72727272727272, 50.90909090909091, 919.1919191919192, 1732.3232323232323, 2121.212121212121, 247.4747474747475, 10.1010101010101, 94.94949494949495]"
2.3834577539625918e24,"(phi = (25.0, 160.0), sumE = (2693.0, 3296.0), maxE = (1737.0, 3160.0), r = (6.0, 41.0))",0.07552341,0.4462 ± 0.0066,"[143.63636363636363, 129.0909090909091, 1803.030303030303, 3464.6464646464647, 3358.5858585858587, 2297.979797979798, 84.84848484848484, 52.525252525252526]"
6.849512534215074e23,"(phi = (42.0, 102.0), sumE = (2697.0, 3223.0), maxE = (1647.0, 2629.0), r = (6.0, 23.0))",0.02013259,0.1968 ± 0.003,"[76.36363636363636, 20.0, 1838.3838383838383, 565.6565656565657, 2545.4545454545455, 318.1818181818182, 15.151515151515152, 60.60606060606061]"
1.1542206038676967e24,"(phi = (97.0, 171.0), sumE = (2755.0, 3221.0), maxE = (30.0, 2896.0), r = (17.0, 94.0))",0.03221942,0.05083 ± 0.00035,"[45.45454545454545, 129.0909090909091, 1590.909090909091, 1626.2626262626263, 2262.626262626263, 1767.6767676767677, 50.505050505050505, 15.151515151515152]"
2.9549089027012407e24,"(phi = (15.0, 154.0), sumE = (2705.0, 3466.0), maxE = (96.0, 3014.0), r = (8.0, 42.0))",0.09693366,0.5832 ± 0.0082,"[29.09090909090909, 76.36363636363636, 3393.939393939394, 494.949494949495, 3005.050505050505, 3040.40404040404, 94.94949494949495, 62.62626262626262]"
4.406522822756658e23,"(phi = (98.0, 171.0), sumE = (326.0, 3202.0), maxE = (2352.0, 3102.0), r = (2.0, 48.0))",0.01368846,0.3821 ± 0.0064,"[149.0909090909091, 87.27272727272727, 1060.6060606060605, 3217.1717171717173, 1873.7373737373737, 954.5454545454545, 85.85858585858585, 76.76767676767676]"
9.132952386701924e23,"(phi = (21.0, 94.0), sumE = (2738.0, 3167.0), maxE = (1124.0, 2502.0), r = (11.0, 62.0))",0.02604328,0.1052 ± 0.0011,"[107.27272727272727, 74.54545454545455, 3464.6464646464647, 2510.10101010101, 1909.090909090909, 2616.161616161616, 92.92929292929293, 90.9090909090909]"
6.563732592710498e23,"(phi = (28.0, 105.0), sumE = (2722.0, 3076.0), maxE = (713.0, 1777.0), r = (1.0, 45.0))",0.01884648,0.1307 ± 0.0018,"[141.8181818181818, 61.81818181818182, 2474.747474747475, 3393.939393939394, 530.3030303030303, 318.1818181818182, 66.66666666666667, 13.131313131313131]"
2.9984982639561014e24,"(phi = (13.0, 178.0), sumE = (2790.0, 3340.0), maxE = (1533.0, 3338.0), r = (1.0, 84.0))",0.08639036,0.13768 ± 0.00071,"[138.1818181818182, 152.72727272727272, 282.82828282828285, 1378.7878787878788, 141.41414141414143, 1803.030303030303, 86.86868686868686, 62.62626262626262]"
5.8331690226992217e23,"(phi = (15.0, 138.0), sumE = (2477.0, 3201.0), maxE = (1058.0, 2010.0), r = (19.0, 53.0))",0.03926287,7.3 ± 0.13,"[29.09090909090909, 18.181818181818183, 2439.3939393939395, 2368.686868686869, 2333.3333333333335, 1732.3232323232323, 31.31313131313131, 56.56565656565657]"
1.2848902573887623e24,"(phi = (3.0, 130.0), sumE = (2841.0, 3047.0), maxE = (1246.0, 2986.0), r = (0.0, 72.0))",0.03586699,0.04945 ± 0.00018,"[152.72727272727272, 163.63636363636363, 3075.757575757576, 2156.5656565656564, 2616.161616161616, 2863.6363636363635, 69.6969696969697, 30.303030303030305]"
4.5096289756429806e23,"(phi = (58.0, 147.0), sumE = (701.0, 3090.0), maxE = (2172.0, 3092.0), r = (9.0, 70.0))",0.02612409,4.934 ± 0.087,"[54.54545454545455, 178.1818181818182, 1025.2525252525252, 601.010101010101, 3146.4646464646466, 671.7171717171717, 92.92929292929293, 39.39393939393939]"
3.806001560893808e23,"(phi = (29.0, 77.0), sumE = (2575.0, 3022.0), maxE = (1175.0, 3405.0), r = (18.0, 33.0))",0.01344449,0.829 ± 0.014,"[21.818181818181817, 78.18181818181819, 2686.868686868687, 2969.6969696969695, 989.89898989899, 1626.2626262626263, 46.464646464646464, 34.343434343434346]"
3.6582519206381576e23,"(phi = (55.0, 165.0), sumE = (1001.0, 2943.0), maxE = (2180.0, 3213.0), r = (16.0, 57.0))",0.02004637,4.132 ± 0.073,"[158.1818181818182, 156.36363636363637, 2085.8585858585857, 424.24242424242425, 3358.5858585858587, 2792.929292929293, 88.88888888888889, 3.0303030303030303]"
1.488762463828784e24,"(phi = (15.0, 138.0), sumE = (2596.0, 2827.0), maxE = (1465.0, 3387.0), r = (1.0, 62.0))",0.07669686,3.392 ± 0.058,"[1.8181818181818181, 112.72727272727273, 2616.161616161616, 1237.3737373737374, 1449.4949494949494, 2510.10101010101, 5.05050505050505, 47.474747474747474]"
