thalf,roi,eff,b,x0
6.434130926049392e23,"(phi = (65.0, 178.0), sumE = (2385.0, 3365.0), maxE = (1188.0, 2462.0), r = (14.0, 84.0))",0.09643927,48.89 ± 0.88,"[141.8181818181818, 34.54545454545455, 2792.929292929293, 1873.7373737373737, 742.4242424242424, 530.3030303030303, 48.484848484848484, 10.1010101010101]"
1.2075367493565039e24,"(phi = (65.0, 178.0), sumE = (2622.0, 3328.0), maxE = (1166.0, 2151.0), r = (18.0, 84.0))",0.04455892,1.005 ± 0.017,"[43.63636363636363, 170.9090909090909, 636.3636363636364, 2969.6969696969695, 707.070707070707, 1520.20202020202, 11.11111111111111, 28.282828282828284]"
6.015589598458356e23,"(phi = (20.0, 143.0), sumE = (2308.0, 3405.0), maxE = (340.0, 3470.0), r = (7.0, 93.0))",0.15044221,147.5 ± 2.7,"[103.63636363636364, 61.81818181818182, 2792.929292929293, 2934.343434343434, 2191.919191919192, 1343.4343434343434, 17.171717171717173, 17.171717171717173]"
6.530518201304255e23,"(phi = (18.0, 74.0), sumE = (2758.0, 3412.0), maxE = (44.0, 2951.0), r = (9.0, 84.0))",0.01849236,0.08558 ± 0.00071,"[121.81818181818181, 149.0909090909091, 3217.1717171717173, 2898.989898989899, 3040.40404040404, 1520.20202020202, 52.525252525252526, 95.95959595959596]"
2.349307156190881e24,"(phi = (8.0, 147.0), sumE = (2699.0, 3169.0), maxE = (1431.0, 3253.0), r = (2.0, 22.0))",0.07799474,0.6189 ± 0.0098,"[92.72727272727273, 123.63636363636364, 954.5454545454545, 848.4848484848485, 3217.1717171717173, 1343.4343434343434, 27.272727272727273, 84.84848484848484]"
1.369922986811987e24,"(phi = (28.0, 109.0), sumE = (2714.0, 3172.0), maxE = (1381.0, 2861.0), r = (9.0, 37.0))",0.04052733,0.2211 ± 0.0028,"[40.0, 105.45454545454545, 3358.5858585858587, 3287.878787878788, 494.949494949495, 2863.6363636363635, 19.19191919191919, 53.535353535353536]"
1.0211417244472811e24,"(phi = (35.0, 119.0), sumE = (2685.0, 2964.0), maxE = (1418.0, 1931.0), r = (7.0, 47.0))",0.03097552,0.3033 ± 0.0048,"[38.18181818181818, 169.0909090909091, 2297.979797979798, 2333.3333333333335, 1520.20202020202, 2828.282828282828, 90.9090909090909, 13.131313131313131]"
1.7788827727581777e24,"(phi = (71.0, 167.0), sumE = (2740.0, 2979.0), maxE = (445.0, 2277.0), r = (9.0, 34.0))",0.05072614,0.1127 ± 0.0016,"[58.18181818181818, 156.36363636363637, 1979.79797979798, 2121.212121212121, 353.5353535353535, 3181.818181818182, 15.151515151515152, 55.55555555555556]"
8.043355641662684e23,"(phi = (122.0, 168.0), sumE = (2685.0, 3343.0), maxE = (447.0, 3372.0), r = (19.0, 87.0))",0.02317388,0.1365 ± 0.0018,"[1.8181818181818181, 154.54545454545453, 1520.20202020202, 3181.818181818182, 3146.4646464646466, 1873.7373737373737, 19.19191919191919, 44.44444444444444]"
1.127595325787704e24,"(phi = (38.0, 127.0), sumE = (2745.0, 3193.0), maxE = (144.0, 2422.0), r = (15.0, 90.0))",0.03159029,0.06137 ± 0.00053,"[54.54545454545455, 47.27272727272727, 1166.6666666666667, 1803.030303030303, 601.010101010101, 3500.0, 24.242424242424242, 71.71717171717172]"
7.72796392777965e23,"(phi = (31.0, 140.0), sumE = (2882.0, 3256.0), maxE = (487.0, 3416.0), r = (6.0, 61.0))",0.021415,0.030936185279999997 ± 0.0,"[90.9090909090909, 5.454545454545454, 459.5959595959596, 2792.929292929293, 35.35353535353536, 3323.2323232323233, 13.131313131313131, 6.0606060606060606]"
1.0523594607856603e24,"(phi = (22.0, 169.0), sumE = (2466.0, 2938.0), maxE = (600.0, 2563.0), r = (13.0, 51.0))",0.11503729,23.76 ± 0.42,"[163.63636363636363, 65.45454545454545, 1060.6060606060605, 176.76767676767676, 176.76767676767676, 1944.4444444444443, 54.54545454545455, 29.292929292929294]"
1.7675402658262468e24,"(phi = (16.0, 140.0), sumE = (2778.0, 3304.0), maxE = (1392.0, 3097.0), r = (11.0, 52.0))",0.05022722,0.10401 ± 0.00071,"[107.27272727272727, 12.727272727272727, 353.5353535353535, 2969.6969696969695, 2863.6363636363635, 1060.6060606060605, 65.65656565656566, 14.141414141414142]"
2.2873828318542706e24,"(phi = (68.0, 161.0), sumE = (2775.0, 3070.0), maxE = (1568.0, 3283.0), r = (3.0, 49.0))",0.06477144,0.09025 ± 0.00089,"[87.27272727272727, 180.0, 2015.1515151515152, 883.8383838383838, 2757.5757575757575, 3429.2929292929293, 85.85858585858585, 27.272727272727273]"
