thalf,roi,eff,b,x0
1.2619783325526637e22 ± 0.0,"(phi = (11.0, 165.0), sumE = (139.0, 3429.0), maxE = (84.0, 1978.0), r = (3.0, 74.0))",0.07704706 ± 0.0,109200.0 ± 1500.0,"[138.1818181818182, 107.27272727272727, 1803.030303030303, 2404.040404040404, 247.4747474747475, 3323.2323232323233, 75.75757575757575, 23.232323232323232]"
1.0865762896237375e22 ± 0.0,"(phi = (18.0, 170.0), sumE = (966.0, 2274.0), maxE = (414.0, 3471.0), r = (4.0, 93.0))",0.0507289 ± 0.0,63900.0 ± 1000.0,"[141.8181818181818, 29.09090909090909, 1378.7878787878788, 247.4747474747475, 318.1818181818182, 989.89898989899, 10.1010101010101, 25.252525252525253]"
1.1950553167177336e22 ± 0.0,"(phi = (0.0, 175.0), sumE = (532.0, 2801.0), maxE = (505.0, 2610.0), r = (3.0, 56.0))",0.06467801 ± 0.0,85800.0 ± 1300.0,"[114.54545454545455, 36.36363636363637, 2085.8585858585857, 2545.4545454545455, 353.5353535353535, 742.4242424242424, 62.62626262626262, 72.72727272727273]"
1.211462474712967e22 ± 0.0,"(phi = (19.0, 170.0), sumE = (45.0, 2435.0), maxE = (98.0, 3035.0), r = (7.0, 70.0))",0.07165979 ± 0.0,102500.0 ± 1400.0,"[107.27272727272727, 114.54545454545455, 1803.030303030303, 141.41414141414143, 3500.0, 3287.878787878788, 58.58585858585859, 47.474747474747474]"
1.1975120104329446e22 ± 0.0,"(phi = (24.0, 173.0), sumE = (519.0, 1801.0), maxE = (79.0, 2443.0), r = (2.0, 84.0))",0.06895073 ± 0.0,97200.0 ± 1400.0,"[61.81818181818182, 30.90909090909091, 1131.3131313131314, 2404.040404040404, 3217.1717171717173, 106.06060606060606, 13.131313131313131, 66.66666666666667]"
1.175448450186644e22 ± 0.0,"(phi = (1.0, 179.0), sumE = (595.0, 2976.0), maxE = (261.0, 1963.0), r = (9.0, 56.0))",0.06420044 ± 0.0,87400.0 ± 1300.0,"[81.81818181818181, 76.36363636363636, 2404.040404040404, 1909.090909090909, 35.35353535353536, 2722.222222222222, 3.0303030303030303, 87.87878787878788]"
1.1174004775349484e22 ± 0.0,"(phi = (6.0, 172.0), sumE = (77.0, 2372.0), maxE = (581.0, 1461.0), r = (2.0, 73.0))",0.0553788 ± 0.0,72000.0 ± 1100.0,"[160.0, 14.545454545454545, 1308.080808080808, 3181.818181818182, 1661.6161616161617, 2863.6363636363635, 43.43434343434343, 18.181818181818183]"
1.2097954499233841e22 ± 0.0,"(phi = (3.0, 177.0), sumE = (377.0, 3251.0), maxE = (444.0, 3478.0), r = (5.0, 98.0))",0.06736719 ± 0.0,90900.0 ± 1300.0,"[178.1818181818182, 25.454545454545453, 2085.8585858585857, 2015.1515151515152, 565.6565656565657, 3287.878787878788, 82.82828282828282, 11.11111111111111]"
1.0839813316471712e22 ± 0.0,"(phi = (35.0, 140.0), sumE = (99.0, 2824.0), maxE = (283.0, 1745.0), r = (1.0, 98.0))",0.05530688 ± 0.0,76300.0 ± 1100.0,"[38.18181818181818, 94.54545454545455, 2580.808080808081, 2474.747474747475, 1025.2525252525252, 2121.212121212121, 90.9090909090909, 68.68686868686869]"
1.1484683040031804e22 ± 0.0,"(phi = (23.0, 169.0), sumE = (151.0, 3432.0), maxE = (520.0, 2463.0), r = (4.0, 84.0))",0.05978591 ± 0.0,79400.0 ± 1200.0,"[61.81818181818182, 156.36363636363637, 919.1919191919192, 2651.5151515151515, 2085.8585858585857, 2121.212121212121, 76.76767676767676, 57.57575757575758]"
