thalf,roi,eff,b,x0
9.225479464835399e21 ± 0.0,"(phi = (54.0, 136.0), sumE = (41.0, 3496.0), maxE = (117.0, 3077.0), r = (2.0, 95.0))",0.04188373 ± 0.0,60400.0 ± 840.0,"[89.0909090909091, 160.0, 1166.6666666666667, 3323.2323232323233, 1166.6666666666667, 2156.5656565656564, 6.0606060606060606, 65.65656565656566]"
1.260791391035561e22 ± 0.0,"(phi = (21.0, 180.0), sumE = (368.0, 2535.0), maxE = (289.0, 2225.0), r = (3.0, 100.0))",0.07630678 ± 0.0,107300.0 ± 1500.0,"[78.18181818181819, 167.27272727272728, 1626.2626262626263, 883.8383838383838, 2686.868686868687, 35.35353535353536, 91.91919191919192, 11.11111111111111]"
1.13404470595074e22 ± 0.0,"(phi = (18.0, 166.0), sumE = (733.0, 2809.0), maxE = (392.0, 1290.0), r = (4.0, 91.0))",0.05850491 ± 0.0,78000.0 ± 1200.0,"[110.9090909090909, 145.45454545454547, 3429.2929292929293, 919.1919191919192, 1873.7373737373737, 3040.40404040404, 32.323232323232325, 66.66666666666667]"
1.2346260537151741e22 ± 0.0,"(phi = (31.0, 180.0), sumE = (66.0, 3068.0), maxE = (190.0, 2605.0), r = (2.0, 99.0))",0.07520888 ± 0.0,108700.0 ± 1500.0,"[72.72727272727273, 118.18181818181819, 3429.2929292929293, 1732.3232323232323, 1308.080808080808, 70.70707070707071, 82.82828282828282, 71.71717171717172]"
1.2683501823700098e22 ± 0.0,"(phi = (1.0, 165.0), sumE = (151.0, 3407.0), maxE = (267.0, 2169.0), r = (2.0, 65.0))",0.07663021 ± 0.0,107000.0 ± 1500.0,"[80.0, 161.8181818181818, 1272.7272727272727, 2580.808080808081, 2580.808080808081, 1909.090909090909, 54.54545454545455, 10.1010101010101]"
1.02838658906426e22 ± 0.0,"(phi = (25.0, 130.0), sumE = (258.0, 2175.0), maxE = (499.0, 2577.0), r = (1.0, 58.0))",0.04511885 ± 0.0,56410.0 ± 820.0,"[23.636363636363637, 14.545454545454545, 1944.4444444444443, 813.1313131313132, 3075.757575757576, 2050.5050505050503, 34.343434343434346, 90.9090909090909]"
1.021438645529715e22 ± 0.0,"(phi = (10.0, 164.0), sumE = (1049.0, 2789.0), maxE = (69.0, 2994.0), r = (5.0, 84.0))",0.04378894 ± 0.0,53860.0 ± 870.0,"[154.54545454545453, 56.36363636363637, 3287.878787878788, 1060.6060606060605, 1378.7878787878788, 3358.5858585858587, 20.2020202020202, 76.76767676767676]"
1.2024153395074053e22 ± 0.0,"(phi = (2.0, 174.0), sumE = (435.0, 3006.0), maxE = (492.0, 3305.0), r = (3.0, 55.0))",0.0656721 ± 0.0,87400.0 ± 1300.0,"[101.81818181818181, 34.54545454545455, 777.7777777777778, 3005.050505050505, 1343.4343434343434, 2510.10101010101, 91.91919191919192, 19.19191919191919]"
9.26212710863148e21 ± 0.0,"(phi = (15.0, 110.0), sumE = (455.0, 3475.0), maxE = (45.0, 2510.0), r = (10.0, 77.0))",0.03758524 ± 0.0,48260.0 ± 630.0,"[76.36363636363636, 83.63636363636364, 3429.2929292929293, 2368.686868686869, 35.35353535353536, 1095.959595959596, 21.21212121212121, 27.272727272727273]"
1.195799523257056e22 ± 0.0,"(phi = (18.0, 171.0), sumE = (215.0, 3163.0), maxE = (247.0, 2074.0), r = (8.0, 81.0))",0.06908801 ± 0.0,97800.0 ± 1400.0,"[112.72727272727273, 132.72727272727272, 1060.6060606060605, 636.3636363636364, 70.70707070707071, 2898.989898989899, 54.54545454545455, 80.8080808080808]"
1.1530390996546885e22 ± 0.0,"(phi = (27.0, 152.0), sumE = (508.0, 3009.0), maxE = (289.0, 2868.0), r = (5.0, 49.0))",0.06205494 ± 0.0,84900.0 ± 1200.0,"[169.0909090909091, 10.909090909090908, 1343.4343434343434, 1095.959595959596, 1414.141414141414, 1378.7878787878788, 92.92929292929293, 44.44444444444444]"
1.120937006866211e22 ± 0.0,"(phi = (10.0, 150.0), sumE = (323.0, 1969.0), maxE = (55.0, 1195.0), r = (3.0, 67.0))",0.06116187 ± 0.0,87200.0 ± 1200.0,"[98.18181818181819, 58.18181818181818, 671.7171717171717, 282.82828282828285, 989.89898989899, 282.82828282828285, 53.535353535353536, 49.494949494949495]"
