thalf,roi,eff,b,x0
5.716097667385945e22,"(phi = (58.0, 179.0), sumE = (1864.0, 3410.0), maxE = (507.0, 3097.0), r = (13.0, 84.0))",0.05389791,2605.0 ± 47.0,"[47.27272727272727, 160.0, 1378.7878787878788, 2085.8585858585857, 2262.626262626263, 2191.919191919192, 33.333333333333336, 68.68686868686869]"
8.453851331710981e22,"(phi = (88.0, 140.0), sumE = (2374.0, 3465.0), maxE = (657.0, 2855.0), r = (2.0, 47.0))",0.01229212,45.65 ± 0.82,"[70.9090909090909, 5.454545454545454, 1449.4949494949494, 1661.6161616161617, 282.82828282828285, 1626.2626262626263, 89.8989898989899, 97.97979797979798]"
9.213245711736266e22,"(phi = (87.0, 173.0), sumE = (2177.0, 3492.0), maxE = (1117.0, 3249.0), r = (3.0, 75.0))",0.03662399,463.1 ± 8.4,"[161.8181818181818, 163.63636363636363, 3323.2323232323233, 1414.141414141414, 2333.3333333333335, 2545.4545454545455, 38.38383838383838, 57.57575757575758]"
8.12521812721229e22,"(phi = (11.0, 147.0), sumE = (2132.0, 2991.0), maxE = (1332.0, 2737.0), r = (10.0, 53.0))",0.03103175,427.4 ± 7.7,"[143.63636363636363, 107.27272727272727, 2297.979797979798, 3500.0, 2227.2727272727275, 2085.8585858585857, 20.2020202020202, 5.05050505050505]"
8.720858555808004e22,"(phi = (80.0, 156.0), sumE = (2261.0, 3156.0), maxE = (1361.0, 3137.0), r = (1.0, 93.0))",0.02290503,163.7 ± 3.0,"[78.18181818181819, 109.0909090909091, 1414.141414141414, 3181.818181818182, 247.4747474747475, 2085.8585858585857, 4.040404040404041, 53.535353535353536]"
1.0009664420611952e23,"(phi = (43.0, 161.0), sumE = (2409.0, 2845.0), maxE = (998.0, 2176.0), r = (9.0, 94.0))",0.01502983,49.09 ± 0.88,"[116.36363636363636, 58.18181818181818, 212.12121212121212, 777.7777777777778, 2085.8585858585857, 3111.1111111111113, 7.070707070707071, 36.36363636363637]"
8.26719058234575e22,"(phi = (49.0, 173.0), sumE = (2369.0, 3189.0), maxE = (962.0, 2545.0), r = (17.0, 98.0))",0.01270573,51.34 ± 0.92,"[20.0, 170.9090909090909, 2616.161616161616, 2828.282828282828, 459.5959595959596, 1661.6161616161617, 19.19191919191919, 60.60606060606061]"
1.0147415243653299e23,"(phi = (35.0, 176.0), sumE = (2406.0, 3470.0), maxE = (414.0, 2859.0), r = (12.0, 41.0))",0.01508259,47.87 ± 0.86,"[96.36363636363636, 160.0, 1555.5555555555557, 1661.6161616161617, 1732.3232323232323, 459.5959595959596, 60.60606060606061, 69.6969696969697]"
9.094781866076209e22,"(phi = (36.0, 143.0), sumE = (2223.0, 3454.0), maxE = (1214.0, 2458.0), r = (5.0, 52.0))",0.03157648,293.0 ± 5.3,"[45.45454545454545, 116.36363636363636, 671.7171717171717, 1343.4343434343434, 813.1313131313132, 70.70707070707071, 95.95959595959596, 83.83838383838383]"
9.49239682133934e22,"(phi = (1.0, 170.0), sumE = (2278.0, 3500.0), maxE = (1584.0, 3278.0), r = (1.0, 96.0))",0.02407103,151.5 ± 2.7,"[96.36363636363636, 178.1818181818182, 1909.090909090909, 1131.3131313131314, 212.12121212121212, 3287.878787878788, 59.5959595959596, 76.76767676767676]"
1.0139531981719563e23,"(phi = (26.0, 156.0), sumE = (2545.0, 2960.0), maxE = (142.0, 2094.0), r = (8.0, 79.0))",0.00687983,7.47 ± 0.13,"[49.09090909090909, 89.0909090909091, 2404.040404040404, 212.12121212121212, 2580.808080808081, 1696.969696969697, 77.77777777777777, 30.303030303030305]"
