thalf,roi,eff,b,x0
1.2501602954929097e22 ± 0.0,"(phi = (3.0, 166.0), sumE = (299.0, 3348.0), maxE = (354.0, 3211.0), r = (3.0, 72.0))",0.07308346 ± 0.0,100100.0 ± 1400.0,"[40.0, 78.18181818181819, 247.4747474747475, 2580.808080808081, 1590.909090909091, 1060.6060606060605, 78.78787878787878, 89.8989898989899]"
1.0613290126540165e22 ± 0.0,"(phi = (36.0, 136.0), sumE = (157.0, 2902.0), maxE = (5.0, 1861.0), r = (0.0, 82.0))",0.05366084 ± 0.0,74900.0 ± 1000.0,"[67.27272727272727, 160.0, 2191.919191919192, 2934.343434343434, 1838.3838383838383, 1838.3838383838383, 94.94949494949495, 45.45454545454545]"
1.0198755783930982e22 ± 0.0,"(phi = (53.0, 160.0), sumE = (358.0, 3372.0), maxE = (251.0, 1787.0), r = (6.0, 51.0))",0.05236982 ± 0.0,77300.0 ± 1100.0,"[80.0, 121.81818181818181, 2015.1515151515152, 1520.20202020202, 1272.7272727272727, 1873.7373737373737, 70.70707070707071, 75.75757575757575]"
1.1326588470274573e22 ± 0.0,"(phi = (27.0, 152.0), sumE = (179.0, 2215.0), maxE = (137.0, 2410.0), r = (7.0, 99.0))",0.06206903 ± 0.0,88000.0 ± 1200.0,"[176.36363636363637, 152.72727272727272, 2085.8585858585857, 3287.878787878788, 3075.757575757576, 318.1818181818182, 98.98989898989899, 81.81818181818181]"
1.2306417789828768e22 ± 0.0,"(phi = (6.0, 172.0), sumE = (659.0, 3162.0), maxE = (99.0, 3468.0), r = (2.0, 46.0))",0.0691395 ± 0.0,92500.0 ± 1400.0,"[7.2727272727272725, 80.0, 2510.10101010101, 2686.868686868687, 1767.6767676767677, 106.06060606060606, 43.43434343434343, 63.63636363636363]"
1.2443538419490553e22 ± 0.0,"(phi = (19.0, 175.0), sumE = (461.0, 2574.0), maxE = (117.0, 2856.0), r = (5.0, 68.0))",0.07400002 ± 0.0,103600.0 ± 1500.0,"[14.545454545454545, 118.18181818181819, 2297.979797979798, 2580.808080808081, 671.7171717171717, 2156.5656565656564, 28.282828282828284, 89.8989898989899]"
1.026238823793261e22 ± 0.0,"(phi = (4.0, 171.0), sumE = (1003.0, 1807.0), maxE = (495.0, 2113.0), r = (1.0, 68.0))",0.0453919 ± 0.0,57330.0 ± 900.0,"[67.27272727272727, 130.9090909090909, 353.5353535353535, 3252.5252525252527, 3217.1717171717173, 2898.989898989899, 21.21212121212121, 55.55555555555556]"
1.2846139428652943e22 ± 0.0,"(phi = (15.0, 175.0), sumE = (464.0, 3474.0), maxE = (11.0, 3322.0), r = (0.0, 64.0))",0.07856815 ± 0.0,109600.0 ± 1500.0,"[50.90909090909091, 89.0909090909091, 2545.4545454545455, 2227.2727272727275, 2015.1515151515152, 919.1919191919192, 93.93939393939394, 63.63636363636363]"
1.21174537206502e22 ± 0.0,"(phi = (27.0, 163.0), sumE = (266.0, 2713.0), maxE = (244.0, 2700.0), r = (4.0, 95.0))",0.07099266 ± 0.0,100600.0 ± 1400.0,"[120.0, 110.9090909090909, 2757.5757575757575, 1025.2525252525252, 3358.5858585858587, 1590.909090909091, 3.0303030303030303, 4.040404040404041]"
1.189811239662264e22 ± 0.0,"(phi = (18.0, 165.0), sumE = (205.0, 2884.0), maxE = (28.0, 3478.0), r = (5.0, 43.0))",0.06844724 ± 0.0,97000.0 ± 1300.0,"[96.36363636363636, 141.8181818181818, 353.5353535353535, 1166.6666666666667, 1308.080808080808, 2297.979797979798, 15.151515151515152, 43.43434343434343]"
1.1966558500007788e22 ± 0.0,"(phi = (4.0, 148.0), sumE = (18.0, 2716.0), maxE = (170.0, 3426.0), r = (4.0, 65.0))",0.06768196 ± 0.0,93700.0 ± 1300.0,"[54.54545454545455, 165.45454545454547, 3111.1111111111113, 2015.1515151515152, 1944.4444444444443, 3429.2929292929293, 56.56565656565657, 65.65656565656566]"
1.1933512623284774e22 ± 0.0,"(phi = (15.0, 153.0), sumE = (560.0, 2092.0), maxE = (76.0, 1531.0), r = (2.0, 59.0))",0.06566298 ± 0.0,88700.0 ± 1300.0,"[96.36363636363636, 38.18181818181818, 2686.868686868687, 1484.8484848484848, 1803.030303030303, 2191.919191919192, 43.43434343434343, 40.4040404040404]"
1.1326403441953184e22 ± 0.0,"(phi = (23.0, 138.0), sumE = (61.0, 3274.0), maxE = (89.0, 2876.0), r = (3.0, 95.0))",0.06013983 ± 0.0,82600.0 ± 1100.0,"[165.45454545454547, 32.72727272727273, 70.70707070707071, 1449.4949494949494, 2191.919191919192, 3358.5858585858587, 65.65656565656566, 27.272727272727273]"
1.0797127155882855e22 ± 0.0,"(phi = (17.0, 150.0), sumE = (484.0, 2117.0), maxE = (108.0, 1361.0), r = (9.0, 56.0))",0.05494015 ± 0.0,75900.0 ± 1000.0,"[40.0, 49.09090909090909, 35.35353535353536, 1166.6666666666667, 2510.10101010101, 1166.6666666666667, 8.080808080808081, 10.1010101010101]"
1.0551841604113214e22 ± 0.0,"(phi = (4.0, 147.0), sumE = (652.0, 1851.0), maxE = (534.0, 3115.0), r = (4.0, 90.0))",0.04865439 ± 0.0,62300.0 ± 920.0,"[145.45454545454547, 29.09090909090909, 2015.1515151515152, 0.0, 989.89898989899, 3181.818181818182, 95.95959595959596, 56.56565656565657]"
