thalf,roi,eff,b,x0
1.216942496680726e22 ± 0.0,"(phi = (20.0, 177.0), sumE = (51.0, 1854.0), maxE = (77.0, 3314.0), r = (4.0, 56.0))",0.07323629 ± 0.0,106100.0 ± 1400.0,"[30.90909090909091, 70.9090909090909, 1343.4343434343434, 2863.6363636363635, 2969.6969696969695, 459.5959595959596, 85.85858585858585, 93.93939393939394]"
1.0403455475230695e22 ± 0.0,"(phi = (27.0, 138.0), sumE = (309.0, 1940.0), maxE = (487.0, 1818.0), r = (1.0, 60.0))",0.04772168 ± 0.0,61660.0 ± 890.0,"[156.36363636363637, 10.909090909090908, 3287.878787878788, 282.82828282828285, 3111.1111111111113, 848.4848484848485, 39.39393939393939, 75.75757575757575]"
1.1602979044385465e22 ± 0.0,"(phi = (21.0, 160.0), sumE = (527.0, 3242.0), maxE = (244.0, 3212.0), r = (8.0, 75.0))",0.06303164 ± 0.0,86500.0 ± 1200.0,"[27.272727272727273, 156.36363636363637, 282.82828282828285, 777.7777777777778, 2262.626262626263, 3323.2323232323233, 96.96969696969697, 71.71717171717172]"
1.1942920679370344e22 ± 0.0,"(phi = (12.0, 155.0), sumE = (190.0, 2316.0), maxE = (238.0, 1921.0), r = (6.0, 86.0))",0.06776668 ± 0.0,94400.0 ± 1300.0,"[96.36363636363636, 145.45454545454547, 2898.989898989899, 848.4848484848485, 1095.959595959596, 3464.6464646464647, 73.73737373737374, 53.535353535353536]"
1.2113970235020251e22 ± 0.0,"(phi = (22.0, 170.0), sumE = (166.0, 1901.0), maxE = (110.0, 3340.0), r = (3.0, 48.0))",0.07223641 ± 0.0,104200.0 ± 1400.0,"[25.454545454545453, 161.8181818181818, 1272.7272727272727, 707.070707070707, 70.70707070707071, 530.3030303030303, 67.67676767676768, 49.494949494949495]"
1.239788675228406e22 ± 0.0,"(phi = (4.0, 158.0), sumE = (594.0, 3406.0), maxE = (148.0, 2697.0), r = (1.0, 95.0))",0.07017401 ± 0.0,93900.0 ± 1400.0,"[52.72727272727273, 107.27272727272727, 2934.343434343434, 3429.2929292929293, 1909.090909090909, 1343.4343434343434, 74.74747474747475, 42.42424242424242]"
1.2227027409246978e22 ± 0.0,"(phi = (2.0, 173.0), sumE = (476.0, 2507.0), maxE = (44.0, 2029.0), r = (7.0, 68.0))",0.07100418 ± 0.0,98800.0 ± 1400.0,"[96.36363636363636, 76.36363636363636, 2050.5050505050503, 3075.757575757576, 3323.2323232323233, 3464.6464646464647, 89.8989898989899, 78.78787878787878]"
1.0861934773329656e22 ± 0.0,"(phi = (36.0, 179.0), sumE = (839.0, 3197.0), maxE = (176.0, 3005.0), r = (5.0, 97.0))",0.05358568 ± 0.0,71300.0 ± 1100.0,"[163.63636363636363, 96.36363636363636, 1237.3737373737374, 2474.747474747475, 1838.3838383838383, 2757.5757575757575, 56.56565656565657, 87.87878787878788]"
1.10475739925809e22 ± 0.0,"(phi = (22.0, 132.0), sumE = (489.0, 3238.0), maxE = (350.0, 2800.0), r = (1.0, 58.0))",0.05417615 ± 0.0,70470.0 ± 980.0,"[23.636363636363637, 23.636363636363637, 1484.8484848484848, 3464.6464646464647, 70.70707070707071, 1343.4343434343434, 27.272727272727273, 48.484848484848484]"
1.2553538683157682e22 ± 0.0,"(phi = (1.0, 165.0), sumE = (272.0, 3306.0), maxE = (88.0, 3471.0), r = (4.0, 60.0))",0.07614445 ± 0.0,107800.0 ± 1500.0,"[1.8181818181818181, 103.63636363636364, 1343.4343434343434, 318.1818181818182, 388.8888888888889, 848.4848484848485, 86.86868686868686, 80.8080808080808]"
1.0773605465657421e22 ± 0.0,"(phi = (19.0, 160.0), sumE = (317.0, 3278.0), maxE = (271.0, 1804.0), r = (8.0, 38.0))",0.05502457 ± 0.0,76400.0 ± 1100.0,"[92.72727272727273, 52.72727272727273, 35.35353535353536, 813.1313131313132, 919.1919191919192, 176.76767676767676, 55.55555555555556, 60.60606060606061]"
