thalf,roi,eff,b,x0
9.249684158701658e22,"(phi = (0.0, 130.0), sumE = (2291.0, 3191.0), maxE = (800.0, 2508.0), r = (5.0, 56.0))",0.02361688,154.0 ± 2.8,"[98.18181818181819, 54.54545454545455, 1873.7373737373737, 459.5959595959596, 282.82828282828285, 35.35353535353536, 69.6969696969697, 58.58585858585859]"
6.410879821965146e22,"(phi = (7.0, 175.0), sumE = (2703.0, 3163.0), maxE = (1149.0, 2228.0), r = (8.0, 47.0))",0.0020922,0.5619 ± 0.0083,"[103.63636363636364, 43.63636363636363, 1873.7373737373737, 636.3636363636364, 813.1313131313132, 2297.979797979798, 92.92929292929293, 81.81818181818181]"
6.95166146322693e22,"(phi = (100.0, 169.0), sumE = (2128.0, 2611.0), maxE = (1065.0, 2649.0), r = (2.0, 81.0))",0.03115645,589.0 ± 11.0,"[158.1818181818182, 120.0, 2015.1515151515152, 919.1919191919192, 1095.959595959596, 141.41414141414143, 59.5959595959596, 69.6969696969697]"
6.32969343378098e22,"(phi = (19.0, 179.0), sumE = (2426.0, 3323.0), maxE = (1050.0, 1909.0), r = (19.0, 50.0))",0.00617598,18.28 ± 0.33,"[83.63636363636364, 36.36363636363637, 3323.2323232323233, 2050.5050505050503, 919.1919191919192, 2439.3939393939395, 62.62626262626262, 35.35353535353536]"
1.0576327322116704e23,"(phi = (2.0, 163.0), sumE = (2293.0, 3468.0), maxE = (1018.0, 3060.0), r = (8.0, 96.0))",0.03089477,204.4 ± 3.7,"[100.0, 12.727272727272727, 3005.050505050505, 2015.1515151515152, 2015.1515151515152, 1308.080808080808, 1.0101010101010102, 95.95959595959596]"
6.6623463180406266e22,"(phi = (12.0, 172.0), sumE = (2651.0, 3139.0), maxE = (1516.0, 2456.0), r = (9.0, 27.0))",0.00247563,1.042 ± 0.017,"[60.0, 136.36363636363637, 883.8383838383838, 601.010101010101, 1838.3838383838383, 2156.5656565656564, 29.292929292929294, 79.79797979797979]"
8.418972046785927e22,"(phi = (91.0, 175.0), sumE = (2181.0, 2713.0), maxE = (103.0, 2705.0), r = (0.0, 39.0))",0.03221175,429.0 ± 7.8,"[145.45454545454547, 107.27272727272727, 2898.989898989899, 3358.5858585858587, 1873.7373737373737, 2863.6363636363635, 43.43434343434343, 49.494949494949495]"
7.574108012079172e22,"(phi = (113.0, 177.0), sumE = (2537.0, 3039.0), maxE = (963.0, 2431.0), r = (8.0, 29.0))",0.00444043,5.107 ± 0.091,"[1.8181818181818181, 89.0909090909091, 1095.959595959596, 3146.4646464646466, 919.1919191919192, 565.6565656565657, 68.68686868686869, 29.292929292929294]"
6.00351493953935e22,"(phi = (54.0, 171.0), sumE = (2290.0, 3322.0), maxE = (1605.0, 3141.0), r = (17.0, 81.0))",0.00960928,56.2 ± 1.0,"[40.0, 9.090909090909092, 212.12121212121212, 247.4747474747475, 388.8888888888889, 1767.6767676767677, 3.0303030303030303, 33.333333333333336]"
8.918534120228364e22,"(phi = (46.0, 156.0), sumE = (2193.0, 3292.0), maxE = (374.0, 2035.0), r = (5.0, 45.0))",0.03362459,416.5 ± 7.5,"[160.0, 92.72727272727273, 2439.3939393939395, 353.5353535353535, 2828.282828282828, 2651.5151515151515, 1.0101010101010102, 0.0]"
