thalf,roi,eff,b,x0
6.266045106353894e23,"(phi = (40.0, 119.0), sumE = (2426.0, 3139.0), maxE = (782.0, 2838.0), r = (16.0, 100.0))",0.05731877,15.76 ± 0.28,"[23.636363636363637, 161.8181818181818, 1414.141414141414, 176.76767676767676, 2969.6969696969695, 1484.8484848484848, 95.95959595959596, 60.60606060606061]"
7.512847580500234e23,"(phi = (1.0, 106.0), sumE = (2850.0, 3050.0), maxE = (13.0, 2753.0), r = (0.0, 62.0))",0.02081889,0.03279641508 ± 0.0,"[70.9090909090909, 23.636363636363637, 1378.7878787878788, 2156.5656565656564, 2898.989898989899, 2121.212121212121, 88.88888888888889, 70.70707070707071]"
4.7256407909124006e23,"(phi = (122.0, 173.0), sumE = (2423.0, 3050.0), maxE = (1198.0, 2071.0), r = (7.0, 60.0))",0.05072227,22.66 ± 0.41,"[7.2727272727272725, 167.27272727272728, 1449.4949494949494, 813.1313131313132, 2969.6969696969695, 1944.4444444444443, 27.272727272727273, 60.60606060606061]"
9.234824675772316e23,"(phi = (35.0, 155.0), sumE = (2393.0, 3315.0), maxE = (731.0, 2733.0), r = (6.0, 95.0))",0.16483281,71.7 ± 1.3,"[152.72727272727272, 114.54545454545455, 1131.3131313131314, 459.5959595959596, 2474.747474747475, 2828.282828282828, 5.05050505050505, 21.21212121212121]"
1.8223272520052936e24,"(phi = (9.0, 141.0), sumE = (2546.0, 3390.0), maxE = (302.0, 3151.0), r = (3.0, 36.0))",0.13111905,8.7 ± 0.15,"[0.0, 163.63636363636363, 2757.5757575757575, 848.4848484848485, 2474.747474747475, 919.1919191919192, 4.040404040404041, 92.92929292929293]"
1.4600910945795477e24,"(phi = (36.0, 146.0), sumE = (2607.0, 3369.0), maxE = (1883.0, 3414.0), r = (1.0, 31.0))",0.05674485,1.25 ± 0.021,"[30.90909090909091, 5.454545454545454, 3429.2929292929293, 2722.222222222222, 2121.212121212121, 1767.6767676767677, 27.272727272727273, 17.171717171717173]"
8.130976618929199e23,"(phi = (18.0, 165.0), sumE = (2418.0, 3182.0), maxE = (428.0, 2858.0), r = (16.0, 98.0))",0.10480391,34.86 ± 0.62,"[36.36363636363637, 40.0, 883.8383838383838, 2015.1515151515152, 1237.3737373737374, 1308.080808080808, 32.323232323232325, 97.97979797979798]"
1.515985902330461e24,"(phi = (43.0, 155.0), sumE = (2615.0, 3233.0), maxE = (871.0, 2960.0), r = (19.0, 94.0))",0.05950929,1.298 ± 0.021,"[180.0, 109.0909090909091, 565.6565656565657, 1343.4343434343434, 2616.161616161616, 2015.1515151515152, 50.505050505050505, 21.21212121212121]"
5.4685677297076277e23,"(phi = (20.0, 105.0), sumE = (2348.0, 3389.0), maxE = (1047.0, 3146.0), r = (6.0, 88.0))",0.08806409,57.1 ± 1.0,"[50.90909090909091, 160.0, 2757.5757575757575, 141.41414141414143, 3500.0, 35.35353535353536, 60.60606060606061, 15.151515151515152]"
1.1474718163461837e24,"(phi = (79.0, 147.0), sumE = (2779.0, 3347.0), maxE = (1476.0, 2404.0), r = (11.0, 92.0))",0.03168025,0.016178362199999997 ± 0.0,"[0.0, 101.81818181818181, 707.070707070707, 671.7171717171717, 2722.222222222222, 2333.3333333333335, 14.141414141414142, 86.86868686868686]"
2.2463943597418662e24,"(phi = (103.0, 168.0), sumE = (2658.0, 3476.0), maxE = (881.0, 2377.0), r = (1.0, 55.0))",0.08533004,1.144 ± 0.019,"[156.36363636363637, 121.81818181818181, 1378.7878787878788, 848.4848484848485, 883.8383838383838, 2404.040404040404, 12.121212121212121, 34.343434343434346]"
1.1649197305059818e24,"(phi = (34.0, 107.0), sumE = (2578.0, 3240.0), maxE = (1546.0, 2332.0), r = (1.0, 73.0))",0.05396833,2.336 ± 0.04,"[40.0, 18.181818181818183, 0.0, 2651.5151515151515, 530.3030303030303, 35.35353535353536, 39.39393939393939, 53.535353535353536]"
6.461074931958443e23,"(phi = (56.0, 168.0), sumE = (2505.0, 3434.0), maxE = (2259.0, 2842.0), r = (8.0, 99.0))",0.02427899,1.086 ± 0.018,"[114.54545454545455, 58.18181818181818, 1308.080808080808, 2757.5757575757575, 636.3636363636364, 2404.040404040404, 63.63636363636363, 65.65656565656566]"
1.1407255928139709e24,"(phi = (66.0, 136.0), sumE = (2669.0, 2859.0), maxE = (54.0, 3399.0), r = (8.0, 28.0))",0.03654376,0.4904 ± 0.0082,"[170.9090909090909, 141.8181818181818, 176.76767676767676, 2792.929292929293, 1873.7373737373737, 1025.2525252525252, 85.85858585858585, 22.22222222222222]"
3.84162841773377e23,"(phi = (26.0, 68.0), sumE = (2771.0, 3258.0), maxE = (72.0, 2866.0), r = (13.0, 63.0))",0.01072369,0.05053 ± 0.00035,"[67.27272727272727, 107.27272727272727, 3252.5252525252527, 2474.747474747475, 601.010101010101, 1414.141414141414, 47.474747474747474, 24.242424242424242]"
2.6731218454274187e23,"(phi = (13.0, 146.0), sumE = (2236.0, 3065.0), maxE = (484.0, 1995.0), r = (12.0, 78.0))",0.07815667,204.8 ± 3.7,"[92.72727272727273, 114.54545454545455, 1378.7878787878788, 2085.8585858585857, 3287.878787878788, 141.41414141414143, 24.242424242424242, 4.040404040404041]"
1.0168577038971898e24,"(phi = (0.0, 134.0), sumE = (2580.0, 3239.0), maxE = (1498.0, 1893.0), r = (7.0, 99.0))",0.0442594,1.892 ± 0.033,"[43.63636363636363, 180.0, 2934.343434343434, 282.82828282828285, 1095.959595959596, 1025.2525252525252, 64.64646464646465, 20.2020202020202]"
