thalf,roi,eff,b,x0
1.1403648290166491e22 ± 0.0,"(phi = (46.0, 178.0), sumE = (508.0, 3323.0), maxE = (153.0, 2282.0), r = (0.0, 54.0))",0.06425433 ± 0.0,93000.0 ± 1300.0,"[176.36363636363637, 103.63636363636364, 35.35353535353536, 1131.3131313131314, 2934.343434343434, 1696.969696969697, 66.66666666666667, 29.292929292929294]"
1.2020927780185677e22 ± 0.0,"(phi = (33.0, 178.0), sumE = (330.0, 2616.0), maxE = (344.0, 3493.0), r = (3.0, 66.0))",0.06963957 ± 0.0,98300.0 ± 1400.0,"[116.36363636363636, 29.09090909090909, 883.8383838383838, 3464.6464646464647, 1166.6666666666667, 2156.5656565656564, 73.73737373737374, 89.8989898989899]"
1.0217117239150788e22 ± 0.0,"(phi = (9.0, 111.0), sumE = (36.0, 2567.0), maxE = (77.0, 2881.0), r = (2.0, 94.0))",0.04658889 ± 0.0,60930.0 ± 780.0,"[43.63636363636363, 89.0909090909091, 2792.929292929293, 1626.2626262626263, 848.4848484848485, 1909.090909090909, 43.43434343434343, 75.75757575757575]"
1.1826649973278661e22 ± 0.0,"(phi = (15.0, 159.0), sumE = (554.0, 3023.0), maxE = (108.0, 2723.0), r = (7.0, 89.0))",0.06475456 ± 0.0,87900.0 ± 1300.0,"[52.72727272727273, 50.90909090909091, 1979.79797979798, 1095.959595959596, 3005.050505050505, 2191.919191919192, 79.79797979797979, 17.171717171717173]"
1.1620147715154295e22 ± 0.0,"(phi = (2.0, 161.0), sumE = (713.0, 2875.0), maxE = (133.0, 3001.0), r = (7.0, 100.0))",0.06022586 ± 0.0,78700.0 ± 1200.0,"[74.54545454545455, 49.09090909090909, 282.82828282828285, 1095.959595959596, 601.010101010101, 2015.1515151515152, 34.343434343434346, 6.0606060606060606]"
1.2106719957636983e22 ± 0.0,"(phi = (13.0, 163.0), sumE = (555.0, 3099.0), maxE = (170.0, 2807.0), r = (6.0, 74.0))",0.06809449 ± 0.0,92700.0 ± 1300.0,"[170.9090909090909, 158.1818181818182, 3393.939393939394, 1343.4343434343434, 3358.5858585858587, 3217.1717171717173, 33.333333333333336, 12.121212121212121]"
1.1752770023658434e22 ± 0.0,"(phi = (8.0, 165.0), sumE = (395.0, 2899.0), maxE = (455.0, 2492.0), r = (6.0, 60.0))",0.06295675 ± 0.0,84100.0 ± 1200.0,"[32.72727272727273, 20.0, 494.949494949495, 1555.5555555555557, 2686.868686868687, 282.82828282828285, 45.45454545454545, 27.272727272727273]"
1.196235820303087e22 ± 0.0,"(phi = (25.0, 154.0), sumE = (387.0, 3370.0), maxE = (356.0, 2355.0), r = (0.0, 78.0))",0.06655389 ± 0.0,90700.0 ± 1300.0,"[121.81818181818181, 120.0, 1661.6161616161617, 3111.1111111111113, 3500.0, 2439.3939393939395, 85.85858585858585, 36.36363636363637]"
1.2406595084427937e22 ± 0.0,"(phi = (27.0, 172.0), sumE = (119.0, 2995.0), maxE = (299.0, 2321.0), r = (2.0, 58.0))",0.07411178 ± 0.0,104600.0 ± 1500.0,"[123.63636363636364, 147.27272727272728, 813.1313131313132, 3464.6464646464647, 1944.4444444444443, 0.0, 34.343434343434346, 36.36363636363637]"
1.2456262628385736e22 ± 0.0,"(phi = (7.0, 179.0), sumE = (717.0, 2928.0), maxE = (107.0, 3498.0), r = (1.0, 51.0))",0.07004906 ± 0.0,92700.0 ± 1400.0,"[165.45454545454547, 43.63636363636363, 1661.6161616161617, 424.24242424242425, 1944.4444444444443, 813.1313131313132, 87.87878787878788, 73.73737373737374]"
1.0873417057476408e22 ± 0.0,"(phi = (2.0, 178.0), sumE = (157.0, 3498.0), maxE = (634.0, 3246.0), r = (3.0, 46.0))",0.05077672 ± 0.0,63900.0 ± 1000.0,"[30.90909090909091, 152.72727272727272, 2121.212121212121, 3075.757575757576, 919.1919191919192, 3323.2323232323233, 81.81818181818181, 8.080808080808081]"
1.2136861453477172e22 ± 0.0,"(phi = (7.0, 150.0), sumE = (106.0, 3180.0), maxE = (146.0, 3461.0), r = (3.0, 86.0))",0.06987875 ± 0.0,97100.0 ± 1300.0,"[5.454545454545454, 110.9090909090909, 2510.10101010101, 70.70707070707071, 3323.2323232323233, 2792.929292929293, 31.31313131313131, 51.515151515151516]"
1.2550693578093768e22 ± 0.0,"(phi = (4.0, 166.0), sumE = (313.0, 2984.0), maxE = (155.0, 1838.0), r = (4.0, 56.0))",0.07606253 ± 0.0,107600.0 ± 1500.0,"[89.0909090909091, 18.181818181818183, 1732.3232323232323, 3358.5858585858587, 3287.878787878788, 919.1919191919192, 76.76767676767676, 9.090909090909092]"
1.1713698392789616e22 ± 0.0,"(phi = (32.0, 153.0), sumE = (160.0, 2306.0), maxE = (99.0, 3488.0), r = (1.0, 85.0))",0.06665534 ± 0.0,94900.0 ± 1300.0,"[85.45454545454545, 87.27272727272727, 919.1919191919192, 1095.959595959596, 848.4848484848485, 1979.79797979798, 57.57575757575758, 47.474747474747474]"
1.0901357423017612e22 ± 0.0,"(phi = (24.0, 179.0), sumE = (96.0, 3402.0), maxE = (350.0, 3147.0), r = (3.0, 32.0))",0.05607873 ± 0.0,77500.0 ± 1100.0,"[29.09090909090909, 69.0909090909091, 1909.090909090909, 388.8888888888889, 3323.2323232323233, 1060.6060606060605, 86.86868686868686, 6.0606060606060606]"
1.0067414963987025e22 ± 0.0,"(phi = (20.0, 180.0), sumE = (311.0, 2964.0), maxE = (574.0, 1643.0), r = (11.0, 73.0))",0.0452287 ± 0.0,59150.0 ± 900.0,"[105.45454545454545, 69.0909090909091, 1555.5555555555557, 2828.282828282828, 176.76767676767676, 2757.5757575757575, 50.505050505050505, 37.37373737373738]"
1.1328260560820363e22 ± 0.0,"(phi = (19.0, 177.0), sumE = (472.0, 3231.0), maxE = (562.0, 1751.0), r = (4.0, 92.0))",0.05743072 ± 0.0,75300.0 ± 1100.0,"[58.18181818181818, 96.36363636363636, 2191.919191919192, 3252.5252525252527, 388.8888888888889, 954.5454545454545, 90.9090909090909, 13.131313131313131]"
1.1479094275401276e22 ± 0.0,"(phi = (6.0, 163.0), sumE = (101.0, 3318.0), maxE = (498.0, 2133.0), r = (6.0, 80.0))",0.05924011 ± 0.0,78000.0 ± 1200.0,"[143.63636363636363, 103.63636363636364, 3005.050505050505, 3040.40404040404, 742.4242424242424, 2934.343434343434, 82.82828282828282, 92.92929292929293]"
1.1984615002102705e22 ± 0.0,"(phi = (2.0, 180.0), sumE = (577.0, 3343.0), maxE = (38.0, 3062.0), r = (8.0, 71.0))",0.06697359 ± 0.0,91500.0 ± 1300.0,"[121.81818181818181, 141.8181818181818, 494.949494949495, 353.5353535353535, 2580.808080808081, 247.4747474747475, 34.343434343434346, 38.38383838383838]"
1.2825402370755966e22 ± 0.0,"(phi = (4.0, 178.0), sumE = (222.0, 3489.0), maxE = (124.0, 2710.0), r = (3.0, 93.0))",0.08001663 ± 0.0,114100.0 ± 1600.0,"[83.63636363636364, 65.45454545454545, 1590.909090909091, 318.1818181818182, 459.5959595959596, 989.89898989899, 79.79797979797979, 93.93939393939394]"
1.07958657875865e22 ± 0.0,"(phi = (31.0, 176.0), sumE = (290.0, 1956.0), maxE = (169.0, 1662.0), r = (11.0, 58.0))",0.05822958 ± 0.0,85300.0 ± 1200.0,"[169.0909090909091, 87.27272727272727, 2333.3333333333335, 494.949494949495, 2474.747474747475, 707.070707070707, 7.070707070707071, 13.131313131313131]"
1.1655932273836782e22 ± 0.0,"(phi = (7.0, 148.0), sumE = (743.0, 2432.0), maxE = (91.0, 2730.0), r = (2.0, 81.0))",0.05877664 ± 0.0,74500.0 ± 1100.0,"[112.72727272727273, 34.54545454545455, 2404.040404040404, 1909.090909090909, 1873.7373737373737, 1378.7878787878788, 2.0202020202020203, 91.91919191919192]"
