thalf,roi,eff,b,x0
1.872423992811761e24,"(phi = (64.0, 177.0), sumE = (2725.0, 3239.0), maxE = (916.0, 2195.0), r = (3.0, 20.0))",0.05574832,0.2435 ± 0.0037,"[29.09090909090909, 54.54545454545455, 2757.5757575757575, 2580.808080808081, 2898.989898989899, 2085.8585858585857, 85.85858585858585, 100.0]"
1.156274021496372e24,"(phi = (10.0, 135.0), sumE = (2806.0, 3333.0), maxE = (829.0, 2074.0), r = (4.0, 63.0))",0.03227674,0.04921 ± 0.00035,"[161.8181818181818, 52.72727272727273, 2686.868686868687, 1520.20202020202, 2015.1515151515152, 3287.878787878788, 30.303030303030305, 38.38383838383838]"
9.254112591373059e23,"(phi = (22.0, 174.0), sumE = (2502.0, 3183.0), maxE = (440.0, 2560.0), r = (11.0, 21.0))",0.06762864,9.03 ± 0.16,"[85.45454545454545, 49.09090909090909, 1590.909090909091, 919.1919191919192, 1873.7373737373737, 1979.79797979798, 73.73737373737374, 92.92929292929293]"
6.773745700991059e23,"(phi = (62.0, 115.0), sumE = (2735.0, 2966.0), maxE = (30.0, 2131.0), r = (12.0, 60.0))",0.01883976,0.04147 ± 0.00053,"[94.54545454545455, 20.0, 1767.6767676767677, 2439.3939393939395, 2934.343434343434, 3252.5252525252527, 56.56565656565657, 34.343434343434346]"
2.0552755697915114e24,"(phi = (41.0, 167.0), sumE = (2630.0, 3242.0), maxE = (1377.0, 3252.0), r = (15.0, 99.0))",0.0837063,1.502 ± 0.024,"[10.909090909090908, 100.0, 919.1919191919192, 2121.212121212121, 3217.1717171717173, 2757.5757575757575, 6.0606060606060606, 40.4040404040404]"
7.275944036979472e23,"(phi = (29.0, 161.0), sumE = (2405.0, 2890.0), maxE = (1394.0, 3181.0), r = (14.0, 79.0))",0.09497684,35.75 ± 0.64,"[174.54545454545453, 145.45454545454547, 176.76767676767676, 2969.6969696969695, 1909.090909090909, 0.0, 77.77777777777777, 86.86868686868686]"
1.6146303672512693e24,"(phi = (32.0, 162.0), sumE = (2832.0, 3316.0), maxE = (1049.0, 2549.0), r = (7.0, 42.0))",0.0450715,0.05227 ± 0.00018,"[23.636363636363637, 34.54545454545455, 1944.4444444444443, 1944.4444444444443, 1803.030303030303, 494.949494949495, 93.93939393939394, 54.54545454545455]"
1.762880884795529e24,"(phi = (28.0, 162.0), sumE = (2503.0, 3374.0), maxE = (962.0, 3260.0), r = (2.0, 91.0))",0.18762516,22.28 ± 0.39,"[34.54545454545455, 34.54545454545455, 318.1818181818182, 3358.5858585858587, 2227.2727272727275, 3040.40404040404, 21.21212121212121, 20.2020202020202]"
2.4764585322644096e24,"(phi = (58.0, 147.0), sumE = (2677.0, 2975.0), maxE = (1123.0, 2435.0), r = (3.0, 40.0))",0.08701979,0.813 ± 0.013,"[56.36363636363637, 92.72727272727273, 2439.3939393939395, 2404.040404040404, 1909.090909090909, 0.0, 51.515151515151516, 94.94949494949495]"
1.0571408606750836e24,"(phi = (41.0, 138.0), sumE = (2466.0, 3021.0), maxE = (733.0, 3022.0), r = (10.0, 58.0))",0.10446388,18.88 ± 0.34,"[121.81818181818181, 90.9090909090909, 1166.6666666666667, 2439.3939393939395, 1060.6060606060605, 1909.090909090909, 78.78787878787878, 25.252525252525253]"
1.4866289308964153e24,"(phi = (4.0, 172.0), sumE = (2536.0, 3390.0), maxE = (431.0, 3225.0), r = (7.0, 22.0))",0.10456588,8.26 ± 0.15,"[129.0909090909091, 81.81818181818181, 1166.6666666666667, 2863.6363636363635, 2969.6969696969695, 2050.5050505050503, 1.0101010101010102, 1.0101010101010102]"
1.1454557032397017e24,"(phi = (59.0, 144.0), sumE = (2691.0, 3439.0), maxE = (1794.0, 2908.0), r = (12.0, 37.0))",0.03288953,0.132 ± 0.0018,"[45.45454545454545, 29.09090909090909, 353.5353535353535, 848.4848484848485, 707.070707070707, 2297.979797979798, 15.151515151515152, 11.11111111111111]"
2.634808345958026e24,"(phi = (59.0, 169.0), sumE = (2607.0, 3016.0), maxE = (880.0, 2918.0), r = (5.0, 97.0))",0.13921217,3.687 ± 0.063,"[158.1818181818182, 180.0, 3358.5858585858587, 2439.3939393939395, 530.3030303030303, 388.8888888888889, 37.37373737373738, 45.45454545454545]"
3.2234008638425736e23,"(phi = (95.0, 122.0), sumE = (2404.0, 3146.0), maxE = (1039.0, 1954.0), r = (5.0, 82.0))",0.02575235,11.32 ± 0.2,"[101.81818181818181, 27.272727272727273, 1060.6060606060605, 1838.3838383838383, 2368.686868686869, 813.1313131313132, 6.0606060606060606, 63.63636363636363]"
4.921779195602691e23,"(phi = (21.0, 108.0), sumE = (2389.0, 2840.0), maxE = (411.0, 2842.0), r = (8.0, 64.0))",0.06418419,35.65 ± 0.64,"[49.09090909090909, 101.81818181818181, 2616.161616161616, 1449.4949494949494, 777.7777777777778, 2050.5050505050503, 68.68686868686869, 32.323232323232325]"
8.993857234760157e23,"(phi = (40.0, 142.0), sumE = (2700.0, 3313.0), maxE = (122.0, 3495.0), r = (25.0, 70.0))",0.02591239,0.1409 ± 0.0018,"[43.63636363636363, 69.0909090909091, 1909.090909090909, 3500.0, 3323.2323232323233, 3111.1111111111113, 58.58585858585859, 79.79797979797979]"
1.8264788826583479e24,"(phi = (95.0, 179.0), sumE = (2608.0, 3402.0), maxE = (845.0, 2212.0), r = (0.0, 37.0))",0.08845922,2.746 ± 0.048,"[92.72727272727273, 30.90909090909091, 1166.6666666666667, 2227.2727272727275, 3464.6464646464647, 353.5353535353535, 40.4040404040404, 22.22222222222222]"
3.159376463266253e24,"(phi = (36.0, 172.0), sumE = (2618.0, 3499.0), maxE = (1123.0, 3074.0), r = (2.0, 67.0))",0.16915002,3.852 ± 0.065,"[27.272727272727273, 161.8181818181818, 494.949494949495, 388.8888888888889, 3252.5252525252527, 3500.0, 25.252525252525253, 21.21212121212121]"
4.6649571120993825e23,"(phi = (72.0, 131.0), sumE = (2645.0, 2770.0), maxE = (1546.0, 3406.0), r = (6.0, 28.0))",0.01506515,0.5173 ± 0.0089,"[156.36363636363637, 21.818181818181817, 2616.161616161616, 1590.909090909091, 1237.3737373737374, 3500.0, 50.505050505050505, 14.141414141414142]"
6.863437744435193e23,"(phi = (18.0, 180.0), sumE = (2676.0, 3251.0), maxE = (35.0, 2668.0), r = (32.0, 64.0))",0.02017352,0.1986 ± 0.0027,"[40.0, 105.45454545454545, 3393.939393939394, 3181.818181818182, 1131.3131313131314, 2863.6363636363635, 16.161616161616163, 85.85858585858585]"
4.7431005612926666e23,"(phi = (66.0, 165.0), sumE = (2712.0, 3336.0), maxE = (1541.0, 2038.0), r = (24.0, 73.0))",0.01314363,0.02612 ± 0.00018,"[170.9090909090909, 10.909090909090908, 601.010101010101, 1661.6161616161617, 353.5353535353535, 141.41414141414143, 56.56565656565657, 91.91919191919192]"
5.396951626485507e23,"(phi = (4.0, 177.0), sumE = (2809.0, 2988.0), maxE = (263.0, 2575.0), r = (26.0, 99.0))",0.01495552,0.0341 ± 0.00018,"[0.0, 130.9090909090909, 247.4747474747475, 1979.79797979798, 141.41414141414143, 1661.6161616161617, 81.81818181818181, 91.91919191919192]"
