thalf,roi,eff,b,x0
1.2696201870127976e24,"(phi = (5.0, 160.0), sumE = (2511.0, 3347.0), maxE = (1020.0, 2336.0), r = (12.0, 48.0))",0.10553441,12.49 ± 0.22,"[74.54545454545455, 16.363636363636363, 459.5959595959596, 2969.6969696969695, 3075.757575757576, 954.5454545454545, 22.22222222222222, 13.131313131313131]"
6.396021086710975e23,"(phi = (8.0, 146.0), sumE = (2338.0, 3007.0), maxE = (239.0, 3000.0), r = (10.0, 93.0))",0.13382178,100.8 ± 1.8,"[125.45454545454545, 52.72727272727273, 3040.40404040404, 1555.5555555555557, 813.1313131313132, 919.1919191919192, 51.515151515151516, 27.272727272727273]"
4.9445051612428356e23,"(phi = (47.0, 119.0), sumE = (2328.0, 3404.0), maxE = (839.0, 3055.0), r = (9.0, 82.0))",0.08365791,63.7 ± 1.1,"[112.72727272727273, 92.72727272727273, 353.5353535353535, 2686.868686868687, 1449.4949494949494, 3429.2929292929293, 76.76767676767676, 47.474747474747474]"
3.1248157656723695e24,"(phi = (62.0, 170.0), sumE = (2659.0, 3186.0), maxE = (506.0, 3330.0), r = (4.0, 50.0))",0.12995071,1.622 ± 0.027,"[72.72727272727273, 81.81818181818181, 2297.979797979798, 1202.020202020202, 3464.6464646464647, 2333.3333333333335, 70.70707070707071, 54.54545454545455]"
1.2749511626518415e24,"(phi = (42.0, 116.0), sumE = (2605.0, 3285.0), maxE = (1324.0, 2716.0), r = (1.0, 21.0))",0.05092274,1.389 ± 0.024,"[118.18181818181819, 69.0909090909091, 3500.0, 3358.5858585858587, 3252.5252525252527, 1803.030303030303, 36.36363636363637, 27.272727272727273]"
5.5938664728901476e23,"(phi = (50.0, 132.0), sumE = (2811.0, 3108.0), maxE = (620.0, 2135.0), r = (14.0, 47.0))",0.01544396,0.01821 ± 0.00018,"[169.0909090909091, 41.81818181818182, 1449.4949494949494, 989.89898989899, 2050.5050505050503, 2722.222222222222, 95.95959595959596, 26.262626262626263]"
1.1709452176079982e24,"(phi = (42.0, 102.0), sumE = (2649.0, 3302.0), maxE = (670.0, 2109.0), r = (1.0, 43.0))",0.03781485,0.5214 ± 0.0085,"[123.63636363636364, 138.1818181818182, 2686.868686868687, 3040.40404040404, 848.4848484848485, 3464.6464646464647, 18.181818181818183, 95.95959595959596]"
7.9599904660116e23,"(phi = (116.0, 141.0), sumE = (2803.0, 3452.0), maxE = (984.0, 3471.0), r = (2.0, 92.0))",0.02197653,0.02167 ± 0.00018,"[52.72727272727273, 34.54545454545455, 1803.030303030303, 1803.030303030303, 3040.40404040404, 1449.4949494949494, 89.8989898989899, 81.81818181818181]"
1.0071345982866135e24,"(phi = (82.0, 172.0), sumE = (2529.0, 3106.0), maxE = (1131.0, 2124.0), r = (13.0, 91.0))",0.06146625,5.7 ± 0.1,"[116.36363636363636, 87.27272727272727, 282.82828282828285, 742.4242424242424, 954.5454545454545, 1661.6161616161617, 69.6969696969697, 64.64646464646465]"
7.803273903227111e23,"(phi = (12.0, 140.0), sumE = (2369.0, 2964.0), maxE = (202.0, 3278.0), r = (5.0, 49.0))",0.148538,82.1 ± 1.5,"[67.27272727272727, 107.27272727272727, 2474.747474747475, 2404.040404040404, 2792.929292929293, 2191.919191919192, 2.0202020202020203, 41.41414141414141]"
2.688066708240748e24,"(phi = (79.0, 179.0), sumE = (2686.0, 3432.0), maxE = (1370.0, 3071.0), r = (7.0, 37.0))",0.08954312,0.6341 ± 0.0099,"[154.54545454545453, 172.72727272727272, 1060.6060606060605, 1661.6161616161617, 247.4747474747475, 3252.5252525252527, 38.38383838383838, 18.181818181818183]"
1.0228043364220928e24,"(phi = (46.0, 111.0), sumE = (2521.0, 3180.0), maxE = (606.0, 2717.0), r = (10.0, 95.0))",0.0609061,5.336 ± 0.093,"[76.36363636363636, 89.0909090909091, 1696.969696969697, 1202.020202020202, 2580.808080808081, 2404.040404040404, 88.88888888888889, 40.4040404040404]"
4.5427977422694523e23,"(phi = (9.0, 153.0), sumE = (1125.0, 3281.0), maxE = (2007.0, 2784.0), r = (4.0, 64.0))",0.06612897,45.77 ± 0.82,"[43.63636363636363, 107.27272727272727, 707.070707070707, 1272.7272727272727, 494.949494949495, 2722.222222222222, 98.98989898989899, 10.1010101010101]"
6.49185611486746e23,"(phi = (6.0, 176.0), sumE = (2681.0, 3238.0), maxE = (495.0, 1904.0), r = (24.0, 68.0))",0.01908134,0.1972 ± 0.0027,"[121.81818181818181, 21.818181818181817, 3429.2929292929293, 2474.747474747475, 813.1313131313132, 707.070707070707, 44.44444444444444, 76.76767676767676]"
1.039279814057517e24,"(phi = (83.0, 134.0), sumE = (2692.0, 3296.0), maxE = (782.0, 2051.0), r = (9.0, 54.0))",0.03034722,0.1773 ± 0.0028,"[110.9090909090909, 90.9090909090909, 883.8383838383838, 212.12121212121212, 1378.7878787878788, 565.6565656565657, 82.82828282828282, 42.42424242424242]"
1.201132749948056e24,"(phi = (16.0, 78.0), sumE = (2656.0, 3452.0), maxE = (614.0, 3252.0), r = (1.0, 82.0))",0.04040956,0.657 ± 0.0098,"[172.72727272727272, 90.9090909090909, 1732.3232323232323, 70.70707070707071, 2616.161616161616, 2934.343434343434, 5.05050505050505, 53.535353535353536]"
3.6826893433182184e24,"(phi = (19.0, 177.0), sumE = (2658.0, 3425.0), maxE = (1367.0, 3287.0), r = (0.0, 93.0))",0.16641759,2.147 ± 0.034,"[36.36363636363637, 143.63636363636363, 1202.020202020202, 2616.161616161616, 70.70707070707071, 212.12121212121212, 84.84848484848484, 71.71717171717172]"
8.633602354219187e23,"(phi = (43.0, 80.0), sumE = (2647.0, 3141.0), maxE = (381.0, 2897.0), r = (7.0, 93.0))",0.02758326,0.4824 ± 0.0075,"[150.9090909090909, 54.54545454545455, 2015.1515151515152, 2898.989898989899, 2227.2727272727275, 70.70707070707071, 12.121212121212121, 29.292929292929294]"
3.9570290370246047e24,"(phi = (12.0, 162.0), sumE = (2726.0, 3499.0), maxE = (1128.0, 2831.0), r = (0.0, 80.0))",0.12710775,0.4999 ± 0.006,"[49.09090909090909, 61.81818181818182, 2969.6969696969695, 1767.6767676767677, 2015.1515151515152, 1626.2626262626263, 43.43434343434343, 10.1010101010101]"
1.8915303243599625e24,"(phi = (88.0, 179.0), sumE = (2627.0, 3365.0), maxE = (966.0, 2996.0), r = (6.0, 24.0))",0.07677352,1.481 ± 0.025,"[152.72727272727272, 103.63636363636364, 1555.5555555555557, 3111.1111111111113, 707.070707070707, 3287.878787878788, 75.75757575757575, 57.57575757575758]"
1.9128233128960325e24,"(phi = (1.0, 174.0), sumE = (2739.0, 2836.0), maxE = (833.0, 3109.0), r = (5.0, 62.0))",0.05802397,0.299 ± 0.0041,"[149.0909090909091, 169.0909090909091, 2722.222222222222, 2297.979797979798, 1060.6060606060605, 1378.7878787878788, 58.58585858585859, 44.44444444444444]"
1.526572043175051e24,"(phi = (51.0, 109.0), sumE = (2647.0, 3004.0), maxE = (679.0, 2621.0), r = (3.0, 42.0))",0.05262062,0.745 ± 0.012,"[85.45454545454545, 174.54545454545453, 318.1818181818182, 2580.808080808081, 601.010101010101, 1414.141414141414, 5.05050505050505, 92.92929292929293]"
