thalf,roi,eff,b,x0
1.2052425991061116e22 ± 0.0,"(phi = (14.0, 151.0), sumE = (277.0, 3110.0), maxE = (6.0, 3187.0), r = (4.0, 93.0))",0.06907933 ± 0.0,96300.0 ± 1300.0,"[34.54545454545455, 87.27272727272727, 1308.080808080808, 2474.747474747475, 1060.6060606060605, 176.76767676767676, 21.21212121212121, 50.505050505050505]"
1.0650145129907693e22 ± 0.0,"(phi = (14.0, 180.0), sumE = (764.0, 3364.0), maxE = (198.0, 3272.0), r = (12.0, 80.0))",0.05070951 ± 0.0,66400.0 ± 1000.0,"[29.09090909090909, 9.090909090909092, 2510.10101010101, 2828.282828282828, 247.4747474747475, 2156.5656565656564, 3.0303030303030303, 47.474747474747474]"
1.102767443523599e22 ± 0.0,"(phi = (0.0, 136.0), sumE = (27.0, 1967.0), maxE = (285.0, 3460.0), r = (5.0, 70.0))",0.05583131 ± 0.0,75100.0 ± 1000.0,"[43.63636363636363, 110.9090909090909, 1732.3232323232323, 1414.141414141414, 1060.6060606060605, 70.70707070707071, 72.72727272727273, 97.97979797979798]"
1.1877645706568596e22 ± 0.0,"(phi = (32.0, 171.0), sumE = (255.0, 2182.0), maxE = (386.0, 1630.0), r = (0.0, 60.0))",0.06732704 ± 0.0,94200.0 ± 1400.0,"[52.72727272727273, 132.72727272727272, 2474.747474747475, 3075.757575757576, 1873.7373737373737, 777.7777777777778, 35.35353535353536, 78.78787878787878]"
1.1265571087628578e22 ± 0.0,"(phi = (31.0, 172.0), sumE = (780.0, 1957.0), maxE = (129.0, 1500.0), r = (1.0, 77.0))",0.0580517 ± 0.0,77800.0 ± 1200.0,"[72.72727272727273, 81.81818181818181, 1555.5555555555557, 1378.7878787878788, 0.0, 3181.818181818182, 1.0101010101010102, 32.323232323232325]"
1.2269170505687312e22 ± 0.0,"(phi = (31.0, 176.0), sumE = (539.0, 3285.0), maxE = (83.0, 3112.0), r = (1.0, 92.0))",0.07192076 ± 0.0,100700.0 ± 1500.0,"[14.545454545454545, 23.636363636363637, 2863.6363636363635, 1979.79797979798, 671.7171717171717, 1520.20202020202, 4.040404040404041, 51.515151515151516]"
1.265005560566953e22 ± 0.0,"(phi = (15.0, 169.0), sumE = (226.0, 2179.0), maxE = (310.0, 1877.0), r = (0.0, 96.0))",0.07604314 ± 0.0,105900.0 ± 1500.0,"[30.90909090909091, 167.27272727272728, 1555.5555555555557, 1060.6060606060605, 1909.090909090909, 1166.6666666666667, 96.96969696969697, 47.474747474747474]"
1.2155176183463644e22 ± 0.0,"(phi = (7.0, 160.0), sumE = (317.0, 3330.0), maxE = (418.0, 3008.0), r = (2.0, 49.0))",0.06753308 ± 0.0,90500.0 ± 1300.0,"[165.45454545454547, 92.72727272727273, 1272.7272727272727, 565.6565656565657, 2828.282828282828, 707.070707070707, 64.64646464646465, 92.92929292929293]"
1.2603635764870924e22 ± 0.0,"(phi = (14.0, 173.0), sumE = (59.0, 2854.0), maxE = (20.0, 1745.0), r = (4.0, 74.0))",0.07745571 ± 0.0,110700.0 ± 1500.0,"[41.81818181818182, 29.09090909090909, 777.7777777777778, 2686.868686868687, 2510.10101010101, 1555.5555555555557, 16.161616161616163, 72.72727272727273]"
1.2865823333358999e22 ± 0.0,"(phi = (5.0, 174.0), sumE = (124.0, 3485.0), maxE = (291.0, 3466.0), r = (0.0, 84.0))",0.07890831 ± 0.0,110200.0 ± 1600.0,"[41.81818181818182, 36.36363636363637, 1838.3838383838383, 459.5959595959596, 2651.5151515151515, 2898.989898989899, 33.333333333333336, 81.81818181818181]"
1.0922308845893421e22 ± 0.0,"(phi = (34.0, 165.0), sumE = (740.0, 2380.0), maxE = (114.0, 2870.0), r = (7.0, 88.0))",0.05459754 ± 0.0,73200.0 ± 1100.0,"[5.454545454545454, 112.72727272727273, 1237.3737373737374, 1520.20202020202, 2474.747474747475, 1378.7878787878788, 87.87878787878788, 70.70707070707071]"
1.1985583841498934e22 ± 0.0,"(phi = (2.0, 161.0), sumE = (599.0, 2222.0), maxE = (98.0, 2090.0), r = (6.0, 98.0))",0.06592012 ± 0.0,88600.0 ± 1300.0,"[83.63636363636364, 1.8181818181818181, 1873.7373737373737, 1979.79797979798, 2439.3939393939395, 353.5353535353535, 87.87878787878788, 65.65656565656566]"
1.2574031844167846e22 ± 0.0,"(phi = (6.0, 160.0), sumE = (196.0, 3298.0), maxE = (25.0, 3278.0), r = (2.0, 60.0))",0.07601892 ± 0.0,107100.0 ± 1500.0,"[172.72727272727272, 110.9090909090909, 494.949494949495, 3500.0, 1484.8484848484848, 1414.141414141414, 96.96969696969697, 93.93939393939394]"
1.0639851734061036e22 ± 0.0,"(phi = (9.0, 155.0), sumE = (161.0, 3389.0), maxE = (84.0, 2655.0), r = (13.0, 68.0))",0.05465905 ± 0.0,77300.0 ± 1000.0,"[69.0909090909091, 141.8181818181818, 707.070707070707, 601.010101010101, 2510.10101010101, 742.4242424242424, 74.74747474747475, 8.080808080808081]"
1.1099550132863142e22 ± 0.0,"(phi = (48.0, 170.0), sumE = (269.0, 2872.0), maxE = (39.0, 3303.0), r = (1.0, 47.0))",0.06240305 ± 0.0,92600.0 ± 1300.0,"[112.72727272727273, 92.72727272727273, 1838.3838383838383, 3358.5858585858587, 1803.030303030303, 742.4242424242424, 91.91919191919192, 36.36363636363637]"
1.2046969715004736e22 ± 0.0,"(phi = (10.0, 165.0), sumE = (786.0, 2388.0), maxE = (329.0, 3381.0), r = (0.0, 87.0))",0.0639935 ± 0.0,82700.0 ± 1300.0,"[7.2727272727272725, 7.2727272727272725, 989.89898989899, 2722.222222222222, 424.24242424242425, 1838.3838383838383, 13.131313131313131, 93.93939393939394]"
1.1268466027685724e22 ± 0.0,"(phi = (32.0, 149.0), sumE = (158.0, 3494.0), maxE = (147.0, 3369.0), r = (5.0, 58.0))",0.0613972 ± 0.0,87000.0 ± 1200.0,"[172.72727272727272, 25.454545454545453, 1272.7272727272727, 1237.3737373737374, 424.24242424242425, 3323.2323232323233, 11.11111111111111, 47.474747474747474]"
1.135401012836828e22 ± 0.0,"(phi = (16.0, 134.0), sumE = (42.0, 2876.0), maxE = (12.0, 3271.0), r = (2.0, 79.0))",0.05963777 ± 0.0,80800.0 ± 1100.0,"[178.1818181818182, 78.18181818181819, 106.06060606060606, 2227.2727272727275, 2191.919191919192, 530.3030303030303, 87.87878787878788, 71.71717171717172]"
1.2318238779221255e22 ± 0.0,"(phi = (14.0, 162.0), sumE = (208.0, 2772.0), maxE = (61.0, 2570.0), r = (5.0, 63.0))",0.07330843 ± 0.0,103800.0 ± 1400.0,"[167.27272727272728, 129.0909090909091, 2545.4545454545455, 2227.2727272727275, 1803.030303030303, 1661.6161616161617, 98.98989898989899, 24.242424242424242]"
1.1064515029427726e22 ± 0.0,"(phi = (18.0, 153.0), sumE = (291.0, 2018.0), maxE = (227.0, 3310.0), r = (1.0, 36.0))",0.05783992 ± 0.0,80100.0 ± 1100.0,"[121.81818181818181, 83.63636363636364, 35.35353535353536, 424.24242424242425, 70.70707070707071, 1732.3232323232323, 67.67676767676768, 12.121212121212121]"
1.2822811357164547e22 ± 0.0,"(phi = (3.0, 180.0), sumE = (2.0, 3279.0), maxE = (208.0, 2110.0), r = (3.0, 99.0))",0.07962581 ± 0.0,113000.0 ± 1600.0,"[112.72727272727273, 83.63636363636364, 2404.040404040404, 2580.808080808081, 2015.1515151515152, 1308.080808080808, 71.71717171717172, 86.86868686868686]"
1.2251366090598146e22 ± 0.0,"(phi = (17.0, 161.0), sumE = (75.0, 2579.0), maxE = (167.0, 3492.0), r = (5.0, 53.0))",0.0724404 ± 0.0,102500.0 ± 1400.0,"[1.8181818181818181, 129.0909090909091, 2686.868686868687, 1095.959595959596, 2297.979797979798, 919.1919191919192, 39.39393939393939, 8.080808080808081]"
