thalf,roi,eff,b,x0
1.0530007862631656e22 ± 0.0,"(phi = (54.0, 163.0), sumE = (457.0, 2081.0), maxE = (83.0, 3455.0), r = (1.0, 52.0))",0.05567229 ± 0.0,81900.0 ± 1200.0,"[107.27272727272727, 12.727272727272727, 1873.7373737373737, 707.070707070707, 2934.343434343434, 3040.40404040404, 98.98989898989899, 98.98989898989899]"
1.240883144997634e22 ± 0.0,"(phi = (16.0, 179.0), sumE = (59.0, 3031.0), maxE = (81.0, 3440.0), r = (6.0, 51.0))",0.07518579 ± 0.0,107600.0 ± 1500.0,"[147.27272727272728, 80.0, 2863.6363636363635, 3429.2929292929293, 848.4848484848485, 3075.757575757576, 39.39393939393939, 79.79797979797979]"
8.305933591619482e21 ± 0.0,"(phi = (3.0, 81.0), sumE = (676.0, 3497.0), maxE = (58.0, 2062.0), r = (8.0, 93.0))",0.02687812 ± 0.0,30690.0 ± 410.0,"[109.0909090909091, 65.45454545454545, 3217.1717171717173, 2580.808080808081, 3358.5858585858587, 2333.3333333333335, 61.61616161616162, 17.171717171717173]"
1.291079070888884e22 ± 0.0,"(phi = (1.0, 174.0), sumE = (13.0, 3167.0), maxE = (170.0, 3155.0), r = (1.0, 84.0))",0.08087587 ± 0.0,115000.0 ± 1600.0,"[129.0909090909091, 41.81818181818182, 3181.818181818182, 1202.020202020202, 1484.8484848484848, 3429.2929292929293, 8.080808080808081, 56.56565656565657]"
1.1769361462555941e22 ± 0.0,"(phi = (11.0, 180.0), sumE = (654.0, 2010.0), maxE = (158.0, 3309.0), r = (1.0, 40.0))",0.06370674 ± 0.0,85900.0 ± 1300.0,"[112.72727272727273, 147.27272727272728, 954.5454545454545, 2085.8585858585857, 1166.6666666666667, 353.5353535353535, 35.35353535353536, 29.292929292929294]"
1.0568670369080632e22 ± 0.0,"(phi = (13.0, 146.0), sumE = (295.0, 1566.0), maxE = (110.0, 3225.0), r = (3.0, 55.0))",0.05505209 ± 0.0,79500.0 ± 1000.0,"[103.63636363636364, 20.0, 2651.5151515151515, 2085.8585858585857, 2545.4545454545455, 2439.3939393939395, 11.11111111111111, 88.88888888888889]"
1.1122821153145924e22 ± 0.0,"(phi = (15.0, 144.0), sumE = (233.0, 2882.0), maxE = (103.0, 2296.0), r = (0.0, 38.0))",0.05761041 ± 0.0,78600.0 ± 1100.0,"[61.81818181818182, 70.9090909090909, 2510.10101010101, 2191.919191919192, 0.0, 3005.050505050505, 57.57575757575758, 0.0]"
1.1197994752307183e22 ± 0.0,"(phi = (23.0, 178.0), sumE = (301.0, 3292.0), maxE = (313.0, 2217.0), r = (2.0, 33.0))",0.05955326 ± 0.0,82900.0 ± 1200.0,"[109.0909090909091, 10.909090909090908, 2898.989898989899, 2510.10101010101, 1767.6767676767677, 2510.10101010101, 61.61616161616162, 41.41414141414141]"
1.2302005831050591e22 ± 0.0,"(phi = (10.0, 155.0), sumE = (591.0, 2838.0), maxE = (167.0, 3415.0), r = (0.0, 99.0))",0.0688615 ± 0.0,91800.0 ± 1300.0,"[98.18181818181819, 36.36363636363637, 212.12121212121212, 813.1313131313132, 176.76767676767676, 2404.040404040404, 23.232323232323232, 91.91919191919192]"
9.821055244607592e21 ± 0.0,"(phi = (2.0, 156.0), sumE = (1069.0, 2183.0), maxE = (470.0, 2196.0), r = (1.0, 43.0))",0.03987075 ± 0.0,48300.0 ± 780.0,"[123.63636363636364, 47.27272727272727, 424.24242424242425, 3252.5252525252527, 2863.6363636363635, 3075.757575757576, 47.474747474747474, 50.505050505050505]"
