thalf,roi,eff,b,x0
1.01680621362107e22 ± 0.0,"(phi = (6.0, 163.0), sumE = (668.0, 3190.0), maxE = (483.0, 1760.0), r = (13.0, 72.0))",0.04640747 ± 0.0,61040.0 ± 900.0,"[158.1818181818182, 141.8181818181818, 1202.020202020202, 35.35353535353536, 1873.7373737373737, 530.3030303030303, 77.77777777777777, 76.76767676767676]"
1.2031135430272046e22 ± 0.0,"(phi = (6.0, 159.0), sumE = (246.0, 2044.0), maxE = (414.0, 2086.0), r = (2.0, 78.0))",0.06645669 ± 0.0,89400.0 ± 1300.0,"[52.72727272727273, 63.63636363636363, 35.35353535353536, 3217.1717171717173, 2828.282828282828, 1343.4343434343434, 0.0, 13.131313131313131]"
9.676777907341125e21 ± 0.0,"(phi = (9.0, 121.0), sumE = (403.0, 1829.0), maxE = (58.0, 1238.0), r = (5.0, 74.0))",0.04328979 ± 0.0,58650.0 ± 760.0,"[65.45454545454545, 89.0909090909091, 2651.5151515151515, 2439.3939393939395, 2510.10101010101, 919.1919191919192, 54.54545454545455, 84.84848484848484]"
1.1746306803300315e22 ± 0.0,"(phi = (18.0, 151.0), sumE = (87.0, 3020.0), maxE = (23.0, 2082.0), r = (6.0, 62.0))",0.06593542 ± 0.0,92300.0 ± 1300.0,"[43.63636363636363, 81.81818181818181, 3358.5858585858587, 2085.8585858585857, 3075.757575757576, 848.4848484848485, 3.0303030303030303, 65.65656565656566]"
1.105000654609287e22 ± 0.0,"(phi = (18.0, 173.0), sumE = (226.0, 2316.0), maxE = (28.0, 1379.0), r = (11.0, 84.0))",0.06059291 ± 0.0,88100.0 ± 1200.0,"[81.81818181818181, 141.8181818181818, 2156.5656565656564, 813.1313131313132, 247.4747474747475, 2651.5151515151515, 65.65656565656566, 58.58585858585859]"
1.0793360418184368e22 ± 0.0,"(phi = (17.0, 127.0), sumE = (257.0, 1989.0), maxE = (208.0, 2323.0), r = (0.0, 93.0))",0.0534826 ± 0.0,71950.0 ± 950.0,"[25.454545454545453, 25.454545454545453, 1237.3737373737374, 459.5959595959596, 2156.5656565656564, 3217.1717171717173, 31.31313131313131, 67.67676767676768]"
1.2502335367868936e22 ± 0.0,"(phi = (20.0, 162.0), sumE = (488.0, 3138.0), maxE = (60.0, 2899.0), r = (0.0, 94.0))",0.07364666 ± 0.0,101700.0 ± 1400.0,"[38.18181818181818, 7.2727272727272725, 459.5959595959596, 707.070707070707, 3181.818181818182, 2262.626262626263, 18.181818181818183, 34.343434343434346]"
1.2495188001265734e22 ± 0.0,"(phi = (13.0, 175.0), sumE = (691.0, 2449.0), maxE = (204.0, 2563.0), r = (0.0, 88.0))",0.0709509 ± 0.0,94500.0 ± 1400.0,"[161.8181818181818, 9.090909090909092, 247.4747474747475, 2616.161616161616, 1166.6666666666667, 1414.141414141414, 15.151515151515152, 3.0303030303030303]"
1.0834209557000948e22 ± 0.0,"(phi = (34.0, 171.0), sumE = (8.0, 1984.0), maxE = (248.0, 3258.0), r = (10.0, 91.0))",0.0581336 ± 0.0,84400.0 ± 1200.0,"[45.45454545454545, 21.818181818181817, 1308.080808080808, 3323.2323232323233, 1272.7272727272727, 3287.878787878788, 20.2020202020202, 82.82828282828282]"
1.2470370599371226e22 ± 0.0,"(phi = (5.0, 162.0), sumE = (289.0, 3193.0), maxE = (220.0, 3485.0), r = (4.0, 61.0))",0.07448229 ± 0.0,104500.0 ± 1400.0,"[123.63636363636364, 16.363636363636363, 1909.090909090909, 2686.868686868687, 2651.5151515151515, 0.0, 85.85858585858585, 74.74747474747475]"
1.194524936768439e22 ± 0.0,"(phi = (3.0, 158.0), sumE = (41.0, 1925.0), maxE = (136.0, 2975.0), r = (5.0, 71.0))",0.06918215 ± 0.0,98300.0 ± 1300.0,"[47.27272727272727, 36.36363636363637, 2828.282828282828, 459.5959595959596, 1767.6767676767677, 1378.7878787878788, 21.21212121212121, 29.292929292929294]"
1.21524821875423e22 ± 0.0,"(phi = (6.0, 175.0), sumE = (324.0, 3122.0), maxE = (417.0, 1746.0), r = (5.0, 66.0))",0.06856068 ± 0.0,93300.0 ± 1400.0,"[152.72727272727272, 65.45454545454545, 1166.6666666666667, 176.76767676767676, 2297.979797979798, 3500.0, 100.0, 76.76767676767676]"
1.171689168833263e22 ± 0.0,"(phi = (15.0, 144.0), sumE = (620.0, 2461.0), maxE = (173.0, 3265.0), r = (2.0, 67.0))",0.06092103 ± 0.0,79200.0 ± 1100.0,"[158.1818181818182, 134.54545454545453, 424.24242424242425, 2510.10101010101, 247.4747474747475, 1696.969696969697, 0.0, 80.8080808080808]"
1.2530257942912585e22 ± 0.0,"(phi = (27.0, 172.0), sumE = (198.0, 2793.0), maxE = (24.0, 3099.0), r = (0.0, 82.0))",0.07710364 ± 0.0,111000.0 ± 1500.0,"[107.27272727272727, 121.81818181818181, 2404.040404040404, 919.1919191919192, 1626.2626262626263, 424.24242424242425, 69.6969696969697, 62.62626262626262]"
1.1946340968189265e22 ± 0.0,"(phi = (13.0, 177.0), sumE = (410.0, 2553.0), maxE = (11.0, 3008.0), r = (0.0, 37.0))",0.06806811 ± 0.0,95100.0 ± 1300.0,"[60.0, 149.0909090909091, 2050.5050505050503, 1237.3737373737374, 1590.909090909091, 707.070707070707, 54.54545454545455, 92.92929292929293]"
1.1595870518565923e22 ± 0.0,"(phi = (6.0, 137.0), sumE = (34.0, 3020.0), maxE = (176.0, 1790.0), r = (0.0, 93.0))",0.06237057 ± 0.0,84800.0 ± 1100.0,"[120.0, 54.54545454545455, 742.4242424242424, 2686.868686868687, 2722.222222222222, 1237.3737373737374, 47.474747474747474, 56.56565656565657]"
1.2236065428962971e22 ± 0.0,"(phi = (4.0, 175.0), sumE = (652.0, 3492.0), maxE = (427.0, 3237.0), r = (4.0, 55.0))",0.06821257 ± 0.0,91100.0 ± 1300.0,"[174.54545454545453, 112.72727272727273, 1202.020202020202, 2616.161616161616, 2686.868686868687, 848.4848484848485, 19.19191919191919, 80.8080808080808]"
1.2582703889116448e22 ± 0.0,"(phi = (26.0, 174.0), sumE = (66.0, 2963.0), maxE = (14.0, 3041.0), r = (1.0, 84.0))",0.07771289 ± 0.0,111800.0 ± 1500.0,"[61.81818181818182, 114.54545454545455, 318.1818181818182, 1909.090909090909, 954.5454545454545, 989.89898989899, 79.79797979797979, 95.95959595959596]"
1.2097577617617188e22 ± 0.0,"(phi = (10.0, 162.0), sumE = (27.0, 2175.0), maxE = (449.0, 2521.0), r = (0.0, 100.0))",0.06668354 ± 0.0,89000.0 ± 1300.0,"[16.363636363636363, 98.18181818181819, 1520.20202020202, 3464.6464646464647, 2085.8585858585857, 848.4848484848485, 74.74747474747475, 18.181818181818183]"
1.2253893340933625e22 ± 0.0,"(phi = (6.0, 163.0), sumE = (401.0, 3465.0), maxE = (155.0, 1374.0), r = (2.0, 85.0))",0.07238702 ± 0.0,102300.0 ± 1400.0,"[69.0909090909091, 127.27272727272727, 565.6565656565657, 3181.818181818182, 1626.2626262626263, 3323.2323232323233, 92.92929292929293, 76.76767676767676]"
1.077868165369542e22 ± 0.0,"(phi = (0.0, 162.0), sumE = (819.0, 3419.0), maxE = (617.0, 2725.0), r = (5.0, 79.0))",0.04914446 ± 0.0,60920.0 ± 960.0,"[158.1818181818182, 138.1818181818182, 2368.686868686869, 3464.6464646464647, 459.5959595959596, 494.949494949495, 55.55555555555556, 57.57575757575758]"
1.230979267697542e22 ± 0.0,"(phi = (25.0, 180.0), sumE = (441.0, 3299.0), maxE = (57.0, 1606.0), r = (4.0, 51.0))",0.07336737 ± 0.0,104100.0 ± 1500.0,"[0.0, 52.72727272727273, 282.82828282828285, 3358.5858585858587, 247.4747474747475, 530.3030303030303, 80.8080808080808, 89.8989898989899]"
