thalf,roi,eff,b,x0
1.1391368599678411e22 ± 0.0,"(phi = (7.0, 158.0), sumE = (20.0, 3413.0), maxE = (107.0, 3100.0), r = (10.0, 76.0))",0.06261006 ± 0.0,88500.0 ± 1200.0,"[54.54545454545455, 136.36363636363637, 141.41414141414143, 3358.5858585858587, 3287.878787878788, 2651.5151515151515, 55.55555555555556, 21.21212121212121]"
1.1569563644410785e22 ± 0.0,"(phi = (15.0, 175.0), sumE = (4.0, 2080.0), maxE = (183.0, 2810.0), r = (8.0, 44.0))",0.06525197 ± 0.0,93200.0 ± 1300.0,"[141.8181818181818, 25.454545454545453, 459.5959595959596, 3323.2323232323233, 3323.2323232323233, 3111.1111111111113, 36.36363636363637, 38.38383838383838]"
1.2854758017539903e22 ± 0.0,"(phi = (2.0, 169.0), sumE = (318.0, 2765.0), maxE = (160.0, 3117.0), r = (0.0, 58.0))",0.07977476 ± 0.0,112900.0 ± 1600.0,"[56.36363636363637, 172.72727272727272, 1272.7272727272727, 742.4242424242424, 2050.5050505050503, 2085.8585858585857, 23.232323232323232, 10.1010101010101]"
1.2296320691092746e22 ± 0.0,"(phi = (7.0, 176.0), sumE = (62.0, 2738.0), maxE = (33.0, 2776.0), r = (7.0, 94.0))",0.07370625 ± 0.0,105300.0 ± 1400.0,"[70.9090909090909, 54.54545454545455, 2191.919191919192, 1343.4343434343434, 1979.79797979798, 2828.282828282828, 19.19191919191919, 46.464646464646464]"
1.226919470016999e22 ± 0.0,"(phi = (27.0, 169.0), sumE = (24.0, 3398.0), maxE = (33.0, 3478.0), r = (4.0, 77.0))",0.07386824 ± 0.0,106200.0 ± 1500.0,"[85.45454545454545, 161.8181818181818, 388.8888888888889, 1661.6161616161617, 1555.5555555555557, 1484.8484848484848, 9.090909090909092, 18.181818181818183]"
1.272672466062611e22 ± 0.0,"(phi = (0.0, 172.0), sumE = (1.0, 3401.0), maxE = (99.0, 1746.0), r = (3.0, 96.0))",0.07880927 ± 0.0,112400.0 ± 1500.0,"[154.54545454545453, 132.72727272727272, 70.70707070707071, 3146.4646464646466, 2828.282828282828, 141.41414141414143, 25.252525252525253, 58.58585858585859]"
1.059393476316173e22 ± 0.0,"(phi = (5.0, 118.0), sumE = (500.0, 2576.0), maxE = (195.0, 1768.0), r = (0.0, 58.0))",0.04873066 ± 0.0,62000.0 ± 840.0,"[121.81818181818181, 80.0, 212.12121212121212, 2792.929292929293, 176.76767676767676, 2757.5757575757575, 10.1010101010101, 58.58585858585859]"
1.1668176911155658e22 ± 0.0,"(phi = (1.0, 146.0), sumE = (688.0, 3062.0), maxE = (303.0, 2958.0), r = (3.0, 73.0))",0.05951076 ± 0.0,76200.0 ± 1100.0,"[170.9090909090909, 16.363636363636363, 2297.979797979798, 3429.2929292929293, 636.3636363636364, 1484.8484848484848, 70.70707070707071, 98.98989898989899]"
1.2807695733172147e22 ± 0.0,"(phi = (16.0, 171.0), sumE = (104.0, 2703.0), maxE = (146.0, 2668.0), r = (1.0, 54.0))",0.07972731 ± 0.0,113600.0 ± 1600.0,"[158.1818181818182, 130.9090909090909, 2368.686868686869, 2227.2727272727275, 1343.4343434343434, 2050.5050505050503, 3.0303030303030303, 1.0101010101010102]"
1.0325656351078202e22 ± 0.0,"(phi = (20.0, 142.0), sumE = (13.0, 1649.0), maxE = (404.0, 1640.0), r = (3.0, 89.0))",0.04926271 ± 0.0,66700.0 ± 920.0,"[25.454545454545453, 70.9090909090909, 1378.7878787878788, 1202.020202020202, 1414.141414141414, 2121.212121212121, 9.090909090909092, 87.87878787878788]"
