thalf,roi,eff,b,x0
6.272758039592197e23,"(phi = (36.0, 83.0), sumE = (2642.0, 3021.0), maxE = (502.0, 1916.0), r = (4.0, 77.0))",0.01937254,0.3625 ± 0.0059,"[147.27272727272728, 158.1818181818182, 212.12121212121212, 3040.40404040404, 2262.626262626263, 2439.3939393939395, 61.61616161616162, 13.131313131313131]"
4.791044601228381e23,"(phi = (52.0, 169.0), sumE = (1330.0, 3259.0), maxE = (2367.0, 2784.0), r = (8.0, 67.0))",0.01559502,0.5482 ± 0.0089,"[16.363636363636363, 103.63636363636364, 2651.5151515151515, 919.1919191919192, 2474.747474747475, 0.0, 33.333333333333336, 17.171717171717173]"
4.327115849088049e23,"(phi = (22.0, 105.0), sumE = (2304.0, 3058.0), maxE = (327.0, 2447.0), r = (5.0, 80.0))",0.08578933,89.7 ± 1.6,"[107.27272727272727, 45.45454545454545, 3287.878787878788, 1237.3737373737374, 1909.090909090909, 2580.808080808081, 57.57575757575758, 82.82828282828282]"
6.733016409945105e23,"(phi = (125.0, 166.0), sumE = (2449.0, 3388.0), maxE = (0.0, 3342.0), r = (7.0, 76.0))",0.06337109,16.76 ± 0.3,"[72.72727272727273, 121.81818181818181, 2969.6969696969695, 2510.10101010101, 1767.6767676767677, 1732.3232323232323, 5.05050505050505, 36.36363636363637]"
1.401519444299061e24,"(phi = (31.0, 172.0), sumE = (2655.0, 3258.0), maxE = (1062.0, 2629.0), r = (23.0, 97.0))",0.04501963,0.5038 ± 0.0075,"[43.63636363636363, 138.1818181818182, 2969.6969696969695, 601.010101010101, 1202.020202020202, 1696.969696969697, 78.78787878787878, 68.68686868686869]"
1.2084579408487646e24,"(phi = (84.0, 171.0), sumE = (2783.0, 2949.0), maxE = (1226.0, 2283.0), r = (11.0, 43.0))",0.033364,0.02451 ± 0.00018,"[114.54545454545455, 63.63636363636363, 1626.2626262626263, 1202.020202020202, 1909.090909090909, 2156.5656565656564, 46.464646464646464, 29.292929292929294]"
8.332884794731725e23,"(phi = (31.0, 150.0), sumE = (2842.0, 3463.0), maxE = (1564.0, 3217.0), r = (10.0, 29.0))",0.02317618,0.03799 ± 0.00018,"[132.72727272727272, 34.54545454545455, 1590.909090909091, 1484.8484848484848, 989.89898989899, 3464.6464646464647, 20.2020202020202, 91.91919191919192]"
1.8751557987569567e24,"(phi = (37.0, 171.0), sumE = (2632.0, 3314.0), maxE = (676.0, 2408.0), r = (15.0, 48.0))",0.07610891,1.477 ± 0.024,"[158.1818181818182, 52.72727272727273, 282.82828282828285, 3393.939393939394, 3464.6464646464647, 671.7171717171717, 34.343434343434346, 34.343434343434346]"
2.9740481035287247e23,"(phi = (35.0, 118.0), sumE = (2639.0, 3063.0), maxE = (2079.0, 2640.0), r = (24.0, 74.0))",0.0085394,0.1307 ± 0.002,"[7.2727272727272725, 85.45454545454545, 318.1818181818182, 2404.040404040404, 1131.3131313131314, 2404.040404040404, 82.82828282828282, 19.19191919191919]"
1.5410584911070754e24,"(phi = (81.0, 168.0), sumE = (2623.0, 3012.0), maxE = (1658.0, 2689.0), r = (13.0, 79.0))",0.05386123,0.786 ± 0.013,"[14.545454545454545, 160.0, 601.010101010101, 1484.8484848484848, 70.70707070707071, 1555.5555555555557, 21.21212121212121, 39.39393939393939]"
