thalf,roi,eff,b,x0
1.1634354321686213e22 ± 0.0,"(phi = (8.0, 169.0), sumE = (22.0, 2482.0), maxE = (211.0, 2262.0), r = (10.0, 53.0))",0.06560231 ± 0.0,93200.0 ± 1300.0,"[118.18181818181819, 50.90909090909091, 2085.8585858585857, 707.070707070707, 2156.5656565656564, 3393.939393939394, 32.323232323232325, 41.41414141414141]"
1.2494131457951793e22 ± 0.0,"(phi = (5.0, 179.0), sumE = (24.0, 2307.0), maxE = (294.0, 1758.0), r = (5.0, 93.0))",0.07467188 ± 0.0,104700.0 ± 1500.0,"[81.81818181818181, 94.54545454545455, 2121.212121212121, 2792.929292929293, 2722.222222222222, 3040.40404040404, 32.323232323232325, 7.070707070707071]"
1.0423359388134152e22 ± 0.0,"(phi = (1.0, 139.0), sumE = (353.0, 1850.0), maxE = (285.0, 1774.0), r = (9.0, 97.0))",0.05066334 ± 0.0,69230.0 ± 930.0,"[45.45454545454545, 10.909090909090908, 2333.3333333333335, 1520.20202020202, 388.8888888888889, 2545.4545454545455, 73.73737373737374, 88.88888888888889]"
1.2102395013406682e22 ± 0.0,"(phi = (7.0, 175.0), sumE = (29.0, 3491.0), maxE = (230.0, 3246.0), r = (8.0, 78.0))",0.07084913 ± 0.0,100400.0 ± 1400.0,"[110.9090909090909, 138.1818181818182, 742.4242424242424, 1661.6161616161617, 1803.030303030303, 1202.020202020202, 29.292929292929294, 44.44444444444444]"
1.0360964595324815e22 ± 0.0,"(phi = (27.0, 146.0), sumE = (150.0, 1825.0), maxE = (143.0, 1816.0), r = (9.0, 77.0))",0.05235142 ± 0.0,74820.0 ± 990.0,"[174.54545454545453, 9.090909090909092, 1873.7373737373737, 2227.2727272727275, 1131.3131313131314, 2616.161616161616, 67.67676767676768, 30.303030303030305]"
1.2522435533565824e22 ± 0.0,"(phi = (21.0, 164.0), sumE = (83.0, 3013.0), maxE = (102.0, 2408.0), r = (2.0, 100.0))",0.07610466 ± 0.0,108200.0 ± 1500.0,"[34.54545454545455, 129.0909090909091, 459.5959595959596, 459.5959595959596, 1202.020202020202, 3393.939393939394, 1.0101010101010102, 47.474747474747474]"
1.04016700882323e22 ± 0.0,"(phi = (19.0, 162.0), sumE = (118.0, 2015.0), maxE = (663.0, 3126.0), r = (0.0, 87.0))",0.04577744 ± 0.0,56760.0 ± 900.0,"[50.90909090909091, 92.72727272727273, 1590.909090909091, 2757.5757575757575, 3217.1717171717173, 3181.818181818182, 44.44444444444444, 58.58585858585859]"
1.2914627393797671e22 ± 0.0,"(phi = (2.0, 174.0), sumE = (406.0, 3485.0), maxE = (103.0, 2821.0), r = (0.0, 51.0))",0.07994387 ± 0.0,112300.0 ± 1600.0,"[136.36363636363637, 45.45454545454545, 3146.4646464646466, 565.6565656565657, 601.010101010101, 212.12121212121212, 10.1010101010101, 5.05050505050505]"
1.0067633903186311e22 ± 0.0,"(phi = (52.0, 153.0), sumE = (30.0, 2749.0), maxE = (81.0, 1390.0), r = (2.0, 77.0))",0.05148509 ± 0.0,76600.0 ± 1100.0,"[34.54545454545455, 123.63636363636364, 2651.5151515151515, 1909.090909090909, 3500.0, 2898.989898989899, 7.070707070707071, 47.474747474747474]"
1.079337548190999e22 ± 0.0,"(phi = (12.0, 138.0), sumE = (714.0, 1962.0), maxE = (109.0, 1971.0), r = (5.0, 74.0))",0.05019167 ± 0.0,63370.0 ± 920.0,"[54.54545454545455, 43.63636363636363, 3500.0, 2050.5050505050503, 1237.3737373737374, 1767.6767676767677, 23.232323232323232, 33.333333333333336]"
