thalf,roi,eff,b,x0
2.0513623184363934e22,"(phi = (5.0, 165.0), sumE = (1368.0, 2199.0), maxE = (170.0, 2267.0), r = (2.0, 88.0))",0.06365558,28220.0 ± 470.0,"[1.8181818181818181, 34.54545454545455, 742.4242424242424, 2015.1515151515152, 3429.2929292929293, 848.4848484848485, 39.39393939393939, 35.35353535353536]"
2.0685467073586154e22,"(phi = (54.0, 177.0), sumE = (1269.0, 2754.0), maxE = (843.0, 1941.0), r = (0.0, 98.0))",0.06165848,26040.0 ± 440.0,"[40.0, 58.18181818181818, 813.1313131313132, 1732.3232323232323, 1378.7878787878788, 2969.6969696969695, 20.2020202020202, 16.161616161616163]"
2.1345700547356204e22,"(phi = (18.0, 172.0), sumE = (1127.0, 2525.0), maxE = (708.0, 3448.0), r = (7.0, 98.0))",0.07961683,40770.0 ± 670.0,"[60.0, 16.363636363636363, 1237.3737373737374, 636.3636363636364, 954.5454545454545, 2297.979797979798, 12.121212121212121, 83.83838383838383]"
2.273562078002378e22,"(phi = (1.0, 173.0), sumE = (823.0, 3323.0), maxE = (659.0, 2951.0), r = (1.0, 82.0))",0.10463576,62070.0 ± 1000.0,"[100.0, 110.9090909090909, 1803.030303030303, 1378.7878787878788, 1414.141414141414, 1767.6767676767677, 66.66666666666667, 24.242424242424242]"
2.1734025713028388e22,"(phi = (29.0, 180.0), sumE = (667.0, 2966.0), maxE = (601.0, 2196.0), r = (4.0, 87.0))",0.10446365,67700.0 ± 1100.0,"[116.36363636363636, 174.54545454545453, 1343.4343434343434, 388.8888888888889, 106.06060606060606, 1909.090909090909, 12.121212121212121, 31.31313131313131]"
2.200673694743373e22,"(phi = (31.0, 180.0), sumE = (962.0, 2708.0), maxE = (735.0, 3134.0), r = (4.0, 79.0))",0.08798684,46840.0 ± 770.0,"[61.81818181818182, 80.0, 1626.2626262626263, 494.949494949495, 2085.8585858585857, 601.010101010101, 95.95959595959596, 78.78787878787878]"
2.0454010568129296e22,"(phi = (38.0, 178.0), sumE = (507.0, 2612.0), maxE = (937.0, 3390.0), r = (4.0, 56.0))",0.06033909,25500.0 ± 430.0,"[9.090909090909092, 180.0, 1166.6666666666667, 2792.929292929293, 1520.20202020202, 1308.080808080808, 22.22222222222222, 52.525252525252526]"
1.8780382381599317e22,"(phi = (46.0, 172.0), sumE = (1165.0, 2797.0), maxE = (729.0, 3452.0), r = (4.0, 30.0))",0.05741096,27390.0 ± 460.0,"[141.8181818181818, 120.0, 1343.4343434343434, 2792.929292929293, 3075.757575757576, 2085.8585858585857, 41.41414141414141, 17.171717171717173]"
2.0592648604437665e22,"(phi = (57.0, 171.0), sumE = (1460.0, 2748.0), maxE = (651.0, 3001.0), r = (0.0, 53.0))",0.05235027,18940.0 ± 330.0,"[170.9090909090909, 72.72727272727273, 1131.3131313131314, 3287.878787878788, 1661.6161616161617, 1909.090909090909, 43.43434343434343, 18.181818181818183]"
2.033127517927551e22,"(phi = (16.0, 163.0), sumE = (174.0, 3065.0), maxE = (80.0, 3470.0), r = (1.0, 94.0))",0.12416238,109300.0 ± 1500.0,"[165.45454545454547, 76.36363636363636, 2545.4545454545455, 1166.6666666666667, 2191.919191919192, 2510.10101010101, 57.57575757575758, 20.2020202020202]"
