thalf,roi,eff,b,x0
2.0844687557831613e22,"(phi = (13.0, 160.0), sumE = (901.0, 2790.0), maxE = (274.0, 3146.0), r = (6.0, 65.0))",0.0974678,64100.0 ± 1000.0,"[87.27272727272727, 121.81818181818181, 3217.1717171717173, 1025.2525252525252, 3005.050505050505, 141.41414141414143, 4.040404040404041, 66.66666666666667]"
2.0714201420186994e22,"(phi = (23.0, 162.0), sumE = (1045.0, 3438.0), maxE = (69.0, 2903.0), r = (7.0, 49.0))",0.08509325,49450.0 ± 790.0,"[7.2727272727272725, 154.54545454545453, 1272.7272727272727, 1378.7878787878788, 1449.4949494949494, 2580.808080808081, 52.525252525252526, 63.63636363636363]"
2.083403856495295e22,"(phi = (24.0, 172.0), sumE = (1037.0, 3479.0), maxE = (2.0, 1664.0), r = (2.0, 41.0))",0.08890027,53360.0 ± 860.0,"[50.90909090909091, 180.0, 3323.2323232323233, 2015.1515151515152, 106.06060606060606, 1378.7878787878788, 37.37373737373738, 88.88888888888889]"
2.047136523851236e22,"(phi = (0.0, 180.0), sumE = (174.0, 2328.0), maxE = (963.0, 3432.0), r = (1.0, 80.0))",0.06096765,25990.0 ± 440.0,"[134.54545454545453, 136.36363636363637, 353.5353535353535, 176.76767676767676, 2651.5151515151515, 2121.212121212121, 41.41414141414141, 27.272727272727273]"
2.004741974832726e22,"(phi = (22.0, 177.0), sumE = (221.0, 2313.0), maxE = (72.0, 1753.0), r = (1.0, 64.0))",0.12462985,113300.0 ± 1600.0,"[3.6363636363636362, 0.0, 3146.4646464646466, 2898.989898989899, 3111.1111111111113, 813.1313131313132, 15.151515151515152, 95.95959595959596]"
1.9748442871068474e22,"(phi = (2.0, 162.0), sumE = (1198.0, 2744.0), maxE = (16.0, 2407.0), r = (10.0, 88.0))",0.06730092,34030.0 ± 560.0,"[14.545454545454545, 112.72727272727273, 2686.868686868687, 1237.3737373737374, 2934.343434343434, 3075.757575757576, 81.81818181818181, 35.35353535353536]"
2.0743746983145803e22,"(phi = (47.0, 161.0), sumE = (1138.0, 3055.0), maxE = (21.0, 2954.0), r = (3.0, 84.0))",0.07697143,40350.0 ± 660.0,"[27.272727272727273, 169.0909090909091, 1025.2525252525252, 2934.343434343434, 247.4747474747475, 1838.3838383838383, 65.65656565656566, 0.0]"
1.7904460858443715e22,"(phi = (4.0, 149.0), sumE = (1677.0, 3367.0), maxE = (327.0, 3377.0), r = (8.0, 85.0))",0.02913624,7760.0 ± 140.0,"[83.63636363636364, 36.36363636363637, 989.89898989899, 3287.878787878788, 1944.4444444444443, 1909.090909090909, 82.82828282828282, 21.21212121212121]"
1.8155932154001273e22,"(phi = (78.0, 162.0), sumE = (57.0, 2975.0), maxE = (497.0, 3402.0), r = (1.0, 79.0))",0.07743967,53310.0 ± 830.0,"[10.909090909090908, 32.72727272727273, 3287.878787878788, 1661.6161616161617, 883.8383838383838, 1484.8484848484848, 63.63636363636363, 85.85858585858585]"
1.9943963258000712e22,"(phi = (18.0, 178.0), sumE = (123.0, 3369.0), maxE = (47.0, 2624.0), r = (2.0, 39.0))",0.11635926,99700.0 ± 1400.0,"[16.363636363636363, 5.454545454545454, 2368.686868686869, 2085.8585858585857, 3464.6464646464647, 2510.10101010101, 25.252525252525253, 71.71717171717172]"
2.10443894460507e22,"(phi = (5.0, 164.0), sumE = (1548.0, 3290.0), maxE = (909.0, 3413.0), r = (3.0, 57.0))",0.04748295,14920.0 ± 260.0,"[107.27272727272727, 34.54545454545455, 1378.7878787878788, 106.06060606060606, 2969.6969696969695, 3323.2323232323233, 50.505050505050505, 74.74747474747475]"
2.1082431759927193e22,"(phi = (6.0, 179.0), sumE = (1328.0, 3362.0), maxE = (533.0, 3456.0), r = (8.0, 94.0))",0.06606378,28780.0 ± 480.0,"[101.81818181818181, 130.9090909090909, 3500.0, 2439.3939393939395, 2121.212121212121, 919.1919191919192, 52.525252525252526, 65.65656565656566]"
1.98736001721772e22,"(phi = (66.0, 166.0), sumE = (953.0, 3390.0), maxE = (13.0, 3500.0), r = (1.0, 56.0))",0.08154707,49340.0 ± 800.0,"[140.0, 70.9090909090909, 2474.747474747475, 494.949494949495, 1520.20202020202, 2121.212121212121, 7.070707070707071, 97.97979797979798]"
1.998029262811749e22,"(phi = (14.0, 159.0), sumE = (219.0, 3428.0), maxE = (255.0, 2668.0), r = (3.0, 97.0))",0.11787081,102000.0 ± 1400.0,"[110.9090909090909, 18.181818181818183, 70.70707070707071, 2404.040404040404, 0.0, 530.3030303030303, 52.525252525252526, 7.070707070707071]"
2.093629557123309e22,"(phi = (17.0, 180.0), sumE = (266.0, 2874.0), maxE = (645.0, 1588.0), r = (1.0, 45.0))",0.09572507,61260.0 ± 970.0,"[109.0909090909091, 76.36363636363636, 2651.5151515151515, 1732.3232323232323, 3393.939393939394, 2580.808080808081, 71.71717171717172, 53.535353535353536]"
2.0533116076589717e22,"(phi = (64.0, 175.0), sumE = (982.0, 3192.0), maxE = (138.0, 3354.0), r = (0.0, 53.0))",0.08521232,50470.0 ± 820.0,"[27.272727272727273, 138.1818181818182, 1484.8484848484848, 919.1919191919192, 1590.909090909091, 141.41414141414143, 86.86868686868686, 86.86868686868686]"
2.146425015934686e22,"(phi = (2.0, 156.0), sumE = (1391.0, 3135.0), maxE = (48.0, 3114.0), r = (2.0, 82.0))",0.06303582,25270.0 ± 430.0,"[127.27272727272727, 107.27272727272727, 2333.3333333333335, 1909.090909090909, 1590.909090909091, 2227.2727272727275, 46.464646464646464, 64.64646464646465]"
1.9272141383283935e22,"(phi = (75.0, 174.0), sumE = (434.0, 2642.0), maxE = (568.0, 2091.0), r = (1.0, 80.0))",0.08173664,52710.0 ± 840.0,"[58.18181818181818, 176.36363636363637, 2545.4545454545455, 2757.5757575757575, 1308.080808080808, 2934.343434343434, 52.525252525252526, 88.88888888888889]"
2.1297544762939587e22,"(phi = (48.0, 177.0), sumE = (911.0, 2480.0), maxE = (222.0, 2793.0), r = (1.0, 92.0))",0.09899813,63300.0 ± 1000.0,"[98.18181818181819, 156.36363636363637, 1767.6767676767677, 1343.4343434343434, 176.76767676767676, 3429.2929292929293, 32.323232323232325, 44.44444444444444]"
2.1306926836026387e22,"(phi = (45.0, 166.0), sumE = (1053.0, 3351.0), maxE = (745.0, 2614.0), r = (1.0, 49.0))",0.07835331,39630.0 ± 660.0,"[149.0909090909091, 80.0, 1732.3232323232323, 1378.7878787878788, 2085.8585858585857, 2191.919191919192, 61.61616161616162, 10.1010101010101]"
2.0320904461046403e22,"(phi = (65.0, 173.0), sumE = (1159.0, 2694.0), maxE = (80.0, 2052.0), r = (2.0, 67.0))",0.07181628,36600.0 ± 610.0,"[105.45454545454545, 60.0, 388.8888888888889, 1661.6161616161617, 742.4242424242424, 2898.989898989899, 81.81818181818181, 77.77777777777777]"
2.156752577274336e22,"(phi = (35.0, 169.0), sumE = (1132.0, 3154.0), maxE = (190.0, 1752.0), r = (0.0, 98.0))",0.08641292,47040.0 ± 770.0,"[32.72727272727273, 27.272727272727273, 2828.282828282828, 2262.626262626263, 3464.6464646464647, 2227.2727272727275, 10.1010101010101, 98.98989898989899]"
