thalf,roi,eff,b,x0
2.0281061989993194e22,"(phi = (40.0, 171.0), sumE = (1500.0, 2781.0), maxE = (742.0, 2070.0), r = (6.0, 84.0))",0.04882265,16980.0 ± 290.0,"[67.27272727272727, 123.63636363636364, 1449.4949494949494, 3181.818181818182, 1979.79797979798, 1343.4343434343434, 32.323232323232325, 15.151515151515152]"
2.230977030724205e22,"(phi = (20.0, 164.0), sumE = (1001.0, 3038.0), maxE = (76.0, 3271.0), r = (0.0, 95.0))",0.10187399,61100.0 ± 980.0,"[54.54545454545455, 116.36363636363636, 2757.5757575757575, 1237.3737373737374, 707.070707070707, 2757.5757575757575, 35.35353535353536, 75.75757575757575]"
2.2348598423479453e22,"(phi = (27.0, 180.0), sumE = (841.0, 2653.0), maxE = (587.0, 3039.0), r = (2.0, 51.0))",0.10821955,68700.0 ± 1100.0,"[34.54545454545455, 9.090909090909092, 0.0, 141.41414141414143, 2616.161616161616, 1025.2525252525252, 3.0303030303030303, 95.95959595959596]"
1.8551165092989837e22,"(phi = (14.0, 158.0), sumE = (1061.0, 3363.0), maxE = (438.0, 2549.0), r = (12.0, 71.0))",0.06817737,39580.0 ± 630.0,"[50.90909090909091, 109.0909090909091, 2191.919191919192, 1343.4343434343434, 2898.989898989899, 777.7777777777778, 51.515151515151516, 5.05050505050505]"
2.093001224153239e22,"(phi = (39.0, 170.0), sumE = (1200.0, 2556.0), maxE = (121.0, 2238.0), r = (6.0, 94.0))",0.07465135,37280.0 ± 610.0,"[29.09090909090909, 161.8181818181818, 565.6565656565657, 3500.0, 1202.020202020202, 3217.1717171717173, 58.58585858585859, 21.21212121212121]"
2.0184145131721206e22,"(phi = (26.0, 174.0), sumE = (483.0, 3219.0), maxE = (336.0, 2454.0), r = (0.0, 38.0))",0.11117291,88900.0 ± 1300.0,"[16.363636363636363, 61.81818181818182, 636.3636363636364, 3181.818181818182, 247.4747474747475, 1520.20202020202, 40.4040404040404, 77.77777777777777]"
2.124386342883858e22,"(phi = (15.0, 180.0), sumE = (691.0, 3324.0), maxE = (26.0, 3336.0), r = (1.0, 41.0))",0.11520377,86200.0 ± 1300.0,"[45.45454545454545, 158.1818181818182, 1202.020202020202, 919.1919191919192, 176.76767676767676, 1626.2626262626263, 56.56565656565657, 73.73737373737374]"
2.0820312044109017e22,"(phi = (15.0, 173.0), sumE = (54.0, 2382.0), maxE = (719.0, 3068.0), r = (7.0, 97.0))",0.08469258,48490.0 ± 780.0,"[156.36363636363637, 14.545454545454545, 2333.3333333333335, 2510.10101010101, 989.89898989899, 1626.2626262626263, 90.9090909090909, 7.070707070707071]"
1.694039309569463e22,"(phi = (14.0, 138.0), sumE = (1480.0, 3014.0), maxE = (556.0, 3282.0), r = (10.0, 80.0))",0.035166,12630.0 ± 210.0,"[29.09090909090909, 67.27272727272727, 2439.3939393939395, 601.010101010101, 3323.2323232323233, 2934.343434343434, 92.92929292929293, 22.22222222222222]"
2.131965908824391e22,"(phi = (38.0, 178.0), sumE = (1372.0, 2601.0), maxE = (709.0, 2907.0), r = (5.0, 82.0))",0.06353838,26030.0 ± 440.0,"[12.727272727272727, 180.0, 247.4747474747475, 1838.3838383838383, 1909.090909090909, 1873.7373737373737, 72.72727272727273, 95.95959595959596]"
2.0877395854410643e22,"(phi = (46.0, 166.0), sumE = (968.0, 2498.0), maxE = (220.0, 2946.0), r = (3.0, 77.0))",0.091145,55850.0 ± 890.0,"[96.36363636363636, 72.72727272727273, 1414.141414141414, 1873.7373737373737, 1520.20202020202, 1661.6161616161617, 11.11111111111111, 73.73737373737374]"
2.112876919334892e22,"(phi = (1.0, 178.0), sumE = (362.0, 3414.0), maxE = (10.0, 3409.0), r = (0.0, 82.0))",0.1319885,114400.0 ± 1600.0,"[121.81818181818181, 174.54545454545453, 777.7777777777778, 3181.818181818182, 1131.3131313131314, 2474.747474747475, 22.22222222222222, 27.272727272727273]"
2.029114062641127e22,"(phi = (42.0, 178.0), sumE = (332.0, 2960.0), maxE = (121.0, 2979.0), r = (0.0, 59.0))",0.11946747,101600.0 ± 1400.0,"[7.2727272727272725, 136.36363636363637, 2651.5151515151515, 3464.6464646464647, 318.1818181818182, 2898.989898989899, 40.4040404040404, 94.94949494949495]"
2.069390647949492e22,"(phi = (22.0, 153.0), sumE = (449.0, 2479.0), maxE = (603.0, 3275.0), r = (0.0, 95.0))",0.09550058,62410.0 ± 960.0,"[83.63636363636364, 5.454545454545454, 813.1313131313132, 3323.2323232323233, 282.82828282828285, 1237.3737373737374, 45.45454545454545, 34.343434343434346]"
2.2458113324956458e22,"(phi = (21.0, 176.0), sumE = (774.0, 2594.0), maxE = (771.0, 3491.0), r = (1.0, 73.0))",0.09005319,47120.0 ± 770.0,"[145.45454545454547, 134.54545454545453, 2651.5151515151515, 212.12121212121212, 1131.3131313131314, 3146.4646464646466, 30.303030303030305, 24.242424242424242]"
2.13939316046606e22,"(phi = (18.0, 168.0), sumE = (652.0, 3108.0), maxE = (911.0, 2490.0), r = (2.0, 52.0))",0.06844282,29990.0 ± 500.0,"[74.54545454545455, 120.0, 919.1919191919192, 1626.2626262626263, 989.89898989899, 848.4848484848485, 44.44444444444444, 9.090909090909092]"
2.212908351384123e22,"(phi = (27.0, 172.0), sumE = (1272.0, 3490.0), maxE = (369.0, 2375.0), r = (4.0, 78.0))",0.07711733,35590.0 ± 590.0,"[94.54545454545455, 147.27272727272728, 2297.979797979798, 3429.2929292929293, 2474.747474747475, 1873.7373737373737, 95.95959595959596, 69.6969696969697]"
1.8464931698453252e22,"(phi = (13.0, 146.0), sumE = (307.0, 2822.0), maxE = (895.0, 2765.0), r = (7.0, 98.0))",0.05277794,23940.0 ± 390.0,"[25.454545454545453, 136.36363636363637, 2651.5151515151515, 742.4242424242424, 2686.868686868687, 671.7171717171717, 85.85858585858585, 9.090909090909092]"
2.259866054323498e22,"(phi = (22.0, 168.0), sumE = (1109.0, 3437.0), maxE = (13.0, 2268.0), r = (1.0, 52.0))",0.09490748,51690.0 ± 840.0,"[21.818181818181817, 120.0, 3393.939393939394, 3217.1717171717173, 2368.686868686869, 2686.868686868687, 93.93939393939394, 91.91919191919192]"
2.1162993130698768e22,"(phi = (30.0, 175.0), sumE = (1653.0, 3445.0), maxE = (717.0, 2215.0), r = (0.0, 86.0))",0.04229606,11710.0 ± 210.0,"[109.0909090909091, 120.0, 919.1919191919192, 3287.878787878788, 70.70707070707071, 1873.7373737373737, 57.57575757575758, 94.94949494949495]"
2.014329694564331e22,"(phi = (1.0, 176.0), sumE = (911.0, 2730.0), maxE = (709.0, 2164.0), r = (10.0, 93.0))",0.07813886,44100.0 ± 720.0,"[78.18181818181819, 160.0, 3005.050505050505, 3429.2929292929293, 1838.3838383838383, 671.7171717171717, 34.343434343434346, 50.505050505050505]"
1.784258077473602e22,"(phi = (18.0, 164.0), sumE = (1479.0, 3487.0), maxE = (202.0, 3075.0), r = (13.0, 99.0))",0.0391517,14110.0 ± 240.0,"[154.54545454545453, 27.272727272727273, 3075.757575757576, 3111.1111111111113, 2439.3939393939395, 1661.6161616161617, 21.21212121212121, 97.97979797979798]"
