thalf,roi,eff,b,x0
9.223516331543336e22,"(phi = (26.0, 168.0), sumE = (2238.0, 3453.0), maxE = (636.0, 2674.0), r = (11.0, 74.0))",0.03168067,287.1 ± 5.2,"[114.54545454545455, 56.36363636363637, 2015.1515151515152, 0.0, 3393.939393939394, 2015.1515151515152, 56.56565656565657, 13.131313131313131]"
7.65940484117469e22,"(phi = (27.0, 155.0), sumE = (2144.0, 3089.0), maxE = (149.0, 1851.0), r = (7.0, 88.0))",0.03339644,557.0 ± 10.0,"[40.0, 14.545454545454545, 3500.0, 2969.6969696969695, 2616.161616161616, 1449.4949494949494, 69.6969696969697, 0.0]"
9.113205635358511e22,"(phi = (48.0, 176.0), sumE = (2444.0, 3200.0), maxE = (477.0, 3141.0), r = (16.0, 83.0))",0.00992881,23.55 ± 0.42,"[34.54545454545455, 89.0909090909091, 3005.050505050505, 1060.6060606060605, 3217.1717171717173, 2616.161616161616, 35.35353535353536, 63.63636363636363]"
9.811083338542946e22,"(phi = (117.0, 175.0), sumE = (2530.0, 2973.0), maxE = (86.0, 3136.0), r = (2.0, 56.0))",0.00694698,8.4 ± 0.15,"[94.54545454545455, 43.63636363636363, 565.6565656565657, 1909.090909090909, 1767.6767676767677, 2227.2727272727275, 64.64646464646465, 77.77777777777777]"
1.2061426272028075e23,"(phi = (54.0, 158.0), sumE = (2408.0, 3151.0), maxE = (213.0, 2508.0), r = (1.0, 74.0))",0.02026589,62.9 ± 1.1,"[149.0909090909091, 36.36363636363637, 1661.6161616161617, 2191.919191919192, 989.89898989899, 848.4848484848485, 45.45454545454545, 44.44444444444444]"
4.877226538863762e22,"(phi = (34.0, 103.0), sumE = (2402.0, 3377.0), maxE = (1709.0, 3293.0), r = (4.0, 32.0))",0.00391088,11.41 ± 0.2,"[34.54545454545455, 25.454545454545453, 2368.686868686869, 1060.6060606060605, 282.82828282828285, 2510.10101010101, 20.2020202020202, 81.81818181818181]"
8.184283240903977e22,"(phi = (31.0, 150.0), sumE = (2049.0, 3304.0), maxE = (189.0, 2220.0), r = (5.0, 93.0))",0.05373574,1263.0 ± 23.0,"[161.8181818181818, 41.81818181818182, 2085.8585858585857, 2333.3333333333335, 565.6565656565657, 3500.0, 80.8080808080808, 67.67676767676768]"
5.092731415201527e22,"(phi = (40.0, 96.0), sumE = (2135.0, 2977.0), maxE = (360.0, 2100.0), r = (3.0, 93.0))",0.0170248,271.2 ± 4.9,"[74.54545454545455, 147.27272727272728, 3500.0, 1131.3131313131314, 3217.1717171717173, 2792.929292929293, 94.94949494949495, 51.515151515151516]"
7.89554035636518e22,"(phi = (42.0, 136.0), sumE = (2068.0, 3138.0), maxE = (37.0, 3032.0), r = (3.0, 86.0))",0.04375855,900.0 ± 16.0,"[72.72727272727273, 138.1818181818182, 1202.020202020202, 3429.2929292929293, 919.1919191919192, 1343.4343434343434, 61.61616161616162, 57.57575757575758]"
6.237216363885017e22,"(phi = (72.0, 129.0), sumE = (2215.0, 3264.0), maxE = (533.0, 2079.0), r = (5.0, 66.0))",0.01690369,174.3 ± 3.1,"[67.27272727272727, 49.09090909090909, 1873.7373737373737, 883.8383838383838, 2828.282828282828, 459.5959595959596, 11.11111111111111, 93.93939393939394]"
6.102740581372617e22,"(phi = (18.0, 131.0), sumE = (2364.0, 2753.0), maxE = (222.0, 2927.0), r = (19.0, 45.0))",0.00759908,32.16 ± 0.58,"[96.36363636363636, 36.36363636363637, 1095.959595959596, 35.35353535353536, 1484.8484848484848, 1696.969696969697, 94.94949494949495, 68.68686868686869]"
1.1786058875115222e23,"(phi = (5.0, 151.0), sumE = (2564.0, 3450.0), maxE = (865.0, 2535.0), r = (7.0, 83.0))",0.00784622,7.08 ± 0.12,"[129.0909090909091, 112.72727272727273, 2297.979797979798, 2510.10101010101, 2828.282828282828, 2156.5656565656564, 10.1010101010101, 28.282828282828284]"
1.2995551573664757e23,"(phi = (21.0, 148.0), sumE = (2533.0, 3043.0), maxE = (797.0, 3188.0), r = (2.0, 58.0))",0.01082835,12.56 ± 0.22,"[92.72727272727273, 32.72727272727273, 777.7777777777778, 3005.050505050505, 1343.4343434343434, 565.6565656565657, 19.19191919191919, 3.0303030303030303]"
1.130774258900211e23,"(phi = (43.0, 178.0), sumE = (2282.0, 3293.0), maxE = (536.0, 3419.0), r = (3.0, 88.0))",0.03741426,265.3 ± 4.8,"[80.0, 58.18181818181818, 2404.040404040404, 2969.6969696969695, 1202.020202020202, 1449.4949494949494, 51.515151515151516, 8.080808080808081]"
1.1876618740042173e23,"(phi = (51.0, 177.0), sumE = (2332.0, 2987.0), maxE = (867.0, 3269.0), r = (0.0, 81.0))",0.03138186,165.4 ± 3.0,"[110.9090909090909, 3.6363636363636362, 282.82828282828285, 2580.808080808081, 919.1919191919192, 2969.6969696969695, 69.6969696969697, 94.94949494949495]"
6.964714333079288e22,"(phi = (64.0, 155.0), sumE = (2637.0, 3322.0), maxE = (1726.0, 2807.0), r = (2.0, 54.0))",0.00264557,1.145 ± 0.019,"[158.1818181818182, 56.36363636363637, 2015.1515151515152, 3252.5252525252527, 2545.4545454545455, 1272.7272727272727, 39.39393939393939, 73.73737373737374]"
