thalf,roi,eff,b,x0
2.136464668160002e22,"(phi = (31.0, 156.0), sumE = (1065.0, 3009.0), maxE = (254.0, 2691.0), r = (0.0, 87.0))",0.08810561,49840.0 ± 800.0,"[12.727272727272727, 40.0, 2121.212121212121, 1767.6767676767677, 1873.7373737373737, 2580.808080808081, 47.474747474747474, 49.494949494949495]"
2.0371355976517804e22,"(phi = (5.0, 171.0), sumE = (2.0, 2683.0), maxE = (60.0, 2362.0), r = (4.0, 95.0))",0.12530206,110900.0 ± 1500.0,"[34.54545454545455, 27.272727272727273, 388.8888888888889, 1237.3737373737374, 1590.909090909091, 3111.1111111111113, 56.56565656565657, 48.484848484848484]"
2.0482881012915233e22,"(phi = (18.0, 162.0), sumE = (1030.0, 3299.0), maxE = (33.0, 3031.0), r = (8.0, 63.0))",0.08464349,50040.0 ± 800.0,"[25.454545454545453, 180.0, 1378.7878787878788, 1520.20202020202, 530.3030303030303, 1095.959595959596, 7.070707070707071, 31.31313131313131]"
2.1810214145955497e22,"(phi = (14.0, 163.0), sumE = (1320.0, 3027.0), maxE = (195.0, 2771.0), r = (4.0, 60.0))",0.07105281,31100.0 ± 520.0,"[87.27272727272727, 170.9090909090909, 2722.222222222222, 2227.2727272727275, 459.5959595959596, 2121.212121212121, 59.5959595959596, 13.131313131313131]"
1.9407049768428682e22,"(phi = (12.0, 143.0), sumE = (975.0, 2511.0), maxE = (259.0, 3211.0), r = (5.0, 73.0))",0.08002675,49830.0 ± 780.0,"[116.36363636363636, 89.0909090909091, 3217.1717171717173, 35.35353535353536, 106.06060606060606, 424.24242424242425, 32.323232323232325, 74.74747474747475]"
2.2850593685760054e22,"(phi = (17.0, 179.0), sumE = (965.0, 3496.0), maxE = (293.0, 3399.0), r = (1.0, 51.0))",0.11005479,68000.0 ± 1100.0,"[61.81818181818182, 158.1818181818182, 565.6565656565657, 2227.2727272727275, 2262.626262626263, 2545.4545454545455, 83.83838383838383, 72.72727272727273]"
2.0478928004270283e22,"(phi = (38.0, 167.0), sumE = (1167.0, 3493.0), maxE = (246.0, 1820.0), r = (6.0, 74.0))",0.07503569,39340.0 ± 650.0,"[147.27272727272728, 16.363636363636363, 1590.909090909091, 2333.3333333333335, 1661.6161616161617, 247.4747474747475, 74.74747474747475, 15.151515151515152]"
2.087887770245798e22,"(phi = (7.0, 165.0), sumE = (328.0, 3384.0), maxE = (831.0, 3184.0), r = (6.0, 53.0))",0.07272481,35550.0 ± 590.0,"[38.18181818181818, 130.9090909090909, 106.06060606060606, 3500.0, 141.41414141414143, 2828.282828282828, 47.474747474747474, 35.35353535353536]"
2.261292235147348e22,"(phi = (22.0, 180.0), sumE = (1402.0, 2643.0), maxE = (12.0, 2455.0), r = (1.0, 93.0))",0.06899236,27280.0 ± 460.0,"[165.45454545454547, 165.45454545454547, 1343.4343434343434, 954.5454545454545, 3500.0, 1166.6666666666667, 91.91919191919192, 2.0202020202020203]"
2.0041100585637543e22,"(phi = (1.0, 178.0), sumE = (1166.0, 2066.0), maxE = (776.0, 3206.0), r = (0.0, 99.0))",0.07277202,38640.0 ± 640.0,"[60.0, 72.72727272727273, 3075.757575757576, 176.76767676767676, 2722.222222222222, 70.70707070707071, 21.21212121212121, 16.161616161616163]"
2.1073680162971093e22,"(phi = (0.0, 166.0), sumE = (582.0, 3022.0), maxE = (244.0, 2087.0), r = (2.0, 80.0))",0.12258251,99200.0 ± 1400.0,"[87.27272727272727, 150.9090909090909, 1696.969696969697, 494.949494949495, 1803.030303030303, 1166.6666666666667, 19.19191919191919, 78.78787878787878]"
2.199709883394815e22,"(phi = (10.0, 159.0), sumE = (1301.0, 2906.0), maxE = (147.0, 3244.0), r = (1.0, 58.0))",0.07379151,32980.0 ± 550.0,"[141.8181818181818, 158.1818181818182, 989.89898989899, 2015.1515151515152, 1484.8484848484848, 3075.757575757576, 86.86868686868686, 52.525252525252526]"
2.2396596275671854e22,"(phi = (3.0, 165.0), sumE = (1041.0, 3359.0), maxE = (118.0, 2239.0), r = (2.0, 55.0))",0.09941372,57740.0 ± 930.0,"[94.54545454545455, 158.1818181818182, 2191.919191919192, 2297.979797979798, 2050.5050505050503, 530.3030303030303, 44.44444444444444, 66.66666666666667]"
2.233623463401207e22,"(phi = (13.0, 165.0), sumE = (1368.0, 3308.0), maxE = (311.0, 2989.0), r = (1.0, 98.0))",0.07020549,28950.0 ± 490.0,"[107.27272727272727, 89.0909090909091, 2227.2727272727275, 848.4848484848485, 0.0, 3358.5858585858587, 90.9090909090909, 43.43434343434343]"
2.1015792847759564e22,"(phi = (34.0, 155.0), sumE = (1326.0, 2801.0), maxE = (186.0, 3225.0), r = (1.0, 80.0))",0.06513168,28150.0 ± 470.0,"[94.54545454545455, 100.0, 35.35353535353536, 3217.1717171717173, 2439.3939393939395, 2545.4545454545455, 37.37373737373738, 30.303030303030305]"
2.165840726111456e22,"(phi = (12.0, 170.0), sumE = (1247.0, 2722.0), maxE = (254.0, 2108.0), r = (6.0, 58.0))",0.07653597,36590.0 ± 600.0,"[125.45454545454545, 165.45454545454547, 282.82828282828285, 2686.868686868687, 813.1313131313132, 2439.3939393939395, 10.1010101010101, 17.171717171717173]"
2.0728788806055695e22,"(phi = (28.0, 155.0), sumE = (1379.0, 3409.0), maxE = (456.0, 2964.0), r = (4.0, 58.0))",0.05962301,24240.0 ± 410.0,"[105.45454545454545, 158.1818181818182, 883.8383838383838, 318.1818181818182, 2616.161616161616, 1873.7373737373737, 27.272727272727273, 35.35353535353536]"
2.1698364327086086e22,"(phi = (28.0, 175.0), sumE = (728.0, 3325.0), maxE = (642.0, 1931.0), r = (4.0, 75.0))",0.09921058,61260.0 ± 970.0,"[70.9090909090909, 16.363636363636363, 3323.2323232323233, 601.010101010101, 2686.868686868687, 2368.686868686869, 76.76767676767676, 95.95959595959596]"
2.1315249883520994e22,"(phi = (38.0, 175.0), sumE = (616.0, 2795.0), maxE = (598.0, 2458.0), r = (4.0, 55.0))",0.10016156,64700.0 ± 1000.0,"[38.18181818181818, 3.6363636363636362, 2686.868686868687, 3075.757575757576, 777.7777777777778, 3146.4646464646466, 56.56565656565657, 62.62626262626262]"
2.2210712596481403e22,"(phi = (23.0, 166.0), sumE = (1286.0, 2502.0), maxE = (344.0, 3361.0), r = (1.0, 81.0))",0.07703756,35250.0 ± 590.0,"[110.9090909090909, 52.72727272727273, 2898.989898989899, 2474.747474747475, 2580.808080808081, 3005.050505050505, 34.343434343434346, 35.35353535353536]"
1.8836602229488817e22,"(phi = (34.0, 144.0), sumE = (714.0, 3369.0), maxE = (632.0, 2447.0), r = (5.0, 98.0))",0.07555934,47150.0 ± 740.0,"[54.54545454545455, 29.09090909090909, 318.1818181818182, 1590.909090909091, 1202.020202020202, 1767.6767676767677, 17.171717171717173, 88.88888888888889]"
2.2741996317865673e22,"(phi = (7.0, 176.0), sumE = (1363.0, 2959.0), maxE = (20.0, 2749.0), r = (2.0, 57.0))",0.07324109,30390.0 ± 510.0,"[154.54545454545453, 58.18181818181818, 1979.79797979798, 2934.343434343434, 1590.909090909091, 3323.2323232323233, 84.84848484848484, 100.0]"
