thalf,roi,eff,b,x0
9.10150985439021e22,"(phi = (1.0, 177.0), sumE = (2344.0, 3204.0), maxE = (1638.0, 2352.0), r = (4.0, 43.0))",0.01617122,70.8 ± 1.3,"[29.09090909090909, 18.181818181818183, 2616.161616161616, 742.4242424242424, 2404.040404040404, 3111.1111111111113, 100.0, 79.79797979797979]"
7.586333011559354e22,"(phi = (77.0, 176.0), sumE = (2241.0, 2710.0), maxE = (52.0, 2637.0), r = (11.0, 57.0))",0.02270914,215.1 ± 3.9,"[123.63636363636364, 140.0, 1944.4444444444443, 1166.6666666666667, 1873.7373737373737, 2439.3939393939395, 8.080808080808081, 12.121212121212121]"
1.274670784983933e23,"(phi = (21.0, 157.0), sumE = (2398.0, 3245.0), maxE = (498.0, 3392.0), r = (0.0, 52.0))",0.02426623,82.2 ± 1.5,"[67.27272727272727, 54.54545454545455, 2333.3333333333335, 1520.20202020202, 2757.5757575757575, 1272.7272727272727, 14.141414141414142, 59.5959595959596]"
4.71977257081944e22,"(phi = (35.0, 129.0), sumE = (2316.0, 2578.0), maxE = (239.0, 2171.0), r = (17.0, 61.0))",0.0075173,55.5 ± 1.0,"[150.9090909090909, 81.81818181818181, 1626.2626262626263, 2121.212121212121, 1095.959595959596, 388.8888888888889, 39.39393939393939, 31.31313131313131]"
6.997117209744845e22,"(phi = (33.0, 166.0), sumE = (1978.0, 2780.0), maxE = (685.0, 1887.0), r = (5.0, 81.0))",0.05940117,2112.0 ± 38.0,"[32.72727272727273, 149.0909090909091, 3252.5252525252527, 1838.3838383838383, 1873.7373737373737, 1095.959595959596, 80.8080808080808, 73.73737373737374]"
7.493185641568439e22,"(phi = (110.0, 161.0), sumE = (2237.0, 3029.0), maxE = (820.0, 2972.0), r = (2.0, 74.0))",0.02196797,205.9 ± 3.7,"[129.0909090909091, 38.18181818181818, 2510.10101010101, 1272.7272727272727, 3358.5858585858587, 176.76767676767676, 92.92929292929293, 92.92929292929293]"
1.103701056743599e23,"(phi = (42.0, 166.0), sumE = (2218.0, 3148.0), maxE = (1123.0, 2471.0), r = (4.0, 50.0))",0.04217985,428.0 ± 7.7,"[18.181818181818183, 80.0, 2297.979797979798, 2262.626262626263, 2969.6969696969695, 3181.818181818182, 3.0303030303030303, 96.96969696969697]"
9.828815722365954e22,"(phi = (23.0, 169.0), sumE = (2236.0, 2661.0), maxE = (1015.0, 2796.0), r = (8.0, 90.0))",0.03367029,343.9 ± 6.2,"[7.2727272727272725, 158.1818181818182, 1838.3838383838383, 883.8383838383838, 1767.6767676767677, 1555.5555555555557, 29.292929292929294, 74.74747474747475]"
1.2846333469596786e23,"(phi = (23.0, 177.0), sumE = (2465.0, 2868.0), maxE = (367.0, 2171.0), r = (2.0, 72.0))",0.0168941,36.46 ± 0.65,"[76.36363636363636, 147.27272727272728, 1237.3737373737374, 494.949494949495, 2015.1515151515152, 1767.6767676767677, 26.262626262626263, 41.41414141414141]"
7.941932342154843e22,"(phi = (19.0, 145.0), sumE = (2251.0, 2710.0), maxE = (3.0, 1897.0), r = (2.0, 70.0))",0.02503979,240.1 ± 4.3,"[140.0, 140.0, 2121.212121212121, 1838.3838383838383, 3464.6464646464647, 2191.919191919192, 58.58585858585859, 95.95959595959596]"
