thalf,roi,eff,b,x0
2.2539608363085697e22,"(phi = (9.0, 178.0), sumE = (1405.0, 2624.0), maxE = (773.0, 3192.0), r = (2.0, 50.0))",0.06770257,26440.0 ± 450.0,"[47.27272727272727, 72.72727272727273, 1414.141414141414, 1909.090909090909, 176.76767676767676, 3287.878787878788, 35.35353535353536, 40.4040404040404]"
2.087312668130453e22,"(phi = (13.0, 165.0), sumE = (575.0, 3273.0), maxE = (170.0, 1955.0), r = (2.0, 75.0))",0.12116613,98700.0 ± 1400.0,"[152.72727272727272, 158.1818181818182, 2297.979797979798, 1873.7373737373737, 1237.3737373737374, 282.82828282828285, 47.474747474747474, 28.282828282828284]"
2.0294437087046615e22,"(phi = (31.0, 180.0), sumE = (39.0, 3388.0), maxE = (700.0, 2351.0), r = (6.0, 39.0))",0.07938815,44840.0 ± 730.0,"[136.36363636363637, 38.18181818181818, 1944.4444444444443, 1202.020202020202, 2050.5050505050503, 1944.4444444444443, 1.0101010101010102, 15.151515151515152]"
2.1416196805762572e22,"(phi = (50.0, 171.0), sumE = (1101.0, 2593.0), maxE = (197.0, 2884.0), r = (0.0, 79.0))",0.08481293,45960.0 ± 750.0,"[20.0, 96.36363636363636, 1626.2626262626263, 2368.686868686869, 671.7171717171717, 1272.7272727272727, 49.494949494949495, 25.252525252525253]"
1.830583639141926e22,"(phi = (5.0, 166.0), sumE = (548.0, 2205.0), maxE = (946.0, 1738.0), r = (5.0, 69.0))",0.05288963,24460.0 ± 410.0,"[136.36363636363637, 107.27272727272727, 1732.3232323232323, 2934.343434343434, 2969.6969696969695, 1909.090909090909, 14.141414141414142, 42.42424242424242]"
1.9627664347362994e22,"(phi = (76.0, 175.0), sumE = (1295.0, 2564.0), maxE = (80.0, 2297.0), r = (0.0, 63.0))",0.05796455,25560.0 ± 430.0,"[27.272727272727273, 1.8181818181818181, 3429.2929292929293, 671.7171717171717, 2792.929292929293, 459.5959595959596, 62.62626262626262, 39.39393939393939]"
2.0456514827730935e22,"(phi = (10.0, 146.0), sumE = (1153.0, 2839.0), maxE = (240.0, 3298.0), r = (3.0, 70.0))",0.07493682,39320.0 ± 640.0,"[169.0909090909091, 70.9090909090909, 1025.2525252525252, 2121.212121212121, 494.949494949495, 1590.909090909091, 31.31313131313131, 70.70707070707071]"
2.0381796884253445e22,"(phi = (1.0, 180.0), sumE = (331.0, 3066.0), maxE = (406.0, 2776.0), r = (7.0, 56.0))",0.11350234,90900.0 ± 1300.0,"[172.72727272727272, 130.9090909090909, 3287.878787878788, 70.70707070707071, 3040.40404040404, 2262.626262626263, 80.8080808080808, 60.60606060606061]"
2.024032270470741e22,"(phi = (31.0, 158.0), sumE = (955.0, 2450.0), maxE = (833.0, 3082.0), r = (4.0, 57.0))",0.06831302,33380.0 ± 550.0,"[130.9090909090909, 174.54545454545453, 3358.5858585858587, 636.3636363636364, 2227.2727272727275, 2333.3333333333335, 12.121212121212121, 51.515151515151516]"
1.8819173277680758e22,"(phi = (44.0, 153.0), sumE = (769.0, 3316.0), maxE = (448.0, 2899.0), r = (6.0, 57.0))",0.08552669,60530.0 ± 920.0,"[110.9090909090909, 145.45454545454547, 70.70707070707071, 2722.222222222222, 1025.2525252525252, 2863.6363636363635, 95.95959595959596, 69.6969696969697]"
