thalf,roi,eff,b,x0
9.715535749466294e21 ± 0.0,"(phi = (26.0, 131.0), sumE = (105.0, 1886.0), maxE = (404.0, 2472.0), r = (7.0, 47.0))",0.04222004 ± 0.0,55340.0 ± 770.0,"[141.8181818181818, 54.54545454545455, 742.4242424242424, 601.010101010101, 3323.2323232323233, 1909.090909090909, 23.232323232323232, 11.11111111111111]"
1.1700530980025524e22 ± 0.0,"(phi = (13.0, 152.0), sumE = (60.0, 2721.0), maxE = (209.0, 2010.0), r = (7.0, 96.0))",0.06508594 ± 0.0,90700.0 ± 1200.0,"[18.181818181818183, 40.0, 671.7171717171717, 459.5959595959596, 424.24242424242425, 3075.757575757576, 73.73737373737374, 81.81818181818181]"
1.2341352694400999e22 ± 0.0,"(phi = (32.0, 178.0), sumE = (373.0, 3347.0), maxE = (205.0, 3445.0), r = (0.0, 78.0))",0.07474951 ± 0.0,107500.0 ± 1500.0,"[83.63636363636364, 5.454545454545454, 2297.979797979798, 1590.909090909091, 919.1919191919192, 494.949494949495, 25.252525252525253, 62.62626262626262]"
1.2630706028670347e22 ± 0.0,"(phi = (19.0, 167.0), sumE = (297.0, 2470.0), maxE = (220.0, 3445.0), r = (2.0, 98.0))",0.07701066 ± 0.0,108900.0 ± 1500.0,"[170.9090909090909, 160.0, 813.1313131313132, 1590.909090909091, 1414.141414141414, 2439.3939393939395, 48.484848484848484, 56.56565656565657]"
1.27493208739617e22 ± 0.0,"(phi = (8.0, 166.0), sumE = (415.0, 2901.0), maxE = (275.0, 2885.0), r = (0.0, 94.0))",0.07711399 ± 0.0,107200.0 ± 1500.0,"[174.54545454545453, 54.54545454545455, 1626.2626262626263, 1767.6767676767677, 989.89898989899, 494.949494949495, 77.77777777777777, 95.95959595959596]"
1.2160236319377134e22 ± 0.0,"(phi = (3.0, 160.0), sumE = (236.0, 2281.0), maxE = (423.0, 2422.0), r = (2.0, 86.0))",0.06756859 ± 0.0,90500.0 ± 1300.0,"[174.54545454545453, 125.45454545454545, 70.70707070707071, 3323.2323232323233, 247.4747474747475, 636.3636363636364, 62.62626262626262, 7.070707070707071]"
1.086419797238606e22 ± 0.0,"(phi = (12.0, 150.0), sumE = (100.0, 2172.0), maxE = (29.0, 1475.0), r = (10.0, 50.0))",0.05694177 ± 0.0,80500.0 ± 1100.0,"[140.0, 134.54545454545453, 3393.939393939394, 2863.6363636363635, 3111.1111111111113, 1131.3131313131314, 22.22222222222222, 23.232323232323232]"
1.2626593573886927e22 ± 0.0,"(phi = (26.0, 180.0), sumE = (38.0, 3496.0), maxE = (125.0, 2273.0), r = (0.0, 74.0))",0.07833385 ± 0.0,112800.0 ± 1600.0,"[141.8181818181818, 58.18181818181818, 565.6565656565657, 3500.0, 2757.5757575757575, 388.8888888888889, 43.43434343434343, 60.60606060606061]"
1.0986909904964736e22 ± 0.0,"(phi = (5.0, 158.0), sumE = (395.0, 2197.0), maxE = (468.0, 1972.0), r = (6.0, 42.0))",0.05430846 ± 0.0,71600.0 ± 1100.0,"[141.8181818181818, 147.27272727272728, 3252.5252525252527, 1484.8484848484848, 1661.6161616161617, 2898.989898989899, 37.37373737373738, 98.98989898989899]"
1.243875801772792e22 ± 0.0,"(phi = (8.0, 172.0), sumE = (11.0, 3488.0), maxE = (274.0, 2920.0), r = (2.0, 44.0))",0.07379049 ± 0.0,103100.0 ± 1500.0,"[167.27272727272728, 120.0, 3429.2929292929293, 3358.5858585858587, 1555.5555555555557, 2474.747474747475, 33.333333333333336, 74.74747474747475]"
1.215308566802813e22 ± 0.0,"(phi = (35.0, 177.0), sumE = (208.0, 3288.0), maxE = (32.0, 1928.0), r = (1.0, 82.0))",0.07351499 ± 0.0,107200.0 ± 1500.0,"[29.09090909090909, 67.27272727272727, 35.35353535353536, 2792.929292929293, 2297.979797979798, 247.4747474747475, 54.54545454545455, 69.6969696969697]"
1.2719500851376372e22 ± 0.0,"(phi = (4.0, 179.0), sumE = (364.0, 2102.0), maxE = (86.0, 1954.0), r = (3.0, 95.0))",0.07830185 ± 0.0,111100.0 ± 1500.0,"[132.72727272727272, 50.90909090909091, 424.24242424242425, 3358.5858585858587, 1060.6060606060605, 1414.141414141414, 1.0101010101010102, 16.161616161616163]"
1.251331150096942e22 ± 0.0,"(phi = (15.0, 177.0), sumE = (330.0, 2032.0), maxE = (183.0, 3102.0), r = (4.0, 70.0))",0.07627722 ± 0.0,108900.0 ± 1500.0,"[174.54545454545453, 9.090909090909092, 1484.8484848484848, 1060.6060606060605, 1661.6161616161617, 459.5959595959596, 2.0202020202020203, 15.151515151515152]"
1.0455097802106388e22 ± 0.0,"(phi = (16.0, 163.0), sumE = (173.0, 1726.0), maxE = (348.0, 2594.0), r = (11.0, 95.0))",0.05240709 ± 0.0,73600.0 ± 1000.0,"[90.9090909090909, 27.272727272727273, 2616.161616161616, 2404.040404040404, 1944.4444444444443, 1838.3838383838383, 72.72727272727273, 10.1010101010101]"
1.201025929106762e22 ± 0.0,"(phi = (15.0, 152.0), sumE = (229.0, 3388.0), maxE = (138.0, 2151.0), r = (2.0, 46.0))",0.06857607 ± 0.0,95500.0 ± 1300.0,"[161.8181818181818, 32.72727272727273, 2121.212121212121, 318.1818181818182, 671.7171717171717, 2474.747474747475, 6.0606060606060606, 26.262626262626263]"
1.2731022064032418e22 ± 0.0,"(phi = (5.0, 173.0), sumE = (596.0, 3383.0), maxE = (298.0, 2876.0), r = (0.0, 58.0))",0.07503982 ± 0.0,101800.0 ± 1500.0,"[23.636363636363637, 140.0, 35.35353535353536, 671.7171717171717, 2191.919191919192, 1060.6060606060605, 88.88888888888889, 53.535353535353536]"
1.0365263677698267e22 ± 0.0,"(phi = (1.0, 177.0), sumE = (30.0, 3302.0), maxE = (87.0, 1311.0), r = (14.0, 66.0))",0.05362483 ± 0.0,78400.0 ± 1000.0,"[98.18181818181819, 14.545454545454545, 813.1313131313132, 1767.6767676767677, 141.41414141414143, 388.8888888888889, 15.151515151515152, 1.0101010101010102]"
1.2058826437920503e22 ± 0.0,"(phi = (11.0, 156.0), sumE = (668.0, 2749.0), maxE = (249.0, 2051.0), r = (3.0, 93.0))",0.0651543 ± 0.0,85500.0 ± 1300.0,"[89.0909090909091, 118.18181818181819, 2227.2727272727275, 2792.929292929293, 176.76767676767676, 813.1313131313132, 7.070707070707071, 76.76767676767676]"
1.1279210483035014e22 ± 0.0,"(phi = (9.0, 180.0), sumE = (155.0, 2842.0), maxE = (46.0, 3398.0), r = (12.0, 80.0))",0.06234846 ± 0.0,89500.0 ± 1200.0,"[107.27272727272727, 41.81818181818182, 3040.40404040404, 3500.0, 1237.3737373737374, 2616.161616161616, 9.090909090909092, 86.86868686868686]"
1.2004405822635414e22 ± 0.0,"(phi = (12.0, 145.0), sumE = (13.0, 2801.0), maxE = (102.0, 3035.0), r = (0.0, 73.0))",0.06783347 ± 0.0,93600.0 ± 1300.0,"[9.090909090909092, 116.36363636363636, 1131.3131313131314, 1626.2626262626263, 2545.4545454545455, 3500.0, 71.71717171717172, 10.1010101010101]"
9.733383476240645e21 ± 0.0,"(phi = (10.0, 149.0), sumE = (405.0, 3214.0), maxE = (399.0, 2122.0), r = (15.0, 52.0))",0.04317536 ± 0.0,57660.0 ± 810.0,"[116.36363636363636, 78.18181818181819, 2262.626262626263, 1590.909090909091, 106.06060606060606, 1237.3737373737374, 37.37373737373738, 32.323232323232325]"
