thalf,roi,eff,b,x0
7.510613537000674e22,"(phi = (20.0, 179.0), sumE = (2630.0, 2860.0), maxE = (530.0, 3125.0), r = (16.0, 76.0))",0.00310199,1.578 ± 0.026,"[112.72727272727273, 172.72727272727272, 1414.141414141414, 883.8383838383838, 2474.747474747475, 3111.1111111111113, 14.141414141414142, 1.0101010101010102]"
1.3700711002461106e23,"(phi = (1.0, 176.0), sumE = (2438.0, 3022.0), maxE = (939.0, 3104.0), r = (4.0, 73.0))",0.02157543,54.41 ± 0.97,"[180.0, 163.63636363636363, 883.8383838383838, 530.3030303030303, 1060.6060606060605, 2404.040404040404, 86.86868686868686, 74.74747474747475]"
7.273338113584151e22,"(phi = (36.0, 155.0), sumE = (2486.0, 3395.0), maxE = (1245.0, 3100.0), r = (21.0, 80.0))",0.005167,8.46 ± 0.15,"[30.90909090909091, 147.27272727272728, 3358.5858585858587, 0.0, 1166.6666666666667, 141.41414141414143, 40.4040404040404, 15.151515151515152]"
9.314763364679533e22,"(phi = (83.0, 178.0), sumE = (2255.0, 2767.0), maxE = (587.0, 2404.0), r = (0.0, 98.0))",0.03100195,269.0 ± 4.9,"[65.45454545454545, 172.72727272727272, 424.24242424242425, 1272.7272727272727, 3500.0, 3287.878787878788, 46.464646464646464, 51.515151515151516]"
5.399496414015485e22,"(phi = (27.0, 176.0), sumE = (1574.0, 3461.0), maxE = (946.0, 2619.0), r = (6.0, 43.0))",0.10862592,11860.0 ± 210.0,"[92.72727272727273, 41.81818181818182, 2333.3333333333335, 2898.989898989899, 1590.909090909091, 601.010101010101, 15.151515151515152, 61.61616161616162]"
1.0385653648450571e23,"(phi = (57.0, 163.0), sumE = (2324.0, 3409.0), maxE = (490.0, 3093.0), r = (5.0, 41.0))",0.02516979,137.6 ± 2.5,"[125.45454545454545, 90.9090909090909, 2828.282828282828, 3393.939393939394, 3217.1717171717173, 707.070707070707, 66.66666666666667, 51.515151515151516]"
8.18384211635699e22,"(phi = (7.0, 165.0), sumE = (2090.0, 2873.0), maxE = (1087.0, 3147.0), r = (12.0, 63.0))",0.04340058,824.0 ± 15.0,"[176.36363636363637, 169.0909090909091, 3111.1111111111113, 3075.757575757576, 919.1919191919192, 1060.6060606060605, 31.31313131313131, 36.36363636363637]"
6.445671160496273e22,"(phi = (6.0, 134.0), sumE = (2249.0, 3207.0), maxE = (1723.0, 3431.0), r = (5.0, 72.0))",0.01224603,81.8 ± 1.5,"[180.0, 29.09090909090909, 2934.343434343434, 954.5454545454545, 565.6565656565657, 1131.3131313131314, 34.343434343434346, 21.21212121212121]"
6.109128394143646e22,"(phi = (5.0, 169.0), sumE = (2285.0, 3179.0), maxE = (1051.0, 3170.0), r = (17.0, 29.0))",0.01164156,82.4 ± 1.5,"[29.09090909090909, 154.54545454545453, 1909.090909090909, 2863.6363636363635, 459.5959595959596, 2792.929292929293, 57.57575757575758, 79.79797979797979]"
8.662091695880717e22,"(phi = (21.0, 128.0), sumE = (2547.0, 3036.0), maxE = (1271.0, 2035.0), r = (2.0, 58.0))",0.00530714,5.76 ± 0.1,"[78.18181818181819, 56.36363636363637, 3287.878787878788, 954.5454545454545, 1095.959595959596, 2934.343434343434, 71.71717171717172, 89.8989898989899]"
8.98318441498681e22,"(phi = (7.0, 113.0), sumE = (2369.0, 3487.0), maxE = (7.0, 3483.0), r = (0.0, 78.0))",0.01462463,58.6 ± 1.0,"[176.36363636363637, 25.454545454545453, 883.8383838383838, 1555.5555555555557, 35.35353535353536, 2156.5656565656564, 2.0202020202020203, 83.83838383838383]"
7.543062493276649e22,"(phi = (25.0, 149.0), sumE = (2224.0, 2651.0), maxE = (34.0, 2511.0), r = (11.0, 82.0))",0.02534196,273.7 ± 4.9,"[30.90909090909091, 89.0909090909091, 1803.030303030303, 742.4242424242424, 318.1818181818182, 459.5959595959596, 53.535353535353536, 30.303030303030305]"
1.0855565574951628e23,"(phi = (54.0, 163.0), sumE = (2412.0, 3379.0), maxE = (50.0, 2065.0), r = (2.0, 65.0))",0.01708109,54.33 ± 0.98,"[150.9090909090909, 118.18181818181819, 530.3030303030303, 848.4848484848485, 3217.1717171717173, 2333.3333333333335, 28.282828282828284, 2.0202020202020203]"
9.327848481102778e22,"(phi = (2.0, 153.0), sumE = (2395.0, 3070.0), maxE = (415.0, 3497.0), r = (14.0, 54.0))",0.01379885,47.28 ± 0.85,"[49.09090909090909, 145.45454545454547, 3111.1111111111113, 919.1919191919192, 813.1313131313132, 3005.050505050505, 13.131313131313131, 64.64646464646465]"
1.0044149323769245e23,"(phi = (72.0, 175.0), sumE = (2247.0, 3199.0), maxE = (1072.0, 2620.0), r = (0.0, 54.0))",0.03576568,309.7 ± 5.6,"[134.54545454545453, 101.81818181818181, 1520.20202020202, 212.12121212121212, 3040.40404040404, 3146.4646464646466, 49.494949494949495, 71.71717171717172]"
8.066880884010868e22,"(phi = (0.0, 164.0), sumE = (2226.0, 3437.0), maxE = (1670.0, 3181.0), r = (2.0, 67.0))",0.02144848,167.6 ± 3.0,"[129.0909090909091, 167.27272727272728, 530.3030303030303, 707.070707070707, 601.010101010101, 318.1818181818182, 49.494949494949495, 21.21212121212121]"
8.15085313466011e22,"(phi = (3.0, 166.0), sumE = (2335.0, 2768.0), maxE = (1315.0, 2757.0), r = (16.0, 53.0))",0.01496079,75.9 ± 1.4,"[145.45454545454547, 141.8181818181818, 1308.080808080808, 3323.2323232323233, 2616.161616161616, 3287.878787878788, 97.97979797979798, 18.181818181818183]"
8.823497248479279e22,"(phi = (6.0, 156.0), sumE = (2174.0, 2649.0), maxE = (1008.0, 3346.0), r = (8.0, 50.0))",0.037266,522.7 ± 9.4,"[34.54545454545455, 169.0909090909091, 3252.5252525252527, 1979.79797979798, 601.010101010101, 707.070707070707, 70.70707070707071, 76.76767676767676]"
6.223428934667997e22,"(phi = (98.0, 176.0), sumE = (1931.0, 3167.0), maxE = (308.0, 3350.0), r = (2.0, 39.0))",0.05073402,1947.0 ± 35.0,"[103.63636363636364, 9.090909090909092, 1732.3232323232323, 848.4848484848485, 1590.909090909091, 3217.1717171717173, 7.070707070707071, 51.515151515151516]"
7.477410161489422e22,"(phi = (55.0, 157.0), sumE = (2509.0, 2759.0), maxE = (10.0, 1748.0), r = (2.0, 68.0))",0.0054667,9.04 ± 0.16,"[100.0, 130.9090909090909, 2085.8585858585857, 3111.1111111111113, 2439.3939393939395, 1944.4444444444443, 18.181818181818183, 1.0101010101010102]"
8.179384103280495e22,"(phi = (24.0, 142.0), sumE = (2133.0, 3463.0), maxE = (133.0, 2743.0), r = (10.0, 54.0))",0.03504444,537.9 ± 9.7,"[105.45454545454545, 129.0909090909091, 3252.5252525252527, 707.070707070707, 2934.343434343434, 212.12121212121212, 85.85858585858585, 3.0303030303030303]"
