thalf,roi,eff,b,x0
1.9084564588894685e22,"(phi = (27.0, 166.0), sumE = (2.0, 2686.0), maxE = (11.0, 2307.0), r = (1.0, 36.0))",0.10531016,89200.0 ± 1200.0,"[9.090909090909092, 125.45454545454545, 176.76767676767676, 1661.6161616161617, 1944.4444444444443, 1025.2525252525252, 57.57575757575758, 58.58585858585859]"
2.242324108402274e22,"(phi = (17.0, 171.0), sumE = (1225.0, 3350.0), maxE = (29.0, 1909.0), r = (2.0, 63.0))",0.08433373,41450.0 ± 680.0,"[105.45454545454545, 149.0909090909091, 2404.040404040404, 1696.969696969697, 2262.626262626263, 2934.343434343434, 79.79797979797979, 82.82828282828282]"
2.1462718248229517e22,"(phi = (21.0, 171.0), sumE = (1622.0, 2662.0), maxE = (423.0, 2951.0), r = (1.0, 89.0))",0.04566238,13260.0 ± 230.0,"[74.54545454545455, 150.9090909090909, 459.5959595959596, 1449.4949494949494, 1131.3131313131314, 3005.050505050505, 59.5959595959596, 48.484848484848484]"
2.119443227912206e22,"(phi = (20.0, 175.0), sumE = (663.0, 2633.0), maxE = (695.0, 2298.0), r = (7.0, 60.0))",0.08880265,51440.0 ± 830.0,"[118.18181818181819, 70.9090909090909, 742.4242424242424, 1131.3131313131314, 2474.747474747475, 282.82828282828285, 91.91919191919192, 39.39393939393939]"
2.0043884693505777e22,"(phi = (12.0, 179.0), sumE = (663.0, 2705.0), maxE = (990.0, 2969.0), r = (6.0, 61.0))",0.05466749,21800.0 ± 370.0,"[165.45454545454547, 69.0909090909091, 3040.40404040404, 2510.10101010101, 2686.868686868687, 1732.3232323232323, 74.74747474747475, 65.65656565656566]"
2.1753455689520206e22,"(phi = (8.0, 179.0), sumE = (809.0, 3160.0), maxE = (90.0, 1897.0), r = (4.0, 86.0))",0.11444182,81100.0 ± 1200.0,"[78.18181818181819, 61.81818181818182, 494.949494949495, 2227.2727272727275, 1767.6767676767677, 459.5959595959596, 50.505050505050505, 14.141414141414142]"
2.101588372335945e22,"(phi = (26.0, 153.0), sumE = (1116.0, 2915.0), maxE = (235.0, 2670.0), r = (3.0, 53.0))",0.08161893,44200.0 ± 720.0,"[143.63636363636363, 160.0, 3181.818181818182, 212.12121212121212, 1979.79797979798, 388.8888888888889, 55.55555555555556, 3.0303030303030303]"
2.2678701587500907e22,"(phi = (1.0, 174.0), sumE = (1139.0, 2533.0), maxE = (764.0, 3024.0), r = (1.0, 49.0))",0.08541873,41570.0 ± 690.0,"[145.45454545454547, 76.36363636363636, 1590.909090909091, 813.1313131313132, 1696.969696969697, 3464.6464646464647, 65.65656565656566, 29.292929292929294]"
2.022290260826927e22,"(phi = (8.0, 154.0), sumE = (290.0, 2607.0), maxE = (458.0, 3426.0), r = (3.0, 98.0))",0.10674977,81700.0 ± 1200.0,"[85.45454545454545, 80.0, 1378.7878787878788, 494.949494949495, 3252.5252525252527, 1520.20202020202, 0.0, 3.0303030303030303]"
1.9893371498112454e22,"(phi = (39.0, 175.0), sumE = (1046.0, 2692.0), maxE = (409.0, 1998.0), r = (9.0, 67.0))",0.07863155,45780.0 ± 740.0,"[114.54545454545455, 38.18181818181818, 636.3636363636364, 636.3636363636364, 1767.6767676767677, 388.8888888888889, 12.121212121212121, 20.2020202020202]"
2.1696213851879355e22,"(phi = (6.0, 169.0), sumE = (1534.0, 3175.0), maxE = (36.0, 2952.0), r = (3.0, 49.0))",0.05311491,17560.0 ± 300.0,"[101.81818181818181, 20.0, 3040.40404040404, 3393.939393939394, 601.010101010101, 1237.3737373737374, 25.252525252525253, 90.9090909090909]"
2.011592798322022e22,"(phi = (52.0, 178.0), sumE = (677.0, 3098.0), maxE = (14.0, 2624.0), r = (4.0, 85.0))",0.10285792,76600.0 ± 1200.0,"[5.454545454545454, 96.36363636363636, 1166.6666666666667, 282.82828282828285, 813.1313131313132, 2580.808080808081, 38.38383838383838, 0.0]"
1.7172673615886427e22,"(phi = (17.0, 163.0), sumE = (1615.0, 3440.0), maxE = (136.0, 2394.0), r = (13.0, 92.0))",0.02970494,8770.0 ± 150.0,"[41.81818181818182, 58.18181818181818, 2651.5151515151515, 2156.5656565656564, 1308.080808080808, 1944.4444444444443, 19.19191919191919, 11.11111111111111]"
2.0267241801239312e22,"(phi = (21.0, 156.0), sumE = (794.0, 3445.0), maxE = (34.0, 1750.0), r = (3.0, 59.0))",0.10181843,74000.0 ± 1100.0,"[30.90909090909091, 10.909090909090908, 1909.090909090909, 777.7777777777778, 1909.090909090909, 1237.3737373737374, 35.35353535353536, 100.0]"
2.1277389689363815e22,"(phi = (16.0, 178.0), sumE = (841.0, 2916.0), maxE = (944.0, 3385.0), r = (3.0, 55.0))",0.06492087,27280.0 ± 460.0,"[98.18181818181819, 18.181818181818183, 70.70707070707071, 388.8888888888889, 565.6565656565657, 3005.050505050505, 44.44444444444444, 17.171717171717173]"
2.116747290567406e22,"(phi = (16.0, 177.0), sumE = (635.0, 2462.0), maxE = (63.0, 3005.0), r = (4.0, 99.0))",0.12096854,95700.0 ± 1400.0,"[36.36363636363637, 27.272727272727273, 919.1919191919192, 106.06060606060606, 2969.6969696969695, 2510.10101010101, 25.252525252525253, 55.55555555555556]"
2.228751996757201e22,"(phi = (7.0, 179.0), sumE = (27.0, 2564.0), maxE = (564.0, 3266.0), r = (1.0, 50.0))",0.11563718,78900.0 ± 1200.0,"[60.0, 123.63636363636364, 1308.080808080808, 1484.8484848484848, 1979.79797979798, 388.8888888888889, 55.55555555555556, 90.9090909090909]"
2.133523948497739e22,"(phi = (10.0, 156.0), sumE = (1077.0, 2562.0), maxE = (576.0, 2926.0), r = (1.0, 45.0))",0.08698335,48710.0 ± 790.0,"[47.27272727272727, 9.090909090909092, 3217.1717171717173, 388.8888888888889, 2828.282828282828, 2828.282828282828, 8.080808080808081, 44.44444444444444]"
2.2249309857843237e22,"(phi = (11.0, 176.0), sumE = (177.0, 2633.0), maxE = (576.0, 3334.0), r = (2.0, 55.0))",0.1133902,76100.0 ± 1200.0,"[149.0909090909091, 160.0, 1343.4343434343434, 1696.969696969697, 989.89898989899, 777.7777777777778, 3.0303030303030303, 15.151515151515152]"
2.225519990688182e22,"(phi = (4.0, 179.0), sumE = (749.0, 3158.0), maxE = (1.0, 3240.0), r = (1.0, 95.0))",0.12317822,89800.0 ± 1400.0,"[176.36363636363637, 87.27272727272727, 2227.2727272727275, 1696.969696969697, 2863.6363636363635, 3040.40404040404, 10.1010101010101, 18.181818181818183]"
