thalf,roi,eff,b,x0
9.700786862507002e21 ± 0.0,"(phi = (55.0, 159.0), sumE = (803.0, 3329.0), maxE = (326.0, 2099.0), r = (2.0, 58.0))",0.04437763 ± 0.0,61330.0 ± 950.0,"[163.63636363636363, 150.9090909090909, 2616.161616161616, 282.82828282828285, 2686.868686868687, 176.76767676767676, 60.60606060606061, 64.64646464646465]"
1.178422004236836e22 ± 0.0,"(phi = (19.0, 151.0), sumE = (667.0, 3350.0), maxE = (2.0, 2581.0), r = (3.0, 92.0))",0.06193849 ± 0.0,81000.0 ± 1200.0,"[127.27272727272727, 141.8181818181818, 671.7171717171717, 671.7171717171717, 35.35353535353536, 3146.4646464646466, 50.505050505050505, 3.0303030303030303]"
9.69484263413781e21 ± 0.0,"(phi = (66.0, 177.0), sumE = (148.0, 2969.0), maxE = (429.0, 2035.0), r = (3.0, 98.0))",0.04721731 ± 0.0,69500.0 ± 1100.0,"[50.90909090909091, 80.0, 989.89898989899, 353.5353535353535, 1520.20202020202, 35.35353535353536, 14.141414141414142, 49.494949494949495]"
1.28806713067409e22 ± 0.0,"(phi = (9.0, 177.0), sumE = (10.0, 2929.0), maxE = (21.0, 2221.0), r = (2.0, 85.0))",0.08070747 ± 0.0,115000.0 ± 1600.0,"[149.0909090909091, 80.0, 212.12121212121212, 212.12121212121212, 636.3636363636364, 2297.979797979798, 9.090909090909092, 88.88888888888889]"
1.0371612576317738e22 ± 0.0,"(phi = (10.0, 154.0), sumE = (52.0, 3435.0), maxE = (209.0, 3162.0), r = (14.0, 67.0))",0.05165941 ± 0.0,72700.0 ± 980.0,"[85.45454545454545, 160.0, 3111.1111111111113, 1095.959595959596, 2191.919191919192, 3005.050505050505, 57.57575757575758, 56.56565656565657]"
1.0651759865321975e22 ± 0.0,"(phi = (0.0, 136.0), sumE = (265.0, 2879.0), maxE = (550.0, 3427.0), r = (2.0, 63.0))",0.04741272 ± 0.0,58060.0 ± 860.0,"[76.36363636363636, 92.72727272727273, 2510.10101010101, 1166.6666666666667, 636.3636363636364, 1732.3232323232323, 16.161616161616163, 13.131313131313131]"
1.2183235028340844e22 ± 0.0,"(phi = (3.0, 150.0), sumE = (338.0, 2474.0), maxE = (35.0, 1848.0), r = (2.0, 76.0))",0.07006142 ± 0.0,96900.0 ± 1300.0,"[54.54545454545455, 176.36363636363637, 2969.6969696969695, 141.41414141414143, 3252.5252525252527, 1202.020202020202, 95.95959595959596, 64.64646464646465]"
1.2368774033681907e22 ± 0.0,"(phi = (25.0, 179.0), sumE = (31.0, 2658.0), maxE = (251.0, 1719.0), r = (4.0, 80.0))",0.07447598 ± 0.0,106200.0 ± 1500.0,"[129.0909090909091, 112.72727272727273, 1025.2525252525252, 2651.5151515151515, 3111.1111111111113, 2474.747474747475, 83.83838383838383, 40.4040404040404]"
1.1469417942133527e22 ± 0.0,"(phi = (9.0, 172.0), sumE = (672.0, 3428.0), maxE = (587.0, 3052.0), r = (1.0, 87.0))",0.05769397 ± 0.0,74100.0 ± 1100.0,"[69.0909090909091, 141.8181818181818, 1979.79797979798, 1873.7373737373737, 3323.2323232323233, 176.76767676767676, 30.303030303030305, 89.8989898989899]"
1.1124051602255563e22 ± 0.0,"(phi = (5.0, 155.0), sumE = (292.0, 2685.0), maxE = (589.0, 1989.0), r = (1.0, 52.0))",0.05304166 ± 0.0,66600.0 ± 1000.0,"[32.72727272727273, 98.18181818181819, 530.3030303030303, 3323.2323232323233, 3181.818181818182, 3217.1717171717173, 30.303030303030305, 45.45454545454545]"
1.2642525539964136e22 ± 0.0,"(phi = (2.0, 172.0), sumE = (140.0, 2736.0), maxE = (210.0, 1513.0), r = (2.0, 81.0))",0.0777177 ± 0.0,110700.0 ± 1500.0,"[80.0, 136.36363636363637, 0.0, 601.010101010101, 1909.090909090909, 494.949494949495, 16.161616161616163, 5.05050505050505]"
1.2728154232835967e22 ± 0.0,"(phi = (4.0, 178.0), sumE = (160.0, 2505.0), maxE = (317.0, 3203.0), r = (3.0, 100.0))",0.07688009 ± 0.0,106900.0 ± 1500.0,"[78.18181818181819, 143.63636363636363, 2969.6969696969695, 2828.282828282828, 1272.7272727272727, 2156.5656565656564, 60.60606060606061, 89.8989898989899]"
1.1299902111081201e22 ± 0.0,"(phi = (1.0, 135.0), sumE = (657.0, 2541.0), maxE = (4.0, 2494.0), r = (2.0, 52.0))",0.05492096 ± 0.0,69220.0 ± 1000.0,"[7.2727272727272725, 61.81818181818182, 212.12121212121212, 3358.5858585858587, 0.0, 176.76767676767676, 80.8080808080808, 10.1010101010101]"
1.2194842382190009e22 ± 0.0,"(phi = (14.0, 155.0), sumE = (14.0, 3396.0), maxE = (358.0, 1985.0), r = (2.0, 70.0))",0.06866027 ± 0.0,92900.0 ± 1300.0,"[78.18181818181819, 21.818181818181817, 813.1313131313132, 1449.4949494949494, 282.82828282828285, 671.7171717171717, 91.91919191919192, 3.0303030303030303]"
1.0849777991450104e22 ± 0.0,"(phi = (24.0, 172.0), sumE = (374.0, 2580.0), maxE = (489.0, 1297.0), r = (6.0, 78.0))",0.05485992 ± 0.0,74900.0 ± 1100.0,"[49.09090909090909, 40.0, 919.1919191919192, 707.070707070707, 388.8888888888889, 1944.4444444444443, 7.070707070707071, 2.0202020202020203]"
1.1430044739571225e22 ± 0.0,"(phi = (14.0, 180.0), sumE = (811.0, 3459.0), maxE = (181.0, 1543.0), r = (6.0, 52.0))",0.05814186 ± 0.0,75800.0 ± 1200.0,"[1.8181818181818181, 134.54545454545453, 742.4242424242424, 3323.2323232323233, 2828.282828282828, 813.1313131313132, 32.323232323232325, 36.36363636363637]"
1.201673209248873e22 ± 0.0,"(phi = (3.0, 169.0), sumE = (303.0, 3335.0), maxE = (240.0, 1917.0), r = (8.0, 62.0))",0.06956591 ± 0.0,98200.0 ± 1400.0,"[158.1818181818182, 61.81818181818182, 601.010101010101, 494.949494949495, 2404.040404040404, 424.24242424242425, 23.232323232323232, 11.11111111111111]"
1.1916252616605217e22 ± 0.0,"(phi = (20.0, 146.0), sumE = (324.0, 2348.0), maxE = (93.0, 2329.0), r = (0.0, 63.0))",0.06694069 ± 0.0,92500.0 ± 1300.0,"[80.0, 140.0, 459.5959595959596, 459.5959595959596, 1414.141414141414, 919.1919191919192, 52.525252525252526, 18.181818181818183]"
1.045920021232423e22 ± 0.0,"(phi = (25.0, 122.0), sumE = (426.0, 2301.0), maxE = (34.0, 2300.0), r = (1.0, 84.0))",0.04909232 ± 0.0,64560.0 ± 870.0,"[78.18181818181819, 120.0, 1979.79797979798, 1237.3737373737374, 2439.3939393939395, 1590.909090909091, 10.1010101010101, 72.72727272727273]"
1.0920370590561874e22 ± 0.0,"(phi = (1.0, 173.0), sumE = (898.0, 3235.0), maxE = (239.0, 2487.0), r = (4.0, 41.0))",0.0517335 ± 0.0,65800.0 ± 1000.0,"[81.81818181818181, 149.0909090909091, 2616.161616161616, 954.5454545454545, 212.12121212121212, 176.76767676767676, 84.84848484848484, 68.68686868686869]"
8.442749984646115e21 ± 0.0,"(phi = (49.0, 174.0), sumE = (24.0, 2423.0), maxE = (90.0, 3139.0), r = (15.0, 40.0))",0.03638444 ± 0.0,54420.0 ± 760.0,"[136.36363636363637, 72.72727272727273, 176.76767676767676, 989.89898989899, 2050.5050505050503, 2015.1515151515152, 47.474747474747474, 69.6969696969697]"
1.020608118379766e22 ± 0.0,"(phi = (32.0, 164.0), sumE = (695.0, 3226.0), maxE = (58.0, 2240.0), r = (12.0, 96.0))",0.04794625 ± 0.0,64670.0 ± 960.0,"[103.63636363636364, 141.8181818181818, 282.82828282828285, 2969.6969696969695, 1520.20202020202, 707.070707070707, 40.4040404040404, 41.41414141414141]"
