thalf,roi,eff,b,x0
1.1262797844321353e22 ± 0.0,"(phi = (44.0, 178.0), sumE = (664.0, 3310.0), maxE = (194.0, 2868.0), r = (1.0, 74.0))",0.06073993 ± 0.0,85200.0 ± 1300.0,"[87.27272727272727, 5.454545454545454, 2156.5656565656564, 2333.3333333333335, 3500.0, 1131.3131313131314, 41.41414141414141, 58.58585858585859]"
1.1481827971791602e22 ± 0.0,"(phi = (20.0, 152.0), sumE = (544.0, 3217.0), maxE = (458.0, 2313.0), r = (4.0, 50.0))",0.05917575 ± 0.0,77800.0 ± 1100.0,"[34.54545454545455, 109.0909090909091, 2792.929292929293, 1025.2525252525252, 671.7171717171717, 3181.818181818182, 60.60606060606061, 78.78787878787878]"
1.2123368269895222e22 ± 0.0,"(phi = (10.0, 166.0), sumE = (209.0, 2280.0), maxE = (101.0, 2098.0), r = (7.0, 97.0))",0.07137261 ± 0.0,101600.0 ± 1400.0,"[140.0, 21.818181818181817, 3393.939393939394, 3146.4646464646466, 1202.020202020202, 106.06060606060606, 54.54545454545455, 64.64646464646465]"
1.106249129959368e22 ± 0.0,"(phi = (47.0, 177.0), sumE = (232.0, 2859.0), maxE = (395.0, 3216.0), r = (2.0, 62.0))",0.05992528 ± 0.0,86000.0 ± 1300.0,"[172.72727272727272, 76.36363636363636, 3217.1717171717173, 601.010101010101, 2015.1515151515152, 176.76767676767676, 71.71717171717172, 62.62626262626262]"
1.2368079759995002e22 ± 0.0,"(phi = (7.0, 156.0), sumE = (564.0, 2960.0), maxE = (62.0, 2390.0), r = (1.0, 93.0))",0.07012995 ± 0.0,94200.0 ± 1300.0,"[80.0, 65.45454545454545, 954.5454545454545, 2404.040404040404, 2333.3333333333335, 1803.030303030303, 89.8989898989899, 87.87878787878788]"
1.2489471159895543e22 ± 0.0,"(phi = (5.0, 178.0), sumE = (705.0, 3110.0), maxE = (30.0, 2049.0), r = (1.0, 87.0))",0.07061239 ± 0.0,93700.0 ± 1400.0,"[180.0, 152.72727272727272, 0.0, 1944.4444444444443, 2015.1515151515152, 2156.5656565656564, 84.84848484848484, 89.8989898989899]"
1.1633229581931763e22 ± 0.0,"(phi = (5.0, 161.0), sumE = (837.0, 2135.0), maxE = (344.0, 1777.0), r = (1.0, 90.0))",0.05881829 ± 0.0,74900.0 ± 1200.0,"[145.45454545454547, 161.8181818181818, 3323.2323232323233, 1909.090909090909, 212.12121212121212, 2297.979797979798, 76.76767676767676, 41.41414141414141]"
1.2582574759071128e22 ± 0.0,"(phi = (25.0, 180.0), sumE = (15.0, 3417.0), maxE = (237.0, 1726.0), r = (1.0, 94.0))",0.07718573 ± 0.0,110300.0 ± 1500.0,"[61.81818181818182, 149.0909090909091, 2121.212121212121, 777.7777777777778, 1732.3232323232323, 2050.5050505050503, 87.87878787878788, 47.474747474747474]"
1.2469469434702838e22 ± 0.0,"(phi = (3.0, 157.0), sumE = (228.0, 2212.0), maxE = (126.0, 3118.0), r = (1.0, 62.0))",0.07458623 ± 0.0,104800.0 ± 1400.0,"[123.63636363636364, 90.9090909090909, 1696.969696969697, 0.0, 70.70707070707071, 212.12121212121212, 48.484848484848484, 57.57575757575758]"
1.2038377109729963e22 ± 0.0,"(phi = (10.0, 163.0), sumE = (533.0, 2238.0), maxE = (452.0, 1729.0), r = (2.0, 60.0))",0.06608228 ± 0.0,88300.0 ± 1300.0,"[3.6363636363636362, 141.8181818181818, 1979.79797979798, 530.3030303030303, 388.8888888888889, 1343.4343434343434, 36.36363636363637, 31.31313131313131]"
1.2622518845646993e22 ± 0.0,"(phi = (7.0, 168.0), sumE = (105.0, 2047.0), maxE = (45.0, 3449.0), r = (2.0, 100.0))",0.07753321 ± 0.0,110600.0 ± 1500.0,"[45.45454545454545, 81.81818181818181, 1237.3737373737374, 2898.989898989899, 1520.20202020202, 1484.8484848484848, 68.68686868686869, 25.252525252525253]"
1.2153944630254966e22 ± 0.0,"(phi = (14.0, 179.0), sumE = (10.0, 1747.0), maxE = (85.0, 1632.0), r = (2.0, 93.0))",0.07332752 ± 0.0,106700.0 ± 1400.0,"[74.54545454545455, 50.90909090909091, 3217.1717171717173, 2934.343434343434, 1378.7878787878788, 1202.020202020202, 59.5959595959596, 63.63636363636363]"
1.2517130177474942e22 ± 0.0,"(phi = (1.0, 157.0), sumE = (244.0, 2546.0), maxE = (51.0, 3384.0), r = (1.0, 82.0))",0.07503282 ± 0.0,105300.0 ± 1400.0,"[156.36363636363637, 21.818181818181817, 2297.979797979798, 3429.2929292929293, 2898.989898989899, 2510.10101010101, 89.8989898989899, 9.090909090909092]"
1.2470700429482759e22 ± 0.0,"(phi = (4.0, 177.0), sumE = (408.0, 2792.0), maxE = (96.0, 1591.0), r = (5.0, 62.0))",0.07498914 ± 0.0,106000.0 ± 1500.0,"[14.545454545454545, 152.72727272727272, 353.5353535353535, 2757.5757575757575, 565.6565656565657, 1166.6666666666667, 65.65656565656566, 48.484848484848484]"
1.193356243368148e22 ± 0.0,"(phi = (10.0, 167.0), sumE = (627.0, 2352.0), maxE = (35.0, 1713.0), r = (0.0, 41.0))",0.06526659 ± 0.0,87700.0 ± 1300.0,"[107.27272727272727, 50.90909090909091, 2686.868686868687, 318.1818181818182, 388.8888888888889, 1838.3838383838383, 42.42424242424242, 69.6969696969697]"
1.1796707078514573e22 ± 0.0,"(phi = (14.0, 163.0), sumE = (750.0, 3382.0), maxE = (93.0, 3486.0), r = (5.0, 100.0))",0.06176762 ± 0.0,80300.0 ± 1200.0,"[154.54545454545453, 0.0, 176.76767676767676, 989.89898989899, 1944.4444444444443, 2722.222222222222, 68.68686868686869, 38.38383838383838]"
1.2742919865948025e22 ± 0.0,"(phi = (4.0, 170.0), sumE = (430.0, 3013.0), maxE = (272.0, 1801.0), r = (2.0, 77.0))",0.07729374 ± 0.0,107800.0 ± 1500.0,"[78.18181818181819, 54.54545454545455, 388.8888888888889, 2580.808080808081, 3393.939393939394, 777.7777777777778, 39.39393939393939, 18.181818181818183]"
1.1597031759279288e22 ± 0.0,"(phi = (42.0, 178.0), sumE = (530.0, 3297.0), maxE = (263.0, 3296.0), r = (2.0, 91.0))",0.06569655 ± 0.0,94000.0 ± 1400.0,"[145.45454545454547, 61.81818181818182, 3393.939393939394, 848.4848484848485, 1696.969696969697, 1378.7878787878788, 51.515151515151516, 92.92929292929293]"
9.763902518291713e21 ± 0.0,"(phi = (59.0, 179.0), sumE = (335.0, 3065.0), maxE = (516.0, 3128.0), r = (1.0, 99.0))",0.04672815 ± 0.0,67100.0 ± 1000.0,"[80.0, 36.36363636363637, 3323.2323232323233, 777.7777777777778, 1025.2525252525252, 2050.5050505050503, 30.303030303030305, 48.484848484848484]"
1.115557990995646e22 ± 0.0,"(phi = (33.0, 150.0), sumE = (205.0, 2366.0), maxE = (122.0, 1619.0), r = (5.0, 53.0))",0.06062514 ± 0.0,86500.0 ± 1200.0,"[154.54545454545453, 176.36363636363637, 1131.3131313131314, 1767.6767676767677, 2792.929292929293, 3040.40404040404, 24.242424242424242, 69.6969696969697]"
1.137799237984842e22 ± 0.0,"(phi = (8.0, 161.0), sumE = (44.0, 3297.0), maxE = (293.0, 3380.0), r = (9.0, 46.0))",0.06119575 ± 0.0,84800.0 ± 1200.0,"[178.1818181818182, 34.54545454545455, 2616.161616161616, 494.949494949495, 2616.161616161616, 1979.79797979798, 69.6969696969697, 84.84848484848484]"
1.1800991131037384e22 ± 0.0,"(phi = (29.0, 171.0), sumE = (262.0, 2659.0), maxE = (424.0, 2244.0), r = (4.0, 95.0))",0.06534329 ± 0.0,89800.0 ± 1300.0,"[34.54545454545455, 176.36363636363637, 1166.6666666666667, 3005.050505050505, 3464.6464646464647, 1626.2626262626263, 61.61616161616162, 48.484848484848484]"
