thalf,roi,eff,b,x0
1.0792113261010756e22 ± 0.0,"(phi = (26.0, 149.0), sumE = (769.0, 1870.0), maxE = (210.0, 3192.0), r = (3.0, 93.0))",0.05140866 ± 0.0,66500.0 ± 990.0,"[158.1818181818182, 154.54545454545453, 2404.040404040404, 2510.10101010101, 1414.141414141414, 1308.080808080808, 40.4040404040404, 67.67676767676768]"
1.0550153877884552e22 ± 0.0,"(phi = (22.0, 123.0), sumE = (2.0, 2411.0), maxE = (180.0, 2293.0), r = (3.0, 60.0))",0.05073948 ± 0.0,67780.0 ± 890.0,"[30.90909090909091, 112.72727272727273, 0.0, 0.0, 636.3636363636364, 1838.3838383838383, 61.61616161616162, 35.35353535353536]"
1.2235765256192673e22 ± 0.0,"(phi = (14.0, 174.0), sumE = (63.0, 2386.0), maxE = (127.0, 2217.0), r = (7.0, 92.0))",0.07304727 ± 0.0,104400.0 ± 1400.0,"[165.45454545454547, 27.272727272727273, 2898.989898989899, 3005.050505050505, 2934.343434343434, 141.41414141414143, 43.43434343434343, 88.88888888888889]"
1.2740618912859966e22 ± 0.0,"(phi = (6.0, 172.0), sumE = (67.0, 2110.0), maxE = (116.0, 2972.0), r = (2.0, 60.0))",0.0790544 ± 0.0,112800.0 ± 1500.0,"[25.454545454545453, 5.454545454545454, 3146.4646464646466, 2368.686868686869, 1166.6666666666667, 2227.2727272727275, 40.4040404040404, 51.515151515151516]"
1.0532871523465416e22 ± 0.0,"(phi = (34.0, 132.0), sumE = (89.0, 2706.0), maxE = (76.0, 2098.0), r = (0.0, 92.0))",0.05227215 ± 0.0,72170.0 ± 970.0,"[41.81818181818182, 134.54545454545453, 2722.222222222222, 2616.161616161616, 106.06060606060606, 1979.79797979798, 47.474747474747474, 80.8080808080808]"
1.1738491826637415e22 ± 0.0,"(phi = (26.0, 173.0), sumE = (520.0, 3112.0), maxE = (502.0, 3455.0), r = (1.0, 74.0))",0.06319279 ± 0.0,84900.0 ± 1300.0,"[110.9090909090909, 101.81818181818181, 1308.080808080808, 1873.7373737373737, 1202.020202020202, 2262.626262626263, 41.41414141414141, 64.64646464646465]"
1.166418670225724e22 ± 0.0,"(phi = (13.0, 171.0), sumE = (99.0, 2912.0), maxE = (525.0, 2774.0), r = (4.0, 93.0))",0.06119412 ± 0.0,80700.0 ± 1200.0,"[169.0909090909091, 127.27272727272727, 3500.0, 883.8383838383838, 2015.1515151515152, 2792.929292929293, 77.77777777777777, 7.070707070707071]"
1.1641357586326983e22 ± 0.0,"(phi = (6.0, 168.0), sumE = (607.0, 3030.0), maxE = (206.0, 2211.0), r = (9.0, 97.0))",0.06249779 ± 0.0,84500.0 ± 1200.0,"[107.27272727272727, 70.9090909090909, 1838.3838383838383, 2757.5757575757575, 1308.080808080808, 1696.969696969697, 30.303030303030305, 54.54545454545455]"
1.2314856643582461e22 ± 0.0,"(phi = (28.0, 167.0), sumE = (510.0, 2715.0), maxE = (15.0, 2483.0), r = (1.0, 99.0))",0.07218643 ± 0.0,100700.0 ± 1400.0,"[40.0, 109.0909090909091, 459.5959595959596, 883.8383838383838, 2015.1515151515152, 2580.808080808081, 58.58585858585859, 61.61616161616162]"
1.0765343688712625e22 ± 0.0,"(phi = (5.0, 158.0), sumE = (182.0, 3389.0), maxE = (645.0, 3497.0), r = (2.0, 87.0))",0.0485375 ± 0.0,59570.0 ± 940.0,"[129.0909090909091, 7.2727272727272725, 3323.2323232323233, 1095.959595959596, 176.76767676767676, 3323.2323232323233, 50.505050505050505, 94.94949494949495]"
