thalf,roi,eff,b,x0
2.280206318076283e22,"(phi = (24.0, 178.0), sumE = (1124.0, 2654.0), maxE = (309.0, 2081.0), r = (1.0, 54.0))",0.09549711,51400.0 ± 840.0,"[81.81818181818181, 147.27272727272728, 424.24242424242425, 353.5353535353535, 1272.7272727272727, 3323.2323232323233, 2.0202020202020203, 30.303030303030305]"
1.9385977274788592e22,"(phi = (5.0, 143.0), sumE = (687.0, 2819.0), maxE = (433.0, 2811.0), r = (0.0, 70.0))",0.09659414,72800.0 ± 1100.0,"[0.0, 23.636363636363637, 2191.919191919192, 35.35353535353536, 3181.818181818182, 3217.1717171717173, 9.090909090909092, 96.96969696969697]"
2.0620640119782885e22,"(phi = (12.0, 165.0), sumE = (1552.0, 3205.0), maxE = (804.0, 3026.0), r = (6.0, 82.0))",0.04674631,15060.0 ± 260.0,"[110.9090909090909, 154.54545454545453, 2651.5151515151515, 1166.6666666666667, 3429.2929292929293, 1590.909090909091, 86.86868686868686, 26.262626262626263]"
1.6262519950418276e22,"(phi = (36.0, 174.0), sumE = (709.0, 1895.0), maxE = (832.0, 2522.0), r = (4.0, 65.0))",0.0538948,32180.0 ± 530.0,"[138.1818181818182, 34.54545454545455, 388.8888888888889, 671.7171717171717, 35.35353535353536, 494.949494949495, 75.75757575757575, 56.56565656565657]"
1.8640860328112901e22,"(phi = (2.0, 168.0), sumE = (1685.0, 2231.0), maxE = (22.0, 3145.0), r = (1.0, 67.0))",0.03436489,9960.0 ± 180.0,"[170.9090909090909, 145.45454545454547, 1873.7373737373737, 388.8888888888889, 2297.979797979798, 2262.626262626263, 18.181818181818183, 76.76767676767676]"
2.141221455248968e22,"(phi = (30.0, 161.0), sumE = (884.0, 2916.0), maxE = (81.0, 3148.0), r = (2.0, 77.0))",0.10303941,67900.0 ± 1100.0,"[18.181818181818183, 169.0909090909091, 1803.030303030303, 1661.6161616161617, 1590.909090909091, 3323.2323232323233, 45.45454545454545, 57.57575757575758]"
1.958051580684775e22,"(phi = (64.0, 162.0), sumE = (1291.0, 3400.0), maxE = (152.0, 3275.0), r = (0.0, 46.0))",0.05784177,25570.0 ± 430.0,"[160.0, 18.181818181818183, 2757.5757575757575, 919.1919191919192, 2792.929292929293, 1449.4949494949494, 98.98989898989899, 36.36363636363637]"
1.750802210838019e22,"(phi = (42.0, 141.0), sumE = (1566.0, 2666.0), maxE = (477.0, 2155.0), r = (5.0, 51.0))",0.03293812,10370.0 ± 180.0,"[167.27272727272728, 89.0909090909091, 2474.747474747475, 1060.6060606060605, 1803.030303030303, 601.010101010101, 95.95959595959596, 28.282828282828284]"
2.005196152129262e22,"(phi = (14.0, 154.0), sumE = (247.0, 2673.0), maxE = (605.0, 1846.0), r = (5.0, 89.0))",0.0908046,60090.0 ± 930.0,"[125.45454545454545, 145.45454545454547, 530.3030303030303, 3500.0, 70.70707070707071, 777.7777777777778, 98.98989898989899, 71.71717171717172]"
2.197083119375978e22,"(phi = (22.0, 163.0), sumE = (109.0, 2610.0), maxE = (714.0, 3468.0), r = (0.0, 97.0))",0.09245279,51890.0 ± 840.0,"[130.9090909090909, 167.27272727272728, 1732.3232323232323, 1944.4444444444443, 1308.080808080808, 2085.8585858585857, 68.68686868686869, 60.60606060606061]"
1.971511190582153e22,"(phi = (35.0, 164.0), sumE = (1137.0, 2270.0), maxE = (784.0, 2057.0), r = (6.0, 63.0))",0.06624567,33090.0 ± 550.0,"[123.63636363636364, 109.0909090909091, 1979.79797979798, 2934.343434343434, 3217.1717171717173, 3464.6464646464647, 63.63636363636363, 42.42424242424242]"
2.1768681296804962e22,"(phi = (9.0, 164.0), sumE = (863.0, 2884.0), maxE = (31.0, 2158.0), r = (3.0, 87.0))",0.10906519,73600.0 ± 1100.0,"[12.727272727272727, 89.0909090909091, 2015.1515151515152, 2969.6969696969695, 2545.4545454545455, 3429.2929292929293, 70.70707070707071, 33.333333333333336]"
2.295769612845306e22,"(phi = (15.0, 177.0), sumE = (961.0, 2687.0), maxE = (622.0, 2834.0), r = (1.0, 99.0))",0.1053788,61740.0 ± 1000.0,"[110.9090909090909, 56.36363636363637, 106.06060606060606, 1060.6060606060605, 2792.929292929293, 1237.3737373737374, 28.282828282828284, 16.161616161616163]"
2.0819477145284986e22,"(phi = (45.0, 169.0), sumE = (846.0, 2366.0), maxE = (30.0, 2253.0), r = (0.0, 72.0))",0.10075138,68600.0 ± 1100.0,"[138.1818181818182, 110.9090909090909, 1484.8484848484848, 2085.8585858585857, 3252.5252525252527, 2828.282828282828, 69.6969696969697, 65.65656565656566]"
2.1861798509830163e22,"(phi = (18.0, 179.0), sumE = (1279.0, 2908.0), maxE = (314.0, 2481.0), r = (6.0, 56.0))",0.0749692,34460.0 ± 570.0,"[140.0, 149.0909090909091, 3464.6464646464647, 212.12121212121212, 707.070707070707, 1308.080808080808, 53.535353535353536, 98.98989898989899]"
2.2770908257708174e22,"(phi = (9.0, 177.0), sumE = (907.0, 3489.0), maxE = (314.0, 2879.0), r = (0.0, 72.0))",0.11466067,74300.0 ± 1200.0,"[121.81818181818181, 98.18181818181819, 2404.040404040404, 318.1818181818182, 1661.6161616161617, 671.7171717171717, 71.71717171717172, 9.090909090909092]"
2.2877210082680433e22,"(phi = (12.0, 170.0), sumE = (1123.0, 3498.0), maxE = (549.0, 3467.0), r = (0.0, 79.0))",0.09601315,51620.0 ± 840.0,"[70.9090909090909, 160.0, 1272.7272727272727, 1095.959595959596, 1555.5555555555557, 1308.080808080808, 57.57575757575758, 76.76767676767676]"
2.0500442712017497e22,"(phi = (18.0, 180.0), sumE = (190.0, 2883.0), maxE = (205.0, 3407.0), r = (1.0, 43.0))",0.12313189,105700.0 ± 1500.0,"[172.72727272727272, 20.0, 388.8888888888889, 1909.090909090909, 459.5959595959596, 3429.2929292929293, 55.55555555555556, 37.37373737373738]"
2.098264131323396e22,"(phi = (1.0, 154.0), sumE = (562.0, 2787.0), maxE = (641.0, 2208.0), r = (3.0, 52.0))",0.09291252,57460.0 ± 900.0,"[41.81818181818182, 123.63636363636364, 601.010101010101, 3358.5858585858587, 3252.5252525252527, 353.5353535353535, 69.6969696969697, 59.5959595959596]"
2.19332274062363e22,"(phi = (0.0, 174.0), sumE = (1190.0, 2856.0), maxE = (553.0, 3005.0), r = (6.0, 97.0))",0.08307117,42040.0 ± 690.0,"[27.272727272727273, 20.0, 636.3636363636364, 1449.4949494949494, 2545.4545454545455, 3075.757575757576, 3.0303030303030303, 43.43434343434343]"
1.9195673669424363e22,"(phi = (22.0, 162.0), sumE = (1365.0, 2485.0), maxE = (663.0, 2461.0), r = (10.0, 59.0))",0.05297401,22320.0 ± 370.0,"[52.72727272727273, 41.81818181818182, 2757.5757575757575, 1414.141414141414, 1095.959595959596, 3464.6464646464647, 47.474747474747474, 65.65656565656566]"
2.127438216609509e22,"(phi = (13.0, 178.0), sumE = (1695.0, 3091.0), maxE = (102.0, 2804.0), r = (0.0, 54.0))",0.03989182,10300.0 ± 180.0,"[96.36363636363636, 145.45454545454547, 1414.141414141414, 1131.3131313131314, 1095.959595959596, 3464.6464646464647, 31.31313131313131, 50.505050505050505]"
