thalf,roi,eff,b,x0
2.4902645511856233e23,"(phi = (23.0, 164.0), sumE = (52.0, 3167.0), maxE = (1779.0, 3484.0), r = (8.0, 25.0))",0.06663006,170.1 ± 3.0,"[41.81818181818182, 120.0, 3181.818181818182, 1131.3131313131314, 459.5959595959596, 1449.4949494949494, 58.58585858585859, 10.1010101010101]"
1.4812392262497345e24,"(phi = (7.0, 136.0), sumE = (2751.0, 3001.0), maxE = (1197.0, 3464.0), r = (15.0, 80.0))",0.0425309,0.1267 ± 0.0012,"[16.363636363636363, 78.18181818181819, 601.010101010101, 2156.5656565656564, 2545.4545454545455, 2828.282828282828, 89.8989898989899, 63.63636363636363]"
2.898544640487527e24,"(phi = (20.0, 167.0), sumE = (2702.0, 3143.0), maxE = (1549.0, 2330.0), r = (3.0, 53.0))",0.09687702,0.6363 ± 0.0098,"[165.45454545454547, 63.63636363636363, 176.76767676767676, 424.24242424242425, 1520.20202020202, 3393.939393939394, 82.82828282828282, 56.56565656565657]"
1.3930556879038614e24,"(phi = (27.0, 137.0), sumE = (2657.0, 3181.0), maxE = (1291.0, 3421.0), r = (20.0, 75.0))",0.04377198,0.4163 ± 0.006,"[38.18181818181818, 87.27272727272727, 3323.2323232323233, 1661.6161616161617, 2686.868686868687, 1803.030303030303, 34.343434343434346, 84.84848484848484]"
1.1152012178205997e23,"(phi = (28.0, 173.0), sumE = (13.0, 3172.0), maxE = (1154.0, 3058.0), r = (4.0, 92.0))",0.22028148,11430.0 ± 190.0,"[123.63636363636364, 132.72727272727272, 2863.6363636363635, 1555.5555555555557, 3040.40404040404, 2156.5656565656564, 36.36363636363637, 12.121212121212121]"
6.096100033794191e23,"(phi = (46.0, 126.0), sumE = (2753.0, 3162.0), maxE = (354.0, 2601.0), r = (23.0, 95.0))",0.01695503,0.03908 ± 0.00035,"[50.90909090909091, 103.63636363636364, 1696.969696969697, 2686.868686868687, 601.010101010101, 2757.5757575757575, 78.78787878787878, 74.74747474747475]"
1.569091093576309e24,"(phi = (104.0, 153.0), sumE = (2648.0, 3151.0), maxE = (1646.0, 3414.0), r = (6.0, 97.0))",0.05026668,0.4947 ± 0.0083,"[14.545454545454545, 85.45454545454545, 1909.090909090909, 1272.7272727272727, 1449.4949494949494, 565.6565656565657, 74.74747474747475, 75.75757575757575]"
4.554354371970963e23,"(phi = (112.0, 178.0), sumE = (2465.0, 3274.0), maxE = (520.0, 2435.0), r = (22.0, 68.0))",0.02846191,6.08 ± 0.11,"[112.72727272727273, 138.1818181818182, 141.41414141414143, 1308.080808080808, 2368.686868686869, 1979.79797979798, 84.84848484848484, 18.181818181818183]"
1.1894244941705074e24,"(phi = (52.0, 176.0), sumE = (2873.0, 3392.0), maxE = (1330.0, 2489.0), r = (2.0, 86.0))",0.03308136,0.03521 ± 0.00018,"[103.63636363636364, 87.27272727272727, 1202.020202020202, 530.3030303030303, 1979.79797979798, 3075.757575757576, 96.96969696969697, 25.252525252525253]"
5.692577878884025e23,"(phi = (12.0, 178.0), sumE = (1481.0, 3423.0), maxE = (2135.0, 3432.0), r = (7.0, 83.0))",0.04848289,13.28 ± 0.24,"[0.0, 112.72727272727273, 1873.7373737373737, 919.1919191919192, 1767.6767676767677, 707.070707070707, 48.484848484848484, 89.8989898989899]"
2.6145539231361697e24,"(phi = (28.0, 176.0), sumE = (2592.0, 3476.0), maxE = (31.0, 2804.0), r = (7.0, 55.0))",0.15522672,5.297 ± 0.09,"[121.81818181818181, 120.0, 1484.8484848484848, 1909.090909090909, 2580.808080808081, 2368.686868686869, 26.262626262626263, 49.494949494949495]"
8.331252545286202e23,"(phi = (27.0, 167.0), sumE = (2408.0, 3138.0), maxE = (163.0, 3151.0), r = (14.0, 84.0))",0.11955545,44.41 ± 0.79,"[127.27272727272727, 92.72727272727273, 3005.050505050505, 3323.2323232323233, 35.35353535353536, 2898.989898989899, 59.5959595959596, 9.090909090909092]"
4.747362194203024e23,"(phi = (1.0, 168.0), sumE = (1549.0, 2980.0), maxE = (2035.0, 2982.0), r = (6.0, 83.0))",0.06274884,36.94 ± 0.66,"[54.54545454545455, 41.81818181818182, 3500.0, 1520.20202020202, 2757.5757575757575, 848.4848484848485, 29.292929292929294, 60.60606060606061]"
9.31422444624147e23,"(phi = (53.0, 103.0), sumE = (2533.0, 2953.0), maxE = (1305.0, 3374.0), r = (8.0, 94.0))",0.04845792,3.5 ± 0.061,"[163.63636363636363, 89.0909090909091, 1202.020202020202, 2722.222222222222, 318.1818181818182, 3429.2929292929293, 5.05050505050505, 49.494949494949495]"
1.6015962627473356e24,"(phi = (112.0, 156.0), sumE = (2706.0, 3405.0), maxE = (1317.0, 2194.0), r = (1.0, 96.0))",0.04828582,0.2782 ± 0.0043,"[96.36363636363636, 45.45454545454545, 2439.3939393939395, 141.41414141414143, 0.0, 1767.6767676767677, 98.98989898989899, 58.58585858585859]"
3.611242753788329e23,"(phi = (104.0, 147.0), sumE = (2055.0, 3045.0), maxE = (2117.0, 3372.0), r = (1.0, 47.0))",0.02196537,5.65 ± 0.1,"[78.18181818181819, 90.9090909090909, 2368.686868686869, 1484.8484848484848, 1272.7272727272727, 1060.6060606060605, 66.66666666666667, 25.252525252525253]"
5.997913572068711e23,"(phi = (58.0, 109.0), sumE = (2469.0, 3401.0), maxE = (1476.0, 2924.0), r = (13.0, 37.0))",0.03374697,4.478 ± 0.079,"[67.27272727272727, 90.9090909090909, 1025.2525252525252, 176.76767676767676, 2297.979797979798, 989.89898989899, 10.1010101010101, 39.39393939393939]"
3.734960125316046e24,"(phi = (20.0, 158.0), sumE = (2704.0, 3377.0), maxE = (49.0, 3373.0), r = (0.0, 64.0))",0.13262164,0.854 ± 0.012,"[90.9090909090909, 89.0909090909091, 707.070707070707, 671.7171717171717, 1520.20202020202, 530.3030303030303, 70.70707070707071, 23.232323232323232]"
2.1230211131693484e24,"(phi = (85.0, 171.0), sumE = (2638.0, 2945.0), maxE = (1680.0, 2937.0), r = (1.0, 83.0))",0.0787069,1.026 ± 0.018,"[125.45454545454545, 61.81818181818182, 2757.5757575757575, 1449.4949494949494, 1484.8484848484848, 1095.959595959596, 94.94949494949495, 69.6969696969697]"
9.6574576431185e23,"(phi = (132.0, 158.0), sumE = (2585.0, 3417.0), maxE = (545.0, 2819.0), r = (6.0, 79.0))",0.04070999,1.705 ± 0.03,"[3.6363636363636362, 63.63636363636363, 1873.7373737373737, 1590.909090909091, 1909.090909090909, 1343.4343434343434, 98.98989898989899, 67.67676767676768]"
5.57420989287516e23,"(phi = (81.0, 123.0), sumE = (2494.0, 3175.0), maxE = (1249.0, 2494.0), r = (18.0, 94.0))",0.02856151,3.33 ± 0.059,"[109.0909090909091, 123.63636363636364, 1202.020202020202, 565.6565656565657, 1131.3131313131314, 3217.1717171717173, 61.61616161616162, 33.333333333333336]"
1.4214962319073996e24,"(phi = (89.0, 157.0), sumE = (2638.0, 2995.0), maxE = (499.0, 3096.0), r = (16.0, 79.0))",0.04885915,0.727 ± 0.012,"[72.72727272727273, 178.1818181818182, 2297.979797979798, 2439.3939393939395, 919.1919191919192, 2545.4545454545455, 57.57575757575758, 97.97979797979798]"
