thalf,roi,eff,b,x0
1.1969023565065104e22 ± 0.0,"(phi = (13.0, 157.0), sumE = (62.0, 2153.0), maxE = (51.0, 3330.0), r = (6.0, 90.0))",0.06901791 ± 0.0,97400.0 ± 1300.0,"[21.818181818181817, 36.36363636363637, 2404.040404040404, 0.0, 2510.10101010101, 2863.6363636363635, 38.38383838383838, 74.74747474747475]"
9.905063035258729e21 ± 0.0,"(phi = (44.0, 175.0), sumE = (62.0, 2984.0), maxE = (156.0, 2643.0), r = (13.0, 94.0))",0.04982003 ± 0.0,74100.0 ± 1000.0,"[76.36363636363636, 30.90909090909091, 2863.6363636363635, 2863.6363636363635, 3040.40404040404, 848.4848484848485, 30.303030303030305, 19.19191919191919]"
1.0555012345459565e22 ± 0.0,"(phi = (29.0, 154.0), sumE = (179.0, 3421.0), maxE = (560.0, 2536.0), r = (5.0, 99.0))",0.04923862 ± 0.0,63770.0 ± 970.0,"[132.72727272727272, 72.72727272727273, 1378.7878787878788, 106.06060606060606, 1696.969696969697, 2156.5656565656564, 49.494949494949495, 12.121212121212121]"
1.1805497080351644e22 ± 0.0,"(phi = (13.0, 161.0), sumE = (620.0, 3302.0), maxE = (93.0, 2864.0), r = (7.0, 50.0))",0.06365247 ± 0.0,85200.0 ± 1200.0,"[116.36363636363636, 1.8181818181818181, 883.8383838383838, 1626.2626262626263, 919.1919191919192, 671.7171717171717, 92.92929292929293, 63.63636363636363]"
1.1618958643781876e22 ± 0.0,"(phi = (41.0, 172.0), sumE = (516.0, 2432.0), maxE = (70.0, 3459.0), r = (2.0, 67.0))",0.06585746 ± 0.0,94100.0 ± 1400.0,"[138.1818181818182, 76.36363636363636, 1343.4343434343434, 1661.6161616161617, 1767.6767676767677, 3075.757575757576, 97.97979797979798, 61.61616161616162]"
1.1698944066649617e22 ± 0.0,"(phi = (11.0, 175.0), sumE = (230.0, 3148.0), maxE = (76.0, 3207.0), r = (10.0, 92.0))",0.06689667 ± 0.0,95800.0 ± 1300.0,"[72.72727272727273, 34.54545454545455, 2580.808080808081, 989.89898989899, 2085.8585858585857, 2015.1515151515152, 87.87878787878788, 82.82828282828282]"
1.1073255984493083e22 ± 0.0,"(phi = (19.0, 130.0), sumE = (186.0, 3467.0), maxE = (61.0, 2107.0), r = (2.0, 61.0))",0.05647819 ± 0.0,76200.0 ± 1000.0,"[165.45454545454547, 34.54545454545455, 70.70707070707071, 2333.3333333333335, 3040.40404040404, 2015.1515151515152, 18.181818181818183, 79.79797979797979]"
1.2568315856960568e22 ± 0.0,"(phi = (1.0, 162.0), sumE = (283.0, 2543.0), maxE = (20.0, 2497.0), r = (3.0, 97.0))",0.07603314 ± 0.0,107200.0 ± 1500.0,"[138.1818181818182, 72.72727272727273, 2969.6969696969695, 3252.5252525252527, 2898.989898989899, 3217.1717171717173, 50.505050505050505, 35.35353535353536]"
1.1005418383869504e22 ± 0.0,"(phi = (14.0, 150.0), sumE = (315.0, 1953.0), maxE = (283.0, 2964.0), r = (9.0, 61.0))",0.05722122 ± 0.0,79200.0 ± 1100.0,"[67.27272727272727, 165.45454545454547, 1909.090909090909, 2545.4545454545455, 176.76767676767676, 1696.969696969697, 28.282828282828284, 18.181818181818183]"
1.1748284304312815e22 ± 0.0,"(phi = (32.0, 163.0), sumE = (530.0, 2609.0), maxE = (7.0, 1458.0), r = (1.0, 74.0))",0.06612941 ± 0.0,92800.0 ± 1300.0,"[118.18181818181819, 110.9090909090909, 3429.2929292929293, 1979.79797979798, 35.35353535353536, 3429.2929292929293, 75.75757575757575, 24.242424242424242]"
1.2000079491526967e22 ± 0.0,"(phi = (14.0, 157.0), sumE = (528.0, 3473.0), maxE = (357.0, 3072.0), r = (5.0, 98.0))",0.06627151 ± 0.0,89400.0 ± 1300.0,"[32.72727272727273, 21.818181818181817, 35.35353535353536, 3181.818181818182, 106.06060606060606, 388.8888888888889, 71.71717171717172, 12.121212121212121]"
1.1421148976466593e22 ± 0.0,"(phi = (6.0, 135.0), sumE = (107.0, 3430.0), maxE = (169.0, 2978.0), r = (3.0, 70.0))",0.06025885 ± 0.0,81600.0 ± 1100.0,"[56.36363636363637, 72.72727272727273, 1979.79797979798, 3358.5858585858587, 1131.3131313131314, 3217.1717171717173, 7.070707070707071, 95.95959595959596]"
1.2135790640435137e22 ± 0.0,"(phi = (1.0, 175.0), sumE = (712.0, 2483.0), maxE = (62.0, 3231.0), r = (5.0, 68.0))",0.06649625 ± 0.0,88000.0 ± 1300.0,"[118.18181818181819, 138.1818181818182, 2227.2727272727275, 3500.0, 1909.090909090909, 1131.3131313131314, 80.8080808080808, 30.303030303030305]"
1.16261137356161e22 ± 0.0,"(phi = (13.0, 161.0), sumE = (302.0, 3363.0), maxE = (421.0, 1998.0), r = (7.0, 91.0))",0.06199861 ± 0.0,83300.0 ± 1200.0,"[118.18181818181819, 143.63636363636363, 742.4242424242424, 2191.919191919192, 3323.2323232323233, 2439.3939393939395, 51.515151515151516, 64.64646464646465]"
1.0747657867502803e22 ± 0.0,"(phi = (16.0, 178.0), sumE = (292.0, 2716.0), maxE = (176.0, 2412.0), r = (14.0, 77.0))",0.05668046 ± 0.0,81500.0 ± 1100.0,"[32.72727272727273, 136.36363636363637, 3464.6464646464647, 636.3636363636364, 1095.959595959596, 2757.5757575757575, 27.272727272727273, 13.131313131313131]"
1.1779099655040397e22 ± 0.0,"(phi = (20.0, 156.0), sumE = (593.0, 2205.0), maxE = (44.0, 3397.0), r = (5.0, 49.0))",0.06364079 ± 0.0,85500.0 ± 1200.0,"[170.9090909090909, 83.63636363636364, 1838.3838383838383, 141.41414141414143, 2368.686868686869, 1767.6767676767677, 21.21212121212121, 86.86868686868686]"
1.2762137102626463e22 ± 0.0,"(phi = (6.0, 180.0), sumE = (256.0, 3098.0), maxE = (124.0, 1584.0), r = (2.0, 97.0))",0.07956895 ± 0.0,113900.0 ± 1600.0,"[174.54545454545453, 127.27272727272727, 3429.2929292929293, 3111.1111111111113, 601.010101010101, 989.89898989899, 38.38383838383838, 54.54545454545455]"
1.2059405719993376e22 ± 0.0,"(phi = (7.0, 175.0), sumE = (272.0, 3292.0), maxE = (234.0, 2117.0), r = (6.0, 44.0))",0.07001927 ± 0.0,98800.0 ± 1400.0,"[20.0, 109.0909090909091, 3429.2929292929293, 3323.2323232323233, 2015.1515151515152, 2050.5050505050503, 88.88888888888889, 86.86868686868686]"
1.1440869377617238e22 ± 0.0,"(phi = (13.0, 139.0), sumE = (42.0, 3164.0), maxE = (407.0, 2710.0), r = (1.0, 79.0))",0.05783094 ± 0.0,74900.0 ± 1100.0,"[141.8181818181818, 101.81818181818181, 1449.4949494949494, 1520.20202020202, 3181.818181818182, 2085.8585858585857, 83.83838383838383, 50.505050505050505]"
1.1693505973473423e22 ± 0.0,"(phi = (5.0, 176.0), sumE = (889.0, 3350.0), maxE = (298.0, 1912.0), r = (0.0, 57.0))",0.05952811 ± 0.0,75900.0 ± 1200.0,"[158.1818181818182, 16.363636363636363, 2722.222222222222, 1696.969696969697, 35.35353535353536, 3217.1717171717173, 27.272727272727273, 16.161616161616163]"
1.2466416017491536e22 ± 0.0,"(phi = (24.0, 169.0), sumE = (33.0, 3484.0), maxE = (227.0, 2860.0), r = (3.0, 61.0))",0.07540534 ± 0.0,107200.0 ± 1500.0,"[80.0, 36.36363636363637, 141.41414141414143, 353.5353535353535, 3323.2323232323233, 2828.282828282828, 93.93939393939394, 16.161616161616163]"
1.1778786681042426e22 ± 0.0,"(phi = (38.0, 170.0), sumE = (552.0, 3126.0), maxE = (75.0, 3382.0), r = (1.0, 92.0))",0.06679882 ± 0.0,94200.0 ± 1400.0,"[65.45454545454545, 169.0909090909091, 2474.747474747475, 141.41414141414143, 3217.1717171717173, 3287.878787878788, 11.11111111111111, 47.474747474747474]"
