thalf,roi,eff,b,x0
1.25517222999128e22 ± 0.0,"(phi = (8.0, 175.0), sumE = (418.0, 3151.0), maxE = (380.0, 3476.0), r = (3.0, 61.0))",0.07361716 ± 0.0,100800.0 ± 1500.0,"[61.81818181818182, 130.9090909090909, 1909.090909090909, 2651.5151515151515, 2368.686868686869, 3429.2929292929293, 12.121212121212121, 82.82828282828282]"
1.1520438450263064e22 ± 0.0,"(phi = (5.0, 170.0), sumE = (574.0, 3452.0), maxE = (133.0, 3115.0), r = (10.0, 54.0))",0.06178934 ± 0.0,84300.0 ± 1200.0,"[105.45454545454545, 18.181818181818183, 1166.6666666666667, 3287.878787878788, 3287.878787878788, 2333.3333333333335, 54.54545454545455, 2.0202020202020203]"
1.2452414614489059e22 ± 0.0,"(phi = (4.0, 175.0), sumE = (94.0, 3095.0), maxE = (25.0, 3300.0), r = (6.0, 85.0))",0.07551232 ± 0.0,107800.0 ± 1500.0,"[90.9090909090909, 112.72727272727273, 1838.3838383838383, 601.010101010101, 1166.6666666666667, 565.6565656565657, 49.494949494949495, 28.282828282828284]"
1.2575385574853262e22 ± 0.0,"(phi = (10.0, 175.0), sumE = (112.0, 2892.0), maxE = (391.0, 3483.0), r = (2.0, 87.0))",0.07371561 ± 0.0,100700.0 ± 1500.0,"[25.454545454545453, 50.90909090909091, 3005.050505050505, 3075.757575757576, 3429.2929292929293, 388.8888888888889, 87.87878787878788, 90.9090909090909]"
1.2072378586015851e22 ± 0.0,"(phi = (8.0, 179.0), sumE = (802.0, 2166.0), maxE = (277.0, 3292.0), r = (0.0, 97.0))",0.06468903 ± 0.0,84100.0 ± 1300.0,"[123.63636363636364, 10.909090909090908, 2085.8585858585857, 3393.939393939394, 3146.4646464646466, 2616.161616161616, 80.8080808080808, 59.5959595959596]"
1.218282441572729e22 ± 0.0,"(phi = (3.0, 167.0), sumE = (324.0, 3314.0), maxE = (25.0, 3402.0), r = (7.0, 97.0))",0.07171997 ± 0.0,101600.0 ± 1400.0,"[18.181818181818183, 120.0, 282.82828282828285, 3429.2929292929293, 2580.808080808081, 2297.979797979798, 58.58585858585859, 65.65656565656566]"
1.1988637610715807e22 ± 0.0,"(phi = (2.0, 173.0), sumE = (664.0, 1798.0), maxE = (7.0, 3358.0), r = (0.0, 95.0))",0.06646629 ± 0.0,90100.0 ± 1300.0,"[45.45454545454545, 92.72727272727273, 954.5454545454545, 2439.3939393939395, 3146.4646464646466, 2050.5050505050503, 70.70707070707071, 90.9090909090909]"
1.2811741981034265e22 ± 0.0,"(phi = (6.0, 170.0), sumE = (65.0, 3490.0), maxE = (6.0, 2223.0), r = (2.0, 91.0))",0.07961826 ± 0.0,113200.0 ± 1600.0,"[70.9090909090909, 118.18181818181819, 1166.6666666666667, 1873.7373737373737, 1909.090909090909, 3429.2929292929293, 63.63636363636363, 98.98989898989899]"
1.0860733227379051e22 ± 0.0,"(phi = (37.0, 147.0), sumE = (685.0, 2958.0), maxE = (4.0, 2763.0), r = (0.0, 67.0))",0.05348712 ± 0.0,71100.0 ± 1100.0,"[89.0909090909091, 138.1818181818182, 1944.4444444444443, 2121.212121212121, 1803.030303030303, 1838.3838383838383, 88.88888888888889, 45.45454545454545]"
1.2322384016489524e22 ± 0.0,"(phi = (6.0, 180.0), sumE = (648.0, 2313.0), maxE = (89.0, 1514.0), r = (3.0, 91.0))",0.07008943 ± 0.0,94800.0 ± 1400.0,"[114.54545454545455, 5.454545454545454, 1732.3232323232323, 106.06060606060606, 2510.10101010101, 1661.6161616161617, 75.75757575757575, 66.66666666666667]"
