thalf,roi,eff,b,x0
1.9605894109941195e22,"(phi = (41.0, 171.0), sumE = (737.0, 3468.0), maxE = (499.0, 2238.0), r = (8.0, 57.0))",0.0926886,65500.0 ± 1000.0,"[27.272727272727273, 158.1818181818182, 3393.939393939394, 742.4242424242424, 3323.2323232323233, 707.070707070707, 57.57575757575758, 29.292929292929294]"
2.121585952165926e22,"(phi = (44.0, 176.0), sumE = (1250.0, 2954.0), maxE = (84.0, 2375.0), r = (5.0, 89.0))",0.0721971,33940.0 ± 560.0,"[72.72727272727273, 116.36363636363636, 3005.050505050505, 1555.5555555555557, 3181.818181818182, 176.76767676767676, 78.78787878787878, 71.71717171717172]"
2.1550593083015338e22,"(phi = (9.0, 172.0), sumE = (943.0, 2823.0), maxE = (385.0, 2053.0), r = (4.0, 43.0))",0.10000127,63100.0 ± 1000.0,"[130.9090909090909, 170.9090909090909, 1520.20202020202, 2934.343434343434, 2828.282828282828, 707.070707070707, 89.8989898989899, 51.515151515151516]"
2.2828938820673463e22,"(phi = (7.0, 178.0), sumE = (1146.0, 3427.0), maxE = (405.0, 2754.0), r = (3.0, 99.0))",0.09362926,49290.0 ± 800.0,"[110.9090909090909, 65.45454545454545, 954.5454545454545, 35.35353535353536, 1414.141414141414, 2404.040404040404, 0.0, 3.0303030303030303]"
2.0750634557998107e22,"(phi = (20.0, 179.0), sumE = (1750.0, 3282.0), maxE = (567.0, 3251.0), r = (0.0, 99.0))",0.03459741,8150.0 ± 140.0,"[45.45454545454545, 112.72727272727273, 1272.7272727272727, 1979.79797979798, 2580.808080808081, 2085.8585858585857, 17.171717171717173, 79.79797979797979]"
2.0130736489477412e22,"(phi = (3.0, 149.0), sumE = (457.0, 2739.0), maxE = (642.0, 2482.0), r = (4.0, 48.0))",0.08545952,52810.0 ± 830.0,"[101.81818181818181, 160.0, 1378.7878787878788, 35.35353535353536, 2474.747474747475, 1590.909090909091, 86.86868686868686, 82.82828282828282]"
1.913924744701214e22,"(phi = (14.0, 154.0), sumE = (1535.0, 2771.0), maxE = (561.0, 3261.0), r = (8.0, 60.0))",0.04140451,13710.0 ± 240.0,"[18.181818181818183, 16.363636363636363, 2863.6363636363635, 1378.7878787878788, 282.82828282828285, 1025.2525252525252, 38.38383838383838, 39.39393939393939]"
2.2029921744859104e22,"(phi = (12.0, 170.0), sumE = (247.0, 3128.0), maxE = (808.0, 3483.0), r = (3.0, 65.0))",0.08282311,41420.0 ± 680.0,"[5.454545454545454, 49.09090909090909, 3358.5858585858587, 777.7777777777778, 3323.2323232323233, 2580.808080808081, 72.72727272727273, 58.58585858585859]"
1.8144019262935086e22,"(phi = (43.0, 139.0), sumE = (1487.0, 3016.0), maxE = (698.0, 3325.0), r = (1.0, 75.0))",0.03931203,13760.0 ± 230.0,"[80.0, 72.72727272727273, 388.8888888888889, 636.3636363636364, 2474.747474747475, 3005.050505050505, 87.87878787878788, 83.83838383838383]"
2.1973675191846503e22,"(phi = (0.0, 178.0), sumE = (622.0, 2773.0), maxE = (480.0, 2048.0), r = (1.0, 88.0))",0.12200098,90300.0 ± 1300.0,"[54.54545454545455, 27.272727272727273, 707.070707070707, 2792.929292929293, 424.24242424242425, 3075.757575757576, 53.535353535353536, 64.64646464646465]"
