thalf,roi,eff,b,x0
5.181032926178149e22,"(phi = (12.0, 160.0), sumE = (1556.0, 3268.0), maxE = (1102.0, 3271.0), r = (3.0, 30.0))",0.08280089,7480.0 ± 130.0,"[34.54545454545455, 170.9090909090909, 2616.161616161616, 70.70707070707071, 3358.5858585858587, 1838.3838383838383, 89.8989898989899, 62.62626262626262]"
4.6699878836026514e22,"(phi = (9.0, 157.0), sumE = (223.0, 2843.0), maxE = (1397.0, 2559.0), r = (11.0, 72.0))",0.04510867,2734.0 ± 47.0,"[156.36363636363637, 83.63636363636364, 1661.6161616161617, 353.5353535353535, 176.76767676767676, 2333.3333333333335, 0.0, 47.474747474747474]"
9.708755606173004e22,"(phi = (15.0, 180.0), sumE = (2411.0, 3036.0), maxE = (951.0, 2495.0), r = (15.0, 69.0))",0.01362176,42.2 ± 0.75,"[78.18181818181819, 172.72727272727272, 3075.757575757576, 3323.2323232323233, 1838.3838383838383, 3287.878787878788, 41.41414141414141, 62.62626262626262]"
6.914028183413832e22,"(phi = (132.0, 175.0), sumE = (2610.0, 3445.0), maxE = (981.0, 3193.0), r = (0.0, 53.0))",0.00298963,1.846 ± 0.032,"[52.72727272727273, 76.36363636363636, 1732.3232323232323, 1414.141414141414, 3040.40404040404, 989.89898989899, 58.58585858585859, 77.77777777777777]"
5.2990770778668876e22,"(phi = (25.0, 148.0), sumE = (871.0, 3367.0), maxE = (1444.0, 2678.0), r = (1.0, 45.0))",0.04744924,2350.0 ± 41.0,"[98.18181818181819, 63.63636363636363, 2757.5757575757575, 2439.3939393939395, 954.5454545454545, 848.4848484848485, 4.040404040404041, 59.5959595959596]"
1.3478599481448104e23,"(phi = (48.0, 166.0), sumE = (2492.0, 3259.0), maxE = (253.0, 3226.0), r = (2.0, 98.0))",0.01492635,24.55 ± 0.44,"[81.81818181818181, 170.9090909090909, 212.12121212121212, 883.8383838383838, 777.7777777777778, 353.5353535353535, 80.8080808080808, 61.61616161616162]"
6.663173248870446e22,"(phi = (50.0, 155.0), sumE = (2508.0, 3020.0), maxE = (406.0, 2406.0), r = (21.0, 81.0))",0.00404732,5.631 ± 0.099,"[138.1818181818182, 129.0909090909091, 1237.3737373737374, 2934.343434343434, 3287.878787878788, 2121.212121212121, 92.92929292929293, 87.87878787878788]"
5.081099622851108e22,"(phi = (20.0, 149.0), sumE = (1871.0, 3105.0), maxE = (1813.0, 2855.0), r = (1.0, 47.0))",0.01538863,220.7 ± 3.9,"[149.0909090909091, 27.272727272727273, 3500.0, 707.070707070707, 2580.808080808081, 2510.10101010101, 95.95959595959596, 92.92929292929293]"
7.663913784472143e22,"(phi = (20.0, 126.0), sumE = (2467.0, 3319.0), maxE = (64.0, 2864.0), r = (15.0, 90.0))",0.00639222,12.59 ± 0.22,"[140.0, 67.27272727272727, 3040.40404040404, 1095.959595959596, 2898.989898989899, 1520.20202020202, 40.4040404040404, 94.94949494949495]"
5.354765373782101e22,"(phi = (24.0, 168.0), sumE = (174.0, 3003.0), maxE = (1917.0, 3194.0), r = (1.0, 92.0))",0.01189187,114.5 ± 2.1,"[80.0, 67.27272727272727, 1237.3737373737374, 3323.2323232323233, 35.35353535353536, 1272.7272727272727, 22.22222222222222, 23.232323232323232]"
