thalf,roi,eff,b,x0
1.158215655534484e22 ± 0.0,"(phi = (35.0, 155.0), sumE = (522.0, 3235.0), maxE = (66.0, 2657.0), r = (0.0, 64.0))",0.06356533 ± 0.0,88300.0 ± 1300.0,"[178.1818181818182, 100.0, 2297.979797979798, 459.5959595959596, 2580.808080808081, 2227.2727272727275, 86.86868686868686, 31.31313131313131]"
1.1454227234965735e22 ± 0.0,"(phi = (4.0, 170.0), sumE = (155.0, 3111.0), maxE = (314.0, 1583.0), r = (10.0, 77.0))",0.06261017 ± 0.0,87600.0 ± 1200.0,"[87.27272727272727, 43.63636363636363, 3393.939393939394, 1803.030303030303, 1732.3232323232323, 1555.5555555555557, 94.94949494949495, 45.45454545454545]"
1.2841368843346776e22 ± 0.0,"(phi = (5.0, 169.0), sumE = (206.0, 2720.0), maxE = (234.0, 2954.0), r = (0.0, 72.0))",0.07923566 ± 0.0,111600.0 ± 1500.0,"[94.54545454545455, 87.27272727272727, 1131.3131313131314, 1449.4949494949494, 70.70707070707071, 1166.6666666666667, 16.161616161616163, 40.4040404040404]"
1.1927025171562571e22 ± 0.0,"(phi = (19.0, 168.0), sumE = (170.0, 2215.0), maxE = (424.0, 3359.0), r = (5.0, 92.0))",0.06591174 ± 0.0,89500.0 ± 1300.0,"[103.63636363636364, 172.72727272727272, 2439.3939393939395, 35.35353535353536, 353.5353535353535, 1166.6666666666667, 6.0606060606060606, 32.323232323232325]"
1.2378395541805807e22 ± 0.0,"(phi = (2.0, 177.0), sumE = (283.0, 3401.0), maxE = (62.0, 1322.0), r = (2.0, 81.0))",0.07556732 ± 0.0,109200.0 ± 1500.0,"[5.454545454545454, 25.454545454545453, 636.3636363636364, 3252.5252525252527, 813.1313131313132, 2262.626262626263, 3.0303030303030303, 22.22222222222222]"
1.0426361773912878e22 ± 0.0,"(phi = (47.0, 165.0), sumE = (418.0, 2100.0), maxE = (91.0, 3446.0), r = (6.0, 45.0))",0.05425483 ± 0.0,79300.0 ± 1100.0,"[172.72727272727272, 96.36363636363636, 3393.939393939394, 3075.757575757576, 3500.0, 3358.5858585858587, 100.0, 86.86868686868686]"
1.1369129848733432e22 ± 0.0,"(phi = (10.0, 168.0), sumE = (475.0, 2457.0), maxE = (504.0, 2737.0), r = (7.0, 74.0))",0.0583589 ± 0.0,77200.0 ± 1100.0,"[145.45454545454547, 27.272727272727273, 2050.5050505050503, 141.41414141414143, 1979.79797979798, 2722.222222222222, 10.1010101010101, 18.181818181818183]"
1.191109648776201e22 ± 0.0,"(phi = (12.0, 150.0), sumE = (23.0, 2436.0), maxE = (149.0, 3023.0), r = (5.0, 67.0))",0.06744708 ± 0.0,94000.0 ± 1300.0,"[107.27272727272727, 25.454545454545453, 1272.7272727272727, 2439.3939393939395, 2050.5050505050503, 2121.212121212121, 66.66666666666667, 0.0]"
1.2332288294042783e22 ± 0.0,"(phi = (25.0, 167.0), sumE = (473.0, 2049.0), maxE = (115.0, 1885.0), r = (0.0, 87.0))",0.07285049 ± 0.0,102300.0 ± 1400.0,"[170.9090909090909, 74.54545454545455, 1626.2626262626263, 2404.040404040404, 1909.090909090909, 3111.1111111111113, 90.9090909090909, 61.61616161616162]"
1.2510730684922864e22 ± 0.0,"(phi = (1.0, 160.0), sumE = (24.0, 3116.0), maxE = (154.0, 3484.0), r = (3.0, 63.0))",0.0752277 ± 0.0,106000.0 ± 1500.0,"[120.0, 1.8181818181818181, 989.89898989899, 2297.979797979798, 1449.4949494949494, 2651.5151515151515, 93.93939393939394, 14.141414141414142]"
