thalf,roi,eff,b,x0
2.0388676527665862e22,"(phi = (52.0, 164.0), sumE = (714.0, 3133.0), maxE = (584.0, 3461.0), r = (1.0, 99.0))",0.09133703,58810.0 ± 920.0,"[98.18181818181819, 170.9090909090909, 2545.4545454545455, 1520.20202020202, 1803.030303030303, 1237.3737373737374, 79.79797979797979, 41.41414141414141]"
2.044498981905142e22,"(phi = (21.0, 157.0), sumE = (1097.0, 3377.0), maxE = (328.0, 2273.0), r = (7.0, 69.0))",0.07924424,44020.0 ± 710.0,"[14.545454545454545, 38.18181818181818, 3500.0, 3464.6464646464647, 565.6565656565657, 2297.979797979798, 92.92929292929293, 16.161616161616163]"
1.9737727985460235e22,"(phi = (0.0, 162.0), sumE = (1489.0, 3490.0), maxE = (15.0, 3062.0), r = (6.0, 39.0))",0.046822,16490.0 ± 280.0,"[130.9090909090909, 109.0909090909091, 2510.10101010101, 2792.929292929293, 530.3030303030303, 1449.4949494949494, 21.21212121212121, 13.131313131313131]"
1.9366398697766688e22,"(phi = (4.0, 151.0), sumE = (756.0, 2921.0), maxE = (494.0, 2928.0), r = (7.0, 50.0))",0.09152691,65450.0 ± 990.0,"[174.54545454545453, 38.18181818181818, 35.35353535353536, 954.5454545454545, 459.5959595959596, 777.7777777777778, 30.303030303030305, 56.56565656565657]"
2.1305861006061086e22,"(phi = (10.0, 166.0), sumE = (1054.0, 2965.0), maxE = (901.0, 2379.0), r = (0.0, 46.0))",0.06803727,29880.0 ± 500.0,"[149.0909090909091, 112.72727272727273, 1732.3232323232323, 35.35353535353536, 813.1313131313132, 1237.3737373737374, 15.151515151515152, 88.88888888888889]"
1.9687781720695247e22,"(phi = (69.0, 173.0), sumE = (1011.0, 2563.0), maxE = (589.0, 2899.0), r = (4.0, 90.0))",0.07514724,42690.0 ± 700.0,"[61.81818181818182, 54.54545454545455, 742.4242424242424, 707.070707070707, 671.7171717171717, 2368.686868686869, 75.75757575757575, 8.080808080808081]"
2.2377502673067106e22,"(phi = (13.0, 168.0), sumE = (1390.0, 2583.0), maxE = (401.0, 2648.0), r = (1.0, 61.0))",0.06881329,27710.0 ± 470.0,"[58.18181818181818, 0.0, 2651.5151515151515, 70.70707070707071, 2510.10101010101, 2757.5757575757575, 15.151515151515152, 8.080808080808081]"
2.261785031159282e22,"(phi = (1.0, 174.0), sumE = (900.0, 2967.0), maxE = (668.0, 2705.0), r = (3.0, 72.0))",0.10085259,58260.0 ± 940.0,"[27.272727272727273, 125.45454545454545, 2792.929292929293, 530.3030303030303, 3181.818181818182, 1803.030303030303, 19.19191919191919, 52.525252525252526]"
2.1960297031317255e22,"(phi = (13.0, 168.0), sumE = (25.0, 2654.0), maxE = (850.0, 3219.0), r = (0.0, 68.0))",0.07804215,37010.0 ± 610.0,"[125.45454545454545, 92.72727272727273, 1626.2626262626263, 2050.5050505050503, 813.1313131313132, 2828.282828282828, 27.272727272727273, 77.77777777777777]"
1.934112259584054e22,"(phi = (35.0, 178.0), sumE = (810.0, 2269.0), maxE = (453.0, 3251.0), r = (2.0, 34.0))",0.08936085,62560.0 ± 970.0,"[9.090909090909092, 163.63636363636363, 2404.040404040404, 636.3636363636364, 2191.919191919192, 2262.626262626263, 12.121212121212121, 49.494949494949495]"
2.1629591111220127e22,"(phi = (37.0, 180.0), sumE = (1219.0, 2491.0), maxE = (757.0, 2268.0), r = (4.0, 57.0))",0.07431054,34590.0 ± 580.0,"[12.727272727272727, 98.18181818181819, 3393.939393939394, 2227.2727272727275, 282.82828282828285, 1095.959595959596, 66.66666666666667, 18.181818181818183]"
1.996370269162706e22,"(phi = (6.0, 156.0), sumE = (145.0, 2596.0), maxE = (272.0, 2557.0), r = (1.0, 99.0))",0.11704683,100700.0 ± 1400.0,"[45.45454545454545, 138.1818181818182, 353.5353535353535, 2686.868686868687, 636.3636363636364, 1732.3232323232323, 3.0303030303030303, 83.83838383838383]"
1.9578124019251292e22,"(phi = (14.0, 167.0), sumE = (614.0, 2870.0), maxE = (619.0, 2108.0), r = (10.0, 70.0))",0.08472377,54880.0 ± 860.0,"[9.090909090909092, 85.45454545454545, 1873.7373737373737, 1520.20202020202, 3111.1111111111113, 3464.6464646464647, 1.0101010101010102, 45.45454545454545]"
1.8020438573920425e22,"(phi = (26.0, 147.0), sumE = (1220.0, 2190.0), maxE = (184.0, 3196.0), r = (7.0, 77.0))",0.05787908,30230.0 ± 490.0,"[0.0, 123.63636363636364, 2898.989898989899, 2757.5757575757575, 3393.939393939394, 1378.7878787878788, 2.0202020202020203, 69.6969696969697]"
1.6519224174146788e22,"(phi = (13.0, 130.0), sumE = (74.0, 2640.0), maxE = (171.0, 1935.0), r = (1.0, 69.0))",0.08483089,77300.0 ± 1000.0,"[3.6363636363636362, 16.363636363636363, 3429.2929292929293, 3111.1111111111113, 2191.919191919192, 247.4747474747475, 8.080808080808081, 2.0202020202020203]"
1.999865316625694e22,"(phi = (38.0, 170.0), sumE = (779.0, 3143.0), maxE = (307.0, 1995.0), r = (7.0, 89.0))",0.09795079,70300.0 ± 1100.0,"[109.0909090909091, 158.1818181818182, 707.070707070707, 3464.6464646464647, 530.3030303030303, 1378.7878787878788, 93.93939393939394, 80.8080808080808]"
