thalf,roi,eff,b,x0
7.892171427676595e22,"(phi = (20.0, 155.0), sumE = (2248.0, 2880.0), maxE = (1428.0, 2855.0), r = (12.0, 79.0))",0.02026779,155.9 ± 2.8,"[5.454545454545454, 58.18181818181818, 2474.747474747475, 2792.929292929293, 2722.222222222222, 106.06060606060606, 6.0606060606060606, 53.535353535353536]"
1.1839374225573477e23,"(phi = (45.0, 177.0), sumE = (2632.0, 3385.0), maxE = (258.0, 2910.0), r = (5.0, 58.0))",0.00564278,2.589 ± 0.043,"[101.81818181818181, 43.63636363636363, 1272.7272727272727, 2686.868686868687, 2722.222222222222, 1025.2525252525252, 61.61616161616162, 43.43434343434343]"
9.20835056791556e22,"(phi = (36.0, 149.0), sumE = (2523.0, 3451.0), maxE = (94.0, 2167.0), r = (8.0, 33.0))",0.00656288,8.52 ± 0.15,"[45.45454545454545, 114.54545454545455, 636.3636363636364, 35.35353535353536, 2651.5151515151515, 3040.40404040404, 94.94949494949495, 83.83838383838383]"
7.2429955165315135e22,"(phi = (54.0, 168.0), sumE = (1915.0, 2958.0), maxE = (1051.0, 2286.0), r = (5.0, 92.0))",0.06961974,2707.0 ± 49.0,"[103.63636363636364, 110.9090909090909, 318.1818181818182, 459.5959595959596, 2686.868686868687, 3323.2323232323233, 14.141414141414142, 53.535353535353536]"
1.2232118643894789e23,"(phi = (36.0, 161.0), sumE = (2365.0, 2912.0), maxE = (1022.0, 3426.0), r = (2.0, 69.0))",0.02706908,113.6 ± 2.0,"[127.27272727272727, 112.72727272727273, 1590.909090909091, 777.7777777777778, 777.7777777777778, 141.41414141414143, 27.272727272727273, 40.4040404040404]"
7.89206776186258e22,"(phi = (45.0, 121.0), sumE = (2392.0, 3439.0), maxE = (1269.0, 2451.0), r = (9.0, 93.0))",0.00986117,32.46 ± 0.58,"[136.36363636363637, 72.72727272727273, 3393.939393939394, 742.4242424242424, 424.24242424242425, 1909.090909090909, 79.79797979797979, 28.282828282828284]"
8.589820165459946e22,"(phi = (16.0, 154.0), sumE = (2298.0, 3132.0), maxE = (574.0, 3436.0), r = (14.0, 96.0))",0.020147,128.4 ± 2.3,"[136.36363636363637, 143.63636363636363, 2686.868686868687, 1767.6767676767677, 3075.757575757576, 1449.4949494949494, 73.73737373737374, 32.323232323232325]"
7.245776541964405e22,"(phi = (18.0, 161.0), sumE = (2185.0, 2936.0), maxE = (1234.0, 3129.0), r = (15.0, 43.0))",0.02444694,276.6 ± 5.0,"[23.636363636363637, 50.90909090909091, 2898.989898989899, 813.1313131313132, 2368.686868686869, 1378.7878787878788, 6.0606060606060606, 12.121212121212121]"
6.694170931486911e22,"(phi = (115.0, 163.0), sumE = (2239.0, 2784.0), maxE = (1342.0, 2490.0), r = (3.0, 55.0))",0.01662391,145.0 ± 2.6,"[3.6363636363636362, 121.81818181818181, 388.8888888888889, 601.010101010101, 2121.212121212121, 883.8383838383838, 13.131313131313131, 5.05050505050505]"
6.423860343558353e22,"(phi = (75.0, 161.0), sumE = (2178.0, 2937.0), maxE = (862.0, 3171.0), r = (15.0, 93.0))",0.02099928,259.0 ± 4.7,"[114.54545454545455, 114.54545454545455, 1944.4444444444443, 2015.1515151515152, 1202.020202020202, 2474.747474747475, 98.98989898989899, 85.85858585858585]"
