thalf,roi,eff,b,x0
1.0931076777442577e22 ± 0.0,"(phi = (8.0, 160.0), sumE = (912.0, 2930.0), maxE = (139.0, 1396.0), r = (0.0, 88.0))",0.05143097 ± 0.0,64900.0 ± 1000.0,"[52.72727272727273, 167.27272727272728, 919.1919191919192, 742.4242424242424, 1626.2626262626263, 3181.818181818182, 57.57575757575758, 25.252525252525253]"
1.1111316112234483e22 ± 0.0,"(phi = (21.0, 158.0), sumE = (629.0, 2296.0), maxE = (548.0, 3106.0), r = (4.0, 60.0))",0.05454976 ± 0.0,70600.0 ± 1100.0,"[49.09090909090909, 170.9090909090909, 2439.3939393939395, 35.35353535353536, 1308.080808080808, 212.12121212121212, 29.292929292929294, 51.515151515151516]"
1.1129607035057686e22 ± 0.0,"(phi = (10.0, 129.0), sumE = (555.0, 3253.0), maxE = (90.0, 1912.0), r = (1.0, 79.0))",0.05411394 ± 0.0,69280.0 ± 960.0,"[149.0909090909091, 112.72727272727273, 636.3636363636364, 883.8383838383838, 1202.020202020202, 3005.050505050505, 51.515151515151516, 74.74747474747475]"
1.0756584848780593e22 ± 0.0,"(phi = (34.0, 166.0), sumE = (590.0, 2781.0), maxE = (190.0, 1888.0), r = (10.0, 59.0))",0.05485048 ± 0.0,76200.0 ± 1100.0,"[150.9090909090909, 92.72727272727273, 1590.909090909091, 2227.2727272727275, 636.3636363636364, 671.7171717171717, 43.43434343434343, 55.55555555555556]"
1.1779186713184765e22 ± 0.0,"(phi = (1.0, 151.0), sumE = (535.0, 2847.0), maxE = (291.0, 3042.0), r = (6.0, 94.0))",0.06354911 ± 0.0,85300.0 ± 1200.0,"[7.2727272727272725, 27.272727272727273, 2439.3939393939395, 2015.1515151515152, 1202.020202020202, 3323.2323232323233, 3.0303030303030303, 31.31313131313131]"
1.1028947915812765e22 ± 0.0,"(phi = (27.0, 173.0), sumE = (44.0, 2060.0), maxE = (230.0, 2908.0), r = (11.0, 87.0))",0.05984698 ± 0.0,86300.0 ± 1200.0,"[152.72727272727272, 125.45454545454545, 1378.7878787878788, 2121.212121212121, 954.5454545454545, 1803.030303030303, 51.515151515151516, 9.090909090909092]"
1.0879452163213363e22 ± 0.0,"(phi = (17.0, 174.0), sumE = (431.0, 1891.0), maxE = (225.0, 2980.0), r = (12.0, 91.0))",0.05753732 ± 0.0,82000.0 ± 1100.0,"[165.45454545454547, 107.27272727272727, 2368.686868686869, 1484.8484848484848, 1343.4343434343434, 2616.161616161616, 8.080808080808081, 94.94949494949495]"
1.1258012359031064e22 ± 0.0,"(phi = (41.0, 163.0), sumE = (54.0, 2586.0), maxE = (380.0, 3352.0), r = (1.0, 49.0))",0.06095621 ± 0.0,85900.0 ± 1200.0,"[60.0, 25.454545454545453, 777.7777777777778, 2898.989898989899, 1166.6666666666667, 1166.6666666666667, 52.525252525252526, 30.303030303030305]"
1.170345786827722e22 ± 0.0,"(phi = (10.0, 178.0), sumE = (260.0, 3013.0), maxE = (333.0, 1618.0), r = (2.0, 37.0))",0.06468208 ± 0.0,89500.0 ± 1300.0,"[43.63636363636363, 149.0909090909091, 2333.3333333333335, 494.949494949495, 1626.2626262626263, 2262.626262626263, 56.56565656565657, 60.60606060606061]"
1.2897297319752897e22 ± 0.0,"(phi = (0.0, 179.0), sumE = (254.0, 3438.0), maxE = (145.0, 3499.0), r = (2.0, 81.0))",0.08087832 ± 0.0,115200.0 ± 1600.0,"[7.2727272727272725, 47.27272727272727, 2121.212121212121, 494.949494949495, 3323.2323232323233, 70.70707070707071, 7.070707070707071, 72.72727272727273]"
1.2264114243538386e22 ± 0.0,"(phi = (7.0, 157.0), sumE = (644.0, 2436.0), maxE = (100.0, 3460.0), r = (1.0, 86.0))",0.06782143 ± 0.0,89600.0 ± 1300.0,"[92.72727272727273, 172.72727272727272, 3358.5858585858587, 2015.1515151515152, 3075.757575757576, 3181.818181818182, 36.36363636363637, 4.040404040404041]"
1.2544431675993286e22 ± 0.0,"(phi = (23.0, 175.0), sumE = (205.0, 3034.0), maxE = (278.0, 2693.0), r = (3.0, 88.0))",0.07581544 ± 0.0,107000.0 ± 1500.0,"[98.18181818181819, 105.45454545454545, 919.1919191919192, 848.4848484848485, 1661.6161616161617, 2757.5757575757575, 22.22222222222222, 62.62626262626262]"
1.2057842731099999e22 ± 0.0,"(phi = (5.0, 161.0), sumE = (334.0, 2772.0), maxE = (393.0, 2578.0), r = (5.0, 89.0))",0.06701195 ± 0.0,90500.0 ± 1300.0,"[70.9090909090909, 90.9090909090909, 1767.6767676767677, 2439.3939393939395, 954.5454545454545, 247.4747474747475, 62.62626262626262, 26.262626262626263]"
1.2684059333419682e22 ± 0.0,"(phi = (24.0, 179.0), sumE = (137.0, 2542.0), maxE = (174.0, 3315.0), r = (1.0, 67.0))",0.07875616 ± 0.0,113000.0 ± 1600.0,"[105.45454545454545, 107.27272727272727, 2792.929292929293, 2722.222222222222, 3252.5252525252527, 1838.3838383838383, 90.9090909090909, 49.494949494949495]"
1.2410811233154219e22 ± 0.0,"(phi = (29.0, 178.0), sumE = (400.0, 2606.0), maxE = (259.0, 2794.0), r = (2.0, 93.0))",0.07482727 ± 0.0,106500.0 ± 1500.0,"[161.8181818181818, 180.0, 2191.919191919192, 353.5353535353535, 1378.7878787878788, 212.12121212121212, 92.92929292929293, 2.0202020202020203]"
1.2298713348058145e22 ± 0.0,"(phi = (3.0, 179.0), sumE = (74.0, 1943.0), maxE = (280.0, 2543.0), r = (5.0, 90.0))",0.07296334 ± 0.0,103100.0 ± 1400.0,"[109.0909090909091, 163.63636363636363, 2191.919191919192, 2015.1515151515152, 3217.1717171717173, 3252.5252525252527, 3.0303030303030303, 71.71717171717172]"
1.2709467218409301e22 ± 0.0,"(phi = (7.0, 179.0), sumE = (14.0, 2552.0), maxE = (309.0, 1810.0), r = (3.0, 72.0))",0.0769043 ± 0.0,107300.0 ± 1500.0,"[70.9090909090909, 165.45454545454547, 388.8888888888889, 1803.030303030303, 2722.222222222222, 2085.8585858585857, 7.070707070707071, 97.97979797979798]"
1.1663986539465284e22 ± 0.0,"(phi = (14.0, 171.0), sumE = (159.0, 2316.0), maxE = (411.0, 2537.0), r = (8.0, 62.0))",0.06318088 ± 0.0,86000.0 ± 1200.0,"[180.0, 127.27272727272727, 742.4242424242424, 2439.3939393939395, 35.35353535353536, 2227.2727272727275, 67.67676767676768, 94.94949494949495]"
1.1764419912826674e22 ± 0.0,"(phi = (35.0, 169.0), sumE = (269.0, 2080.0), maxE = (19.0, 3101.0), r = (4.0, 95.0))",0.06885534 ± 0.0,100400.0 ± 1400.0,"[150.9090909090909, 120.0, 3005.050505050505, 2757.5757575757575, 1909.090909090909, 2404.040404040404, 83.83838383838383, 46.464646464646464]"
1.2267877793354098e22 ± 0.0,"(phi = (21.0, 180.0), sumE = (2.0, 3381.0), maxE = (81.0, 1752.0), r = (6.0, 65.0))",0.07385731 ± 0.0,106200.0 ± 1500.0,"[34.54545454545455, 16.363636363636363, 1520.20202020202, 0.0, 2651.5151515151515, 1696.969696969697, 77.77777777777777, 75.75757575757575]"
1.1491626548361798e22 ± 0.0,"(phi = (15.0, 151.0), sumE = (808.0, 3018.0), maxE = (36.0, 2624.0), r = (2.0, 97.0))",0.05668984 ± 0.0,71300.0 ± 1100.0,"[27.272727272727273, 118.18181818181819, 3323.2323232323233, 2333.3333333333335, 2085.8585858585857, 0.0, 88.88888888888889, 30.303030303030305]"
1.2683711821736896e22 ± 0.0,"(phi = (8.0, 167.0), sumE = (131.0, 3385.0), maxE = (181.0, 2377.0), r = (3.0, 68.0))",0.07774632 ± 0.0,110100.0 ± 1500.0,"[74.54545454545455, 63.63636363636363, 0.0, 3217.1717171717173, 1237.3737373737374, 707.070707070707, 21.21212121212121, 34.343434343434346]"
