thalf,roi,eff,b,x0
3.941286166904113e23,"(phi = (12.0, 126.0), sumE = (2221.0, 3182.0), maxE = (969.0, 3342.0), r = (6.0, 91.0))",0.12848325,257.4 ± 4.6,"[167.27272727272728, 61.81818181818182, 1838.3838383838383, 2368.686868686869, 1803.030303030303, 3146.4646464646466, 26.262626262626263, 70.70707070707071]"
5.7361058868790645e23,"(phi = (16.0, 89.0), sumE = (2398.0, 3237.0), maxE = (621.0, 2840.0), r = (1.0, 41.0))",0.0678405,28.51 ± 0.51,"[69.0909090909091, 58.18181818181818, 1555.5555555555557, 883.8383838383838, 530.3030303030303, 459.5959595959596, 49.494949494949495, 31.31313131313131]"
1.0984610487403553e24,"(phi = (65.0, 168.0), sumE = (2427.0, 3473.0), maxE = (672.0, 3008.0), r = (3.0, 81.0))",0.16611926,49.74 ± 0.89,"[160.0, 121.81818181818181, 1979.79797979798, 2085.8585858585857, 777.7777777777778, 1166.6666666666667, 10.1010101010101, 78.78787878787878]"
7.372937020031916e23,"(phi = (47.0, 82.0), sumE = (2592.0, 2911.0), maxE = (1403.0, 2712.0), r = (3.0, 75.0))",0.02905654,1.316 ± 0.022,"[12.727272727272727, 90.9090909090909, 671.7171717171717, 2969.6969696969695, 1555.5555555555557, 106.06060606060606, 77.77777777777777, 16.161616161616163]"
2.5271761954522707e24,"(phi = (46.0, 153.0), sumE = (2623.0, 2977.0), maxE = (357.0, 2368.0), r = (0.0, 94.0))",0.12200767,2.724 ± 0.046,"[145.45454545454547, 89.0909090909091, 3252.5252525252527, 530.3030303030303, 2722.222222222222, 2050.5050505050503, 59.5959595959596, 35.35353535353536]"
8.087686767863567e23,"(phi = (55.0, 98.0), sumE = (2673.0, 3418.0), maxE = (1615.0, 2731.0), r = (9.0, 74.0))",0.02384931,0.2115 ± 0.003,"[27.272727272727273, 103.63636363636364, 2297.979797979798, 1838.3838383838383, 2651.5151515151515, 388.8888888888889, 57.57575757575758, 63.63636363636363]"
1.25117839412808e24,"(phi = (15.0, 126.0), sumE = (2617.0, 3411.0), maxE = (887.0, 3122.0), r = (19.0, 76.0))",0.04574553,0.972 ± 0.015,"[136.36363636363637, 140.0, 3075.757575757576, 1166.6666666666667, 494.949494949495, 2757.5757575757575, 19.19191919191919, 4.040404040404041]"
9.100272913525454e23,"(phi = (36.0, 155.0), sumE = (2589.0, 2779.0), maxE = (71.0, 2477.0), r = (12.0, 56.0))",0.0474227,3.515 ± 0.061,"[140.0, 125.45454545454545, 3111.1111111111113, 2262.626262626263, 2404.040404040404, 601.010101010101, 85.85858585858585, 62.62626262626262]"
4.488345679211157e23,"(phi = (33.0, 141.0), sumE = (2268.0, 3477.0), maxE = (576.0, 2298.0), r = (5.0, 53.0))",0.13296818,210.5 ± 3.8,"[170.9090909090909, 25.454545454545453, 1803.030303030303, 1095.959595959596, 2934.343434343434, 2651.5151515151515, 35.35353535353536, 88.88888888888889]"
7.498901245250995e23,"(phi = (106.0, 164.0), sumE = (2551.0, 3413.0), maxE = (1381.0, 2361.0), r = (14.0, 29.0))",0.03342176,2.047 ± 0.036,"[9.090909090909092, 34.54545454545455, 3429.2929292929293, 1732.3232323232323, 2616.161616161616, 848.4848484848485, 52.525252525252526, 29.292929292929294]"
6.613800551840551e23,"(phi = (11.0, 171.0), sumE = (680.0, 3222.0), maxE = (2260.0, 3006.0), r = (5.0, 73.0))",0.03304459,3.063 ± 0.053,"[109.0909090909091, 50.90909090909091, 1732.3232323232323, 1484.8484848484848, 247.4747474747475, 3500.0, 16.161616161616163, 100.0]"
2.8675861846312294e24,"(phi = (52.0, 174.0), sumE = (2751.0, 3186.0), maxE = (1424.0, 2559.0), r = (7.0, 45.0))",0.08289913,0.1505 ± 0.0014,"[63.63636363636363, 103.63636363636364, 2297.979797979798, 1909.090909090909, 2262.626262626263, 1202.020202020202, 2.0202020202020203, 67.67676767676768]"
1.0061902773922595e24,"(phi = (108.0, 159.0), sumE = (2584.0, 3274.0), maxE = (656.0, 2749.0), r = (16.0, 79.0))",0.0416276,1.586 ± 0.027,"[23.636363636363637, 12.727272727272727, 247.4747474747475, 2616.161616161616, 707.070707070707, 1449.4949494949494, 25.252525252525253, 73.73737373737374]"
7.093487514701565e23,"(phi = (125.0, 179.0), sumE = (2723.0, 3081.0), maxE = (1510.0, 3030.0), r = (15.0, 32.0))",0.01987285,0.05574 ± 0.00071,"[50.90909090909091, 149.0909090909091, 1909.090909090909, 1237.3737373737374, 883.8383838383838, 424.24242424242425, 54.54545454545455, 90.9090909090909]"
7.985389417387699e23,"(phi = (30.0, 154.0), sumE = (2474.0, 3029.0), maxE = (657.0, 3333.0), r = (22.0, 61.0))",0.05896715,9.3 ± 0.16,"[27.272727272727273, 167.27272727272728, 601.010101010101, 1803.030303030303, 671.7171717171717, 1378.7878787878788, 83.83838383838383, 44.44444444444444]"
6.305127502701753e23,"(phi = (39.0, 88.0), sumE = (2760.0, 3291.0), maxE = (1274.0, 2733.0), r = (12.0, 87.0))",0.01766421,0.06187 ± 0.00053,"[100.0, 85.45454545454545, 2404.040404040404, 742.4242424242424, 2262.626262626263, 919.1919191919192, 79.79797979797979, 70.70707070707071]"
