thalf,roi,eff,b,x0
1.268585202378675e22 ± 0.0,"(phi = (20.0, 172.0), sumE = (286.0, 3497.0), maxE = (248.0, 2314.0), r = (2.0, 95.0))",0.07765412 ± 0.0,109800.0 ± 1500.0,"[3.6363636363636362, 70.9090909090909, 3358.5858585858587, 565.6565656565657, 1060.6060606060605, 141.41414141414143, 1.0101010101010102, 87.87878787878788]"
1.2105089458765996e22 ± 0.0,"(phi = (18.0, 176.0), sumE = (131.0, 2507.0), maxE = (179.0, 3477.0), r = (4.0, 42.0))",0.07107474 ± 0.0,101000.0 ± 1400.0,"[163.63636363636363, 58.18181818181818, 388.8888888888889, 2969.6969696969695, 353.5353535353535, 353.5353535353535, 52.525252525252526, 94.94949494949495]"
1.2207753497679036e22 ± 0.0,"(phi = (5.0, 162.0), sumE = (648.0, 2964.0), maxE = (80.0, 2466.0), r = (4.0, 57.0))",0.06761243 ± 0.0,89900.0 ± 1300.0,"[141.8181818181818, 125.45454545454545, 282.82828282828285, 424.24242424242425, 1732.3232323232323, 3217.1717171717173, 45.45454545454545, 0.0]"
1.26930423114005e22 ± 0.0,"(phi = (22.0, 174.0), sumE = (464.0, 2814.0), maxE = (71.0, 2099.0), r = (0.0, 56.0))",0.07705226 ± 0.0,108000.0 ± 1500.0,"[3.6363636363636362, 38.18181818181818, 2792.929292929293, 1626.2626262626263, 2156.5656565656564, 1873.7373737373737, 67.67676767676768, 66.66666666666667]"
1.1492789075552896e22 ± 0.0,"(phi = (4.0, 175.0), sumE = (125.0, 3379.0), maxE = (218.0, 2428.0), r = (11.0, 87.0))",0.0641657 ± 0.0,91300.0 ± 1300.0,"[149.0909090909091, 65.45454545454545, 424.24242424242425, 919.1919191919192, 1661.6161616161617, 1449.4949494949494, 27.272727272727273, 61.61616161616162]"
1.228875491950859e22 ± 0.0,"(phi = (21.0, 164.0), sumE = (30.0, 2472.0), maxE = (237.0, 1553.0), r = (3.0, 73.0))",0.07303918 ± 0.0,103500.0 ± 1400.0,"[132.72727272727272, 90.9090909090909, 1838.3838383838383, 2085.8585858585857, 388.8888888888889, 601.010101010101, 2.0202020202020203, 89.8989898989899]"
1.0323682758420697e22 ± 0.0,"(phi = (60.0, 171.0), sumE = (569.0, 3073.0), maxE = (129.0, 3208.0), r = (1.0, 69.0))",0.05335034 ± 0.0,78300.0 ± 1200.0,"[130.9090909090909, 116.36363636363636, 2934.343434343434, 1520.20202020202, 247.4747474747475, 3111.1111111111113, 66.66666666666667, 80.8080808080808]"
1.2331456289602252e22 ± 0.0,"(phi = (14.0, 157.0), sumE = (512.0, 3189.0), maxE = (325.0, 3129.0), r = (2.0, 52.0))",0.07036578 ± 0.0,95400.0 ± 1400.0,"[81.81818181818181, 78.18181818181819, 636.3636363636364, 707.070707070707, 1414.141414141414, 2262.626262626263, 88.88888888888889, 65.65656565656566]"
1.1581762519660178e22 ± 0.0,"(phi = (4.0, 143.0), sumE = (352.0, 2191.0), maxE = (57.0, 2123.0), r = (5.0, 90.0))",0.06265825 ± 0.0,85800.0 ± 1200.0,"[65.45454545454545, 172.72727272727272, 1202.020202020202, 813.1313131313132, 1555.5555555555557, 989.89898989899, 27.272727272727273, 76.76767676767676]"
1.2771894436372171e22 ± 0.0,"(phi = (12.0, 168.0), sumE = (441.0, 3441.0), maxE = (75.0, 2060.0), r = (1.0, 66.0))",0.0776108 ± 0.0,108200.0 ± 1500.0,"[16.363636363636363, 92.72727272727273, 1449.4949494949494, 1025.2525252525252, 2085.8585858585857, 2085.8585858585857, 69.6969696969697, 89.8989898989899]"
1.1567035223598015e22 ± 0.0,"(phi = (7.0, 172.0), sumE = (583.0, 3460.0), maxE = (576.0, 3415.0), r = (0.0, 90.0))",0.05898295 ± 0.0,76200.0 ± 1200.0,"[152.72727272727272, 145.45454545454547, 2580.808080808081, 671.7171717171717, 601.010101010101, 2863.6363636363635, 8.080808080808081, 67.67676767676768]"
1.258036875958904e22 ± 0.0,"(phi = (16.0, 171.0), sumE = (628.0, 2953.0), maxE = (36.0, 2237.0), r = (0.0, 67.0))",0.07285476 ± 0.0,98300.0 ± 1400.0,"[172.72727272727272, 74.54545454545455, 707.070707070707, 318.1818181818182, 1414.141414141414, 3040.40404040404, 67.67676767676768, 98.98989898989899]"
1.2209658267048838e22 ± 0.0,"(phi = (31.0, 174.0), sumE = (56.0, 2231.0), maxE = (201.0, 3189.0), r = (3.0, 60.0))",0.07349284 ± 0.0,106200.0 ± 1500.0,"[27.272727272727273, 12.727272727272727, 919.1919191919192, 530.3030303030303, 3146.4646464646466, 954.5454545454545, 10.1010101010101, 5.05050505050505]"
1.2514694934081663e22 ± 0.0,"(phi = (4.0, 163.0), sumE = (249.0, 3154.0), maxE = (330.0, 1792.0), r = (2.0, 85.0))",0.07354421 ± 0.0,101200.0 ± 1400.0,"[20.0, 152.72727272727272, 2191.919191919192, 1590.909090909091, 1626.2626262626263, 2439.3939393939395, 11.11111111111111, 53.535353535353536]"
1.1931530709465e22 ± 0.0,"(phi = (31.0, 159.0), sumE = (533.0, 3065.0), maxE = (50.0, 3454.0), r = (1.0, 75.0))",0.06720657 ± 0.0,93000.0 ± 1300.0,"[160.0, 154.54545454545453, 1979.79797979798, 3217.1717171717173, 1095.959595959596, 919.1919191919192, 31.31313131313131, 6.0606060606060606]"
