t,nu0bb,nu0bb_RH_eta,nu0bb_RH_lambda,nu0bb_M1,nu0bb_M2
0.0,0.0,0.0,0.0,0.0,0.0
0.050505050505050504,1.0357837481109472e23,9.401671295780854e22,5.1772716932847265e22,1.0122706545129627e22,3.4326366649566537e21
0.10101010101010101,2.0490461255202324e23,1.8597421573942948e23,1.0241147691056422e23,1.746839777450108e22,4.85448132628085e21
0.15151515151515152,3.040875534158527e23,2.769567563916328e23,1.525133489589059e23,2.3588801791827437e22,5.94550110762871e21
0.20202020202020202,3.998551628200661e23,3.653775017734524e23,2.0120450266578626e23,2.8858502621825493e22,6.865273329913307e21
0.25252525252525254,4.9476421751734103e23,4.535598200188577e23,2.4976436034822234e23,3.389222838539706e22,7.67560892490125e21
0.30303030303030304,5.8783367164501125e23,5.387278072007089e23,2.966642992355255e23,3.854422071657171e22,8.408208301512779e21
0.35353535353535354,6.791540350345128e23,6.243174559735538e23,3.4379643690435554e23,4.291106203347034e22,9.081902956717449e21
0.40404040404040403,7.687950611028139e23,7.064828738277673e23,3.8904293389839886e23,4.693952011621271e22,9.7089626525617e21
0.45454545454545453,8.568366410980854e23,7.896639385653697e23,4.348487229262001e23,5.0921773573428535e22,1.0297909994869962e22
0.5050505050505051,9.433434043764747e23,8.690607751377889e23,4.785706295522283e23,5.442461755811348e22,1.0854950241067317e22
0.5555555555555556,1.0253324129995309e24,9.50001369726611e23,5.231426461670188e23,5.780506125769641e22,1.138476785927812e22
0.6060606060606061,1.1087784171101415e24,1.026834136706948e24,5.6545258203794766e23,6.071273465550071e22,1.189100221525742e22
0.6565656565656566,1.1908780634823002e24,1.1056860468946293e24,6.088744109588668e23,6.380402551345029e22,1.2376547505538922e22
0.7070707070707071,1.271699383708452e24,1.1836389548007744e24,6.51801181190967e23,6.695551720384585e22,1.284375033354613e22
0.7575757575757576,1.351282292680785e24,1.2570292712360288e24,6.922154432820023e23,6.990612407853268e22,1.3294544636958088e22
0.8080808080808081,1.4296814216845677e24,1.333087849837459e24,7.340990524442765e23,7.244989325400892e22,1.3730546659826615e22
0.8585858585858586,1.5069396868179666e24,1.4043418654509678e24,7.733369056368505e23,7.535064059279232e22,1.4153123543984227e22
0.9090909090909091,1.5789945434416162e24,1.4786264856091708e24,8.142436390347798e23,7.793909919697845e22,1.456344397884255e22
0.9595959595959596,1.6539771850218717e24,1.547882458414253e24,8.523812186537947e23,8.044313472911252e22,1.4962516332438538e22
1.0101010101010102,1.723296079996545e24,1.6205020576025907e24,8.923710655041294e23,8.303169273664777e22,1.53512178498025e22
1.0606060606060606,1.7916297554501703e24,1.687893830472523e24,9.294820755642611e23,8.535412952121835e22,1.5730317350444636e22
1.1111111111111112,1.8590353889480265e24,1.7589536114054488e24,9.686129684428652e23,8.783288198925984e22,1.6100493111060425e22
1.1616161616161615,1.9261887651257044e24,1.8245909273226236e24,1.0047578417350935e24,9.019253478302451e22,1.6462347125878164e22
1.2121212121212122,1.987255091753998e24,1.8941817093711194e24,1.0430797926604475e24,9.241224359315512e22,1.6816416603025558e22
1.2626262626262625,2.053075637064982e24,1.9613116757203692e24,1.080046632237906e24,9.470726931407063e22,1.7163183324783268e22
1.3131313131313131,2.1181625935147567e24,2.0192226353758245e24,1.1119367890752006e24,9.688632799409854e22,1.750308133768804e22
1.3636363636363635,2.1825159419696828e24,2.0831583649028836e24,1.147144640132331e24,9.893650447590132e22,1.783650332288613e22
1.4141414141414141,2.24622103697913e24,2.1396983835356643e24,1.1782798530956528e24,1.0121800912694368e23,1.8163805913434898e22
1.4646464646464648,2.3092928851940937e24,2.2027227824394453e24,1.212985856546046e24,1.0325778231770536e23,1.8485314163804127e22
1.5151515151515151,2.3717497198385964e24,2.2590936479488753e24,1.2440279209988738e24,1.0504550192634518e23,1.8801325331160626e22
1.5656565656565657,2.428027820431963e24,2.321312560928109e24,1.2782903629435194e24,1.0690791614537044e23,1.911211209368936e22
1.6161616161616161,2.489073745200232e24,2.3765363971678822e24,1.3087007862782595e24,1.0905246723284211e23,1.94179253051234e22
1.6666666666666667,2.549044939567163e24,2.437690725853131e24,1.342376987547501e24,1.1114221707704785e23,1.9718996364646865e22
1.7171717171717171,2.608541880147869e24,2.491872499739773e24,1.372213572491834e24,1.131602394352781e23,2.0015539265844453e22
1.7676767676767677,2.667566250267967e24,2.552004451004774e24,1.4053267753843858e24,1.1478159045360433e23,2.0307752376276552e22
1.8181818181818181,2.726051917341205e24,2.605234540825206e24,1.434639291062529e24,1.1661276075214016e23,2.0595819989739923e22
1.8686868686868687,2.7840570254386325e24,2.664478956318803e24,1.4672637495944758e24,1.1861956353890537e23,2.087991368572618e22
1.9191919191919191,2.835782720234216e24,2.723305910255328e24,1.4996583222014138e24,1.203146346124354e23,2.1160193524563523e22
1.9696969696969697,2.892175880536809e24,2.775214173934941e24,1.5282429403763355e24,1.2200864833436592e23,2.143680910188325e22
2.0202020202020203,2.948181421340635e24,2.833227881467578e24,1.560189677970322e24,1.236433828204099e23,2.1709900482134634e22
2.0707070707070705,3.003807015488257e24,2.884039426785266e24,1.5881703600202649e24,1.2537143511064243e23,2.1979599027684613e22
2.121212121212121,3.058919172110102e24,2.940643871057366e24,1.6193410506160496e24,1.2726860611181164e23,2.2246028137431617e22
2.1717171717171717,3.113587815317167e24,2.990133482319302e24,1.6465937757366428e24,1.2912546554579436e23,2.25093039067183e22
2.2222222222222223,3.1678937126082273e24,3.046043725920918e24,1.677382186909154e24,1.3090163528710455e23,2.276953571855624e22
2.272727272727273,3.216126525169308e24,3.094877898592096e24,1.7042739779409177e24,1.3242895092093286e23,2.3026826774703744e22
2.323232323232323,3.2700568421485634e24,3.1500612946704065e24,1.7346621318624198e24,1.3396880252189359e23,2.3281274573910637e22
2.3737373737373737,3.3236998535603515e24,3.198186688997623e24,1.7611636159007179e24,1.3580817003477959e23,2.353297134361539e22
2.4242424242424243,3.376748420537252e24,3.252653994836116e24,1.7911574363455637e24,1.375599308934435e23,2.378200443051484e22
2.474747474747475,3.4288344660611545e24,3.299887292483859e24,1.8171676644421252e24,1.3927511009748863e23,2.4028456654696582e22
2.525252525252525,3.4807127915044284e24,3.3532014723758887e24,1.8465264864772628e24,1.4086115580639732e23,2.4272406631404244e22
2.5757575757575757,3.532325204767023e24,3.40624052646692e24,1.8757338034260406e24,1.4212122908416903e23,2.4513929063979964e22
2.6262626262626263,3.5765986881540454e24,3.4521005403461205e24,1.900987797555465e24,1.4381659391547322e23,2.4753095011077844e22
2.676767676767677,3.6268439023193037e24,3.5045955031414226e24,1.9298954966623375e24,1.4553686462991885e23,2.498997213085783e22
2.727272727272727,3.676864801481814e24,3.5497280179924546e24,1.954748874772872e24,1.4719866121257733e23,2.5224624904538346e22
