mass_keV,sensitivity_yr
700,7.94312506985238e20
700,6.724633768464052e20
700,5.04149292608891e20
700,5.881858449380078e20
700,9.315093500915368e21
700,4.401561105904253e20
700,6.918530880036594e20
700,5.451175304045867e20
700,3.564331311560187e20
700,9.241057740956075e20
700,2.729913764790498e20
700,3.901752289155634e20
700,5.0116815058705436e20
700,2.686257984547356e20
700,6.635411782203612e20
700,6.311222691236563e20
700,6.31426661862039e20
700,6.9321366328871e20
700,8.86808803555372e20
700,7.120539028228308e20
700,4.322273806829904e20
700,7.7076170891026e20
700,3.290379457493801e20
700,4.786763052006665e20
700,4.307247972902722e20
700,8.836640457588718e20
700,9.494015630121548e20
700,7.370867584578925e20
700,9.445949862032125e20
700,6.52448525244151e20
700,3.950923640204566e20
700,3.940748465793797e20
700,5.930074641372941e20
700,6.05218965933915e20
700,7.474776519340305e20
700,5.000358639996535e20
700,5.016250749563927e20
700,3.186920424539473e20
700,4.2683081647956414e20
700,4.5046564245986496e20
700,3.448249517385238e20
700,4.5865110126151775e20
700,4.5055944441188653e20
700,7.508504512699969e20
700,4.455351653548726e20
700,6.854116062456387e20
700,5.055846094278322e20
700,5.3784255429526703e20
700,5.0898844466815815e20
700,5.2871815706593545e20
700,3.260108941209937e20
700,5.850701233548175e20
700,3.012902952273558e20
700,1.057352539775833e21
700,8.179585329162165e20
700,4.5246437935738585e20
700,5.551717035594533e20
700,5.2764513646550267e20
700,6.420478820475512e20
700,6.347234414679464e20
700,6.390193906354694e20
700,4.915431775123041e20
700,3.483909070062434e20
700,6.188355808977266e20
700,6.027817079889612e20
700,4.4710372091280936e20
700,3.3738345890770466e20
700,4.6400623656460465e20
700,5.220953924435518e20
700,5.458817680077e20
700,6.166718031062891e20
700,7.933673756352758e20
700,5.12393894442663e20
700,2.5312154830347357e20
700,3.7817793628139894e20
700,6.883043511580555e20
700,4.422976122301573e20
700,5.2722587603594445e20
700,6.600209716007284e20
700,6.889432828926047e20
700,2.9935886630753134e20
700,1.0476855601472305e21
700,9.390572265425641e20
700,7.807546779042606e20
700,8.636163675347305e20
700,9.733514512648173e20
700,5.1701672009134644e20
700,1.0012581128087786e21
700,1.7738905052287506e22
700,8.471850174332128e20
700,4.957867804902046e20
700,5.40154704997438e20
700,6.342219627977225e20
700,4.2070784314013463e20
700,6.155153693329649e22
700,7.358314368087702e20
700,4.121546649657948e20
700,1.0472381811053585e21
700,5.725311116407218e20
700,4.337133833223251e20
700,4.3232302893914764e20
700,1.0805464053912017e21
700,3.9033715687499805e20
700,4.885211389518694e20
700,3.562721665682311e20
700,5.247436998960944e20
700,4.59553480628257e22
700,3.8589800118299436e21
700,3.047629418462948e20
700,8.08433869370201e20
700,6.756591114126838e20
700,3.807437745490965e20
700,4.682616397534652e20
700,7.163919278019955e20
700,3.979818627490949e20
700,4.4085240121791073e20
700,5.658842143407882e20
700,2.679859533283207e20
700,5.073247872908168e20
700,6.143602283236823e20
700,6.859717635002056e20
700,7.61398016652643e20
700,4.994153637944913e20
700,6.804111046000947e20
700,7.760627984860864e20
700,4.044325171094717e20
700,4.9323296830744016e20
700,7.230209900845615e20
700,5.277541311369478e20
700,6.439245140994325e20
700,5.4064702449148795e20
700,7.380502252655123e20
700,5.0292185074441814e20
700,3.557959993725104e20
700,4.8843315134863947e20
700,7.281751597276698e20
700,5.026279158520361e20
700,4.9340397901771404e22
700,3.202987354197773e20
700,4.559486735937099e20
700,3.2797215498948044e20
700,7.956616419174559e20
700,6.193308549205168e20
700,2.021736574404084e22
700,5.215595851763647e20
700,4.265392651263055e20
700,1.2769056480227392e21
700,5.4594776855670247e20
700,1.0414475622094905e21
700,4.019489645304001e20
700,4.9596099389960126e20
700,3.930969449433547e20
700,7.725425057719811e20
700,4.329179919783544e20
700,5.6034106251864605e20
700,4.056043979561229e20
700,8.1636135998652e20
700,4.17985535352541e20
700,5.5351197208911394e20
700,2.406702660893582e22
700,5.548128639815095e21
700,8.924565131217351e20
700,4.441612385976292e20
700,7.206353918963582e20
700,6.9660060494608e20
700,4.825743696123341e20
700,2.989361792052911e20
700,8.895756289169896e20
700,4.538914802442121e20
700,7.259442105560523e20
700,2.6213015285288806e20
700,7.26181035540815e20
700,3.77630283884299e22
700,5.972071341168392e20
700,4.544614851519334e20
700,5.5365272966269777e20
700,4.183246976203061e20
700,3.147337487010845e20
700,7.817782020540451e20
700,9.558277035220292e20
700,3.7207419996994005e20
700,3.654946208931067e20
700,8.450011332292514e20
700,5.66648680487873e20
700,6.929619023049829e20
700,6.33772741397104e20
700,1.1019431812032846e21
700,7.655778072115101e20
700,1.0361369500593329e21
700,6.559868597452994e20
700,5.7123483748029104e20
700,8.377728437286424e20
700,1.0532778254172856e21
700,4.936586927618282e20
700,7.406467713806901e20
700,7.703980866440753e20
700,3.7778415686424016e20
700,3.615430902026899e20
700,7.5833398653285e20
700,5.631675501793725e20
700,4.565819626031165e20
700,7.110552094900735e20
700,6.538467468925841e20
700,6.903226588780788e20
700,7.864853306741536e20
700,6.199184879020135e20
700,6.427955739476879e20
700,5.610391948790042e20
700,7.670546583245074e20
700,5.649740001217681e20
700,3.263639711054632e20
700,3.992473365963839e20
700,6.466944335673003e20
700,8.015865917504418e20
700,3.827116276988483e21
700,6.668613993291384e20
700,4.223455228153173e20
700,2.7435179054084702e20
700,4.427406838248216e20
700,8.033178163304968e20
700,1.132245525153986e21
700,9.225727323617772e20
700,7.838514883392725e20
700,7.37835690457287e20
700,8.36362702834896e20
700,6.555369958018282e20
700,5.851098868721416e20
700,5.5455747424878494e20
700,5.095158980019372e20
700,6.858630016594169e20
700,4.9332128189118493e20
700,6.973459025972742e20
700,5.5064740791304395e20
700,3.5497573277254956e20
700,9.968608887845511e21
700,6.783560480916537e20
700,5.242913507298973e20
700,4.527302641279916e20
700,3.426400974380034e20
700,5.5326410131878596e20
700,3.202092634379191e20
700,9.114293443593163e20
700,4.9876265933647774e20
700,6.960648573945509e20
700,4.5281007879213436e20
700,4.8529744355127126e20
700,8.643194057143224e20
700,4.051458859011251e20
700,7.949190435515175e20
700,6.986104943115407e20
700,7.89310343451527e20
700,4.740290824965154e20
700,8.545260968649063e20
700,3.837179159323282e20
700,5.519201816300648e20
700,4.359820501488672e20
700,5.082297621540238e20
700,7.573170964319728e20
700,9.974313804610693e20
