mass_keV,sensitivity_yr
600,1.0891297401532695e21
600,1.2339684432012897e21
600,7.107270105599359e20
600,6.492913938163192e20
600,1.0557060186114755e21
600,9.955847667593413e20
600,1.4152185180725636e21
600,9.14850230420823e20
600,1.6931918534802171e21
600,1.6145548955833653e21
600,9.966797759814013e20
600,8.561510329156893e20
600,1.1802007700947928e21
600,5.33119840558896e20
600,1.32115722096641e21
600,1.4354682583142535e21
600,1.0570046857160284e21
600,6.809453705351258e20
600,1.4497871160357017e21
600,9.370012269273614e20
