mass_keV,sensitivity_yr
1200,1.295384519676143e21
1200,2.2961325401534098e21
1200,7.854647502630431e20
1200,6.459236997776039e20
1200,6.424536998826797e20
1200,9.258854537284433e20
1200,9.54622287366984e20
1200,6.707764436070293e20
1200,8.514593569171678e20
1200,1.0335521419540007e21
1200,6.349112225485387e20
1200,1.0763929939878e21
1200,1.4367621424636764e21
1200,1.2626635692601977e21
1200,1.2920930377094702e21
1200,9.450694668026315e20
1200,6.685867188446659e20
1200,9.943001379240017e20
1200,6.602028419041477e20
1200,5.8437201285270805e20
