mass_keV,sensitivity_yr
900,6.952865155698731e20
900,6.870805535964209e20
900,8.756079366139295e20
900,8.133671747200769e20
900,8.872415441845437e20
900,1.0926070538640167e21
900,1.572777871284395e22
900,1.2507179716957475e21
900,6.664271228713982e20
900,4.6666485877514476e20
900,9.235810126335775e20
900,9.306235042206382e20
900,9.702687374421886e20
900,1.0311245071124993e21
900,6.011904080475702e20
900,4.0312302342102254e20
900,7.492361746764471e20
900,1.434931590619778e21
900,9.81685958510144e20
900,1.0224176797677953e21
