Esum,phi,bkg_counts
1550.0,137.5,470.4482640256318
1550.0,142.5,462.7697779052447
1550.0,147.5,440.08136976421423
1550.0,152.5,400.06214125541754
1550.0,157.5,350.43395977675806
1550.0,162.5,290.75216723369357
1550.0,167.5,217.23174716292598
1550.0,172.5,133.57095347272076
1550.0,177.5,45.61541330840073
1650.0,2.5,1.4641181161754873
1650.0,7.5,7.5591876072171456
1650.0,12.5,21.311052579887647
1650.0,17.5,47.025304827680834
1650.0,22.5,76.62218141318382
1650.0,27.5,110.15590893329203
1650.0,32.5,146.30335842375794
1650.0,37.5,179.00199635167715
1650.0,42.5,199.6297938106829
1650.0,47.5,222.24228471605988
1650.0,52.5,236.54726097706333
1650.0,57.5,247.8914650475786
1650.0,62.5,257.3485835461343
1650.0,67.5,263.8232392154437
1650.0,72.5,264.89692583397243
1650.0,77.5,271.24143767073286
1650.0,82.5,273.2695123946204
1650.0,87.5,275.8073171293246
1650.0,92.5,283.8979253861165
1650.0,97.5,292.62840748627406
1650.0,102.5,305.8163158512325
1650.0,107.5,323.77616474298515
1650.0,112.5,336.71463076222483
1650.0,117.5,354.37081071136333
1650.0,122.5,371.81008427292016
1650.0,127.5,378.91376846621614
1650.0,132.5,389.68317060964023
1650.0,137.5,387.0152220423871
1650.0,142.5,379.7271674196469
1650.0,147.5,361.69140129224076
1650.0,152.5,328.21190036902794
1650.0,157.5,290.78470319183083
1650.0,162.5,238.73801549163704
1650.0,167.5,178.38381314706973
1650.0,172.5,111.4356566200232
1650.0,177.5,38.4900384763467
1750.0,2.5,1.2255210898357782
1750.0,7.5,5.910699061597337
1750.0,12.5,15.931774167865116
1750.0,17.5,33.739788588310674
1750.0,22.5,57.83808824862128
1750.0,27.5,83.75840156461695
1750.0,32.5,110.50295915342251
1750.0,37.5,133.80955049906046
1750.0,42.5,153.63479432401445
1750.0,47.5,168.23259420825303
1750.0,52.5,181.3662759763161
1750.0,57.5,187.2878203572925
1750.0,62.5,195.81224138924756
1750.0,67.5,201.0830666074793
1750.0,72.5,204.67286732195404
1750.0,77.5,208.8700059216571
1750.0,82.5,210.8655446874074
1750.0,87.5,211.02822447809356
1750.0,92.5,222.74116940749744
1750.0,97.5,229.27005167370223
1750.0,102.5,238.1198322870296
1750.0,107.5,251.93676917597458
1750.0,112.5,263.4978796340714
1750.0,117.5,276.5990254439972
1750.0,122.5,287.9540748338915
1750.0,127.5,298.7777035742111
1750.0,132.5,305.9139237256442
1750.0,137.5,307.8552358944991
1750.0,142.5,296.9014633216307
1750.0,147.5,282.0650664110524
1750.0,152.5,263.95338304799265
1750.0,157.5,230.5064180829171
1750.0,162.5,191.64763874768173
1750.0,167.5,144.2752836998704
1750.0,172.5,89.64740998745613
1750.0,177.5,30.735635120306156
1850.0,2.5,0.7157910790191271
1850.0,7.5,3.5138834788211697
1850.0,12.5,11.420121306168799
1850.0,17.5,24.119990299068768
1850.0,22.5,40.10599106382927
1850.0,27.5,59.87700829188789
1850.0,32.5,77.78263058674514
1850.0,37.5,96.8053207776474
1850.0,42.5,109.04968635662611
1850.0,47.5,121.9230804595913
1850.0,52.5,132.83347175494347
1850.0,57.5,136.08706756866675
1850.0,62.5,142.4424247248063
1850.0,67.5,144.64402455875907
1850.0,72.5,149.90400445761173
1850.0,77.5,151.5633383226106
1850.0,82.5,156.62810247263988
1850.0,87.5,158.65617719652744
1850.0,92.5,159.81662637008873
1850.0,97.5,168.88331337099768
1850.0,102.5,175.03260945893473
1850.0,107.5,184.70663434507202
1850.0,112.5,196.56056842640396
1850.0,117.5,207.43842376361886
1850.0,122.5,214.0757592236144
1850.0,127.5,221.70001874710601
1850.0,132.5,226.18998097004416
1850.0,137.5,228.32650888772247
1850.0,142.5,227.35043014360548
1850.0,147.5,213.00207260508571
1850.0,152.5,200.15036914087864
1850.0,157.5,175.84600841236553
1850.0,162.5,145.34897031839913
1850.0,167.5,108.40981251326052
1850.0,172.5,68.97623125093406
1850.0,177.5,23.81632135645459
1950.0,2.5,0.35789553950956354
1950.0,7.5,2.66794856725311
1950.0,12.5,7.418198455289136
1950.0,17.5,16.15952587482575
1950.0,22.5,27.254287599622216
1950.0,27.5,40.7241742684367
1950.0,32.5,53.96630923029055
1950.0,37.5,63.92231242028386
1950.0,42.5,73.35774028008144
1950.0,47.5,81.03622640046845
1950.0,52.5,89.49557551614905
1950.0,57.5,95.02668839947866
1950.0,62.5,97.57533845356191
1950.0,67.5,101.2735923618274
1950.0,72.5,102.45573217414687
1950.0,77.5,104.12591135852483
1950.0,82.5,106.15398608241237
1950.0,87.5,110.96930788672285
1950.0,92.5,112.07553046338879
1950.0,97.5,119.42865700240344
1950.0,102.5,124.21144284857671
1950.0,107.5,131.39104427752613
1950.0,112.5,135.76170798729444
1950.0,117.5,142.55087791859705
1950.0,122.5,151.07529895055214
1950.0,127.5,154.968768607641
1950.0,132.5,163.2762832520145
1950.0,137.5,160.1636765902192
1950.0,142.5,158.41758017018773
1950.0,147.5,150.46796106532378
1950.0,152.5,139.611796366867
1950.0,157.5,125.32851074462171
1950.0,162.5,105.08029946388366
1950.0,167.5,80.38550723772379
1950.0,172.5,50.7344040553254
1950.0,177.5,17.71040654603386
2050.0,2.5,0.23859702633970903
2050.0,7.5,1.5291900324499534
2050.0,12.5,4.565879458591705
2050.0,17.5,10.24882681322841
2050.0,22.5,17.157295257700895
2050.0,27.5,26.245672897367992
2050.0,32.5,34.44473434795072
2050.0,37.5,41.30982151490689
2050.0,42.5,47.91462101676521
2050.0,47.5,53.32643538692497
2050.0,52.5,58.369508898196095
2050.0,57.5,60.462655538358085
2050.0,62.5,63.1739853831275
2050.0,67.5,65.5599556465246
2050.0,72.5,67.43619589910503
2050.0,77.5,66.90477524953023
2050.0,82.5,70.00653659194644
2050.0,87.5,70.62471979655388
2050.0,92.5,71.30797491743577
2050.0,97.5,76.21005927677888
2050.0,102.5,80.65664022220074
2050.0,107.5,83.94277199406127
2050.0,112.5,90.20052127578909
2050.0,117.5,92.87931516242128
2050.0,122.5,98.90931273718847
2050.0,127.5,103.61618134770819
2050.0,132.5,103.69209858336173
2050.0,137.5,106.21905799868682
2050.0,142.5,107.2059820621829
2050.0,147.5,102.55334004855857
2050.0,152.5,95.21105882892297
2050.0,157.5,84.604336476185
2050.0,162.5,72.71786643671587
2050.0,167.5,54.714636267446906
2050.0,172.5,36.33181991991024
2050.0,177.5,12.428736008423025
2150.0,2.5,0.19521574882339832
2150.0,7.5,0.8133989534308262
2150.0,12.5,2.9173909129718965
2150.0,17.5,6.290285239865056
2150.0,22.5,10.096992341921323
2150.0,27.5,14.825551591199192
2150.0,32.5,19.85777978309124
2150.0,37.5,25.312975430767313
2150.0,42.5,29.705329779293777
2150.0,47.5,31.733404503181298
2150.0,52.5,36.23421204549854
2150.0,57.5,37.32958930278539
2150.0,62.5,38.414121240693156
2150.0,67.5,39.8999299956268
2150.0,72.5,41.537573221867525
2150.0,77.5,40.61572107464592
2150.0,82.5,42.29674557840296
2150.0,87.5,42.730558353566074
2150.0,92.5,45.23582713013302
2150.0,97.5,47.198829937746076
2150.0,102.5,48.80393720584957
2150.0,107.5,53.36981666444128
2150.0,112.5,54.58449243489798
2150.0,117.5,57.67540845793511
2150.0,122.5,61.75324854446833
2150.0,127.5,64.88754584502178
2150.0,132.5,65.71179011783168
2150.0,137.5,66.47096247436713
2150.0,142.5,66.89392993015115
2150.0,147.5,63.662024755186
2150.0,152.5,59.215443809764146
2150.0,157.5,53.59756837140191
2150.0,162.5,46.22275119362908
2150.0,167.5,34.69417669366951
2150.0,172.5,23.599414968873038
2150.0,177.5,8.80639933581108
2250.0,2.5,0.11929851316985451
2250.0,7.5,0.6181832046074279
2250.0,12.5,1.702715142515196
2250.0,17.5,3.4813475206839364
2250.0,22.5,5.889008422839182
2250.0,27.5,9.077532320288022
2250.0,32.5,11.604491735613122
2250.0,37.5,13.675947737016958
2250.0,42.5,16.51742141433531
2250.0,47.5,18.241827195608664
2250.0,52.5,19.23959657848381
2250.0,57.5,21.170063427959636
2250.0,62.5,22.243750046488326
2250.0,67.5,22.417275156553572
2250.0,72.5,23.29574602625886
2250.0,77.5,23.154756874330854
2250.0,82.5,24.4453498804411
2250.0,87.5,24.195907534722313
2250.0,92.5,26.473424604328624
2250.0,97.5,27.00484525390343
2250.0,102.5,27.980923998020423
2250.0,107.5,30.063225318803337
2250.0,112.5,31.700868545044067
2250.0,117.5,32.785400482951836
2250.0,122.5,35.941388422263444
2250.0,127.5,35.11714414945354
2250.0,132.5,37.75255675856941
2250.0,137.5,38.0996069786999
2250.0,142.5,38.34904932441869
2250.0,147.5,39.270901471640286
2250.0,152.5,36.47280907183825
2250.0,157.5,35.09545351069538
2250.0,162.5,29.737865737431008
2250.0,167.5,24.401968602924786
2250.0,172.5,15.150911172571524
2250.0,177.5,6.073378852283502
2350.0,2.5,0.04338127751631073
2350.0,7.5,0.26028766509786444
2350.0,12.5,0.824244272809904
2350.0,17.5,1.9087762107176722
2350.0,22.5,3.123451981174373
2350.0,27.5,4.750249888036025
2350.0,32.5,6.344511836760445
2350.0,37.5,7.320590580877436
2350.0,42.5,8.513575712575982
2350.0,47.5,9.717406163653605
2350.0,52.5,11.040535127901082
2350.0,57.5,11.37674002865249
2350.0,62.5,12.396200050285792
2350.0,67.5,11.962387275122685
2350.0,72.5,13.025228574272298
2350.0,77.5,12.819167506069821
2350.0,82.5,13.079455171167686
2350.0,87.5,13.24213496185385
2350.0,92.5,14.066379234663756
2350.0,97.5,13.903699443977589
2350.0,102.5,14.13145115093822
2350.0,107.5,16.040227361655894
2350.0,112.5,16.53911205309347
2350.0,117.5,17.64533462975939
2350.0,122.5,18.155064640576043
2350.0,127.5,20.009614254398326
2350.0,132.5,20.714560014038376
2350.0,137.5,22.438965795311727
2350.0,142.5,21.560494925606434
2350.0,147.5,21.365279176783037
2350.0,152.5,20.757941291554687
